https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LTC
1663891200000,2022-09-23 00:00:00,LTC/USD,59.175434,61.159413,56.925527,61.086587,393202.91315649025,6436.81260432
1663804800000,2022-09-22 00:00:00,LTC/USD,56.940325,59.75,56.457521,59.123487,371961.3754829769,6291.26248056
1663718400000,2022-09-21 00:00:00,LTC/USD,57.722448,61.199091,56.163609,57.05417,394754.5214086889,6918.94249638
1663632000000,2022-09-20 00:00:00,LTC/USD,58.408117,59.189597,56.3,57.783361,367603.3205444847,6361.7504102
1663545600000,2022-09-19 00:00:00,LTC/USD,58.418385,59.454606,55.924278,58.276256,411037.03827725473,7053.25061166
1663459200000,2022-09-18 00:00:00,LTC/USD,63.743309,63.743309,58.11,58.250271,428358.765001763,7353.76432844
1663372800000,2022-09-17 00:00:00,LTC/USD,61.672016,64.315784,61.584493,63.715719,420035.11787226185,6592.3311306
1663286400000,2022-09-16 00:00:00,LTC/USD,62.22732,62.890214,60.5,61.681412,397375.8666793418,6442.39251007
1663200000000,2022-09-15 00:00:00,LTC/USD,66.125069,66.988044,61.828468,62.257592,428799.21907157596,6887.50087012
1663113600000,2022-09-14 00:00:00,LTC/USD,64.811501,67.135113,64.005015,66.095316,336771.06254317827,5095.23341326
1663027200000,2022-09-13 00:00:00,LTC/USD,66.476905,72.749963,63.40001,64.727509,440077.88978503307,6798.9313444
1662940800000,2022-09-12 00:00:00,LTC/USD,67.454045,68.330463,65.262228,66.496816,416391.95633830124,6261.8329927
1662854400000,2022-09-11 00:00:00,LTC/USD,68.840835,69.96994,66.727516,67.464117,414230.314161164,6140.00942399
1662768000000,2022-09-10 00:00:00,LTC/USD,66.97695,70.5,66.242316,68.878395,479169.2897486021,6956.74296343
1662681600000,2022-09-09 00:00:00,LTC/USD,63.837152,67.621845,63.594218,66.977236,472061.44913869083,7048.0879375
1662595200000,2022-09-08 00:00:00,LTC/USD,63.343529,64.41075,62.03,63.840773,377533.46641279367,5913.67316954
1662508800000,2022-09-07 00:00:00,LTC/USD,59.75,64.413163,58.585029,63.311763,418757.98388391815,6614.22086578
1662422400000,2022-09-06 00:00:00,LTC/USD,66.651483,68.93719,59.75,59.760585,422980.56894838094,7077.91881469
1662336000000,2022-09-05 00:00:00,LTC/USD,67.082311,67.784642,65.507679,66.590517,395615.1408187839,5941.01320491
