https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1705017600000,2024-01-12 00:00:00,AAVE/USD,111.5,113.0371,101.0,103.0707,624.955728,64414.6243539696
1704931200000,2024-01-11 00:00:00,AAVE/USD,106.3893,117.8664,105.9398,111.5,1018.844198,113601.128077
1704844800000,2024-01-10 00:00:00,AAVE/USD,96.0139,110.0204,96.0139,106.3893,837.508249,89101.9163553357
1704758400000,2024-01-09 00:00:00,AAVE/USD,99.4527,99.4527,92.4049,96.0139,432.216093,41498.7527316927
1704672000000,2024-01-08 00:00:00,AAVE/USD,95.0,100.0,91.02,99.4527,491.069563,48838.1939281701
1704585600000,2024-01-07 00:00:00,AAVE/USD,99.0,100.5201,95.0,95.0,137.529862,13065.33689
1704499200000,2024-01-06 00:00:00,AAVE/USD,101.6408,103.44,96.6124,99.0,198.387102,19640.323098
1704412800000,2024-01-05 00:00:00,AAVE/USD,105.0173,108.3677,101.0,101.6408,266.382833,27075.3642523864
1704326400000,2024-01-04 00:00:00,AAVE/USD,103.1804,106.25,100.0325,105.0173,274.428259,28819.714803880703
1704240000000,2024-01-03 00:00:00,AAVE/USD,110.3931,113.0038,99.5,103.1804,419.128266,43245.822137186406
1704153600000,2024-01-02 00:00:00,AAVE/USD,116.1424,120.2999,109.1565,110.3931,674.620161,74473.41089528911
1704067200000,2024-01-01 00:00:00,AAVE/USD,108.8444,117.1223,107.7916,116.1424,415.731198,48284.0190905952
1703980800000,2023-12-31 00:00:00,AAVE/USD,111.0751,118.617,106.4279,108.8444,384.284267,41827.1904710548
1703894400000,2023-12-30 00:00:00,AAVE/USD,110.3267,116.3329,109.4638,111.0751,251.094557,27890.353028230704
1703808000000,2023-12-29 00:00:00,AAVE/USD,118.9,121.0,107.144,110.3267,919.150611,101406.85371461371
1703721600000,2023-12-28 00:00:00,AAVE/USD,112.018,129.8016,112.018,118.9,2219.987207,263956.4789123
1703635200000,2023-12-27 00:00:00,AAVE/USD,102.9378,115.0851,100.1999,112.018,616.341585,69041.35166853
1703548800000,2023-12-26 00:00:00,AAVE/USD,102.244,109.2171,99.0128,102.9378,741.571384,76335.7268119152
1703462400000,2023-12-25 00:00:00,AAVE/USD,99.3209,104.3396,97.1424,102.244,151.262793,15465.713007491999
1703376000000,2023-12-24 00:00:00,AAVE/USD,98.2665,102.7018,97.9497,99.3209,186.18594,18492.155128145998
1703289600000,2023-12-23 00:00:00,AAVE/USD,100.25,103.2747,96.6727,98.2665,408.390776,40131.132189804
1703203200000,2023-12-22 00:00:00,AAVE/USD,100.8132,102.9578,98.2755,100.25,387.355523,38832.39118075
1703116800000,2023-12-21 00:00:00,AAVE/USD,101.0251,101.5327,97.9497,100.8132,309.658139,31217.6278986348
1703030400000,2023-12-20 00:00:00,AAVE/USD,101.6407,105.4732,99.5332,101.0251,393.185066,39721.5606111566
1702944000000,2023-12-19 00:00:00,AAVE/USD,99.7578,107.3641,98.0034,101.6407,745.681091,75791.5480660037
1702857600000,2023-12-18 00:00:00,AAVE/USD,100.6876,101.025,93.5,99.7578,427.71116,42667.524357048
1702771200000,2023-12-17 00:00:00,AAVE/USD,104.8249,105.1576,99.7742,100.6876,231.293183,23288.355492630802
1702684800000,2023-12-16 00:00:00,AAVE/USD,109.81,109.81,103.2679,104.8249,884.310876,92697.7991456124
1702598400000,2023-12-15 00:00:00,AAVE/USD,107.0,118.4426,103.4556,109.81,1234.010204,135506.66050124
1702512000000,2023-12-14 00:00:00,AAVE/USD,94.0819,109.4691,92.6643,107.0,1396.062432,149378.68022399998
