https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1705017600,2024-01-12,ETH/USD,2596.88,2719.99,2467.0,2516.33,187.606448,472079.73329584
1704931200,2024-01-11,ETH/USD,2587.37,2680.0,2578.0,2620.0,69.888865,183108.8263
1704844800,2024-01-10,ETH/USD,2373.0,2624.18,2350.22,2582.54,528.76415,1365554.567941
1704758400,2024-01-09,ETH/USD,2320.0,2365.0,2236.52,2365.0,259.081895,612728.6816749999
1704672000,2024-01-08,ETH/USD,2205.5,2357.0,2173.0,2336.9,139.347687,325641.6097503
1704585600,2024-01-07,ETH/USD,2251.47,2251.47,2211.31,2211.31,27.758778,61383.263379179996
1704499200,2024-01-06,ETH/USD,2262.68,2262.68,2234.05,2239.84,18.274735,40932.4824424
1704412800,2024-01-05,ETH/USD,2260.0,2268.73,2207.12,2268.73,122.249998,277352.23796254
1704326400,2024-01-04,ETH/USD,2241.03,2290.0,2209.36,2289.61,27.792599,63634.21259639
1704240000,2024-01-03,ETH/USD,2369.86,2389.99,2119.03,2210.12,502.810921,1111272.4727205199
1704153600,2024-01-02,ETH/USD,2387.0,2430.01,2352.99,2356.13,40.495525,95412.72131825001
1704067200,2024-01-01,ETH/USD,2291.42,2340.0,2291.42,2334.04,1.870827,4366.58505108
1703980800,2023-12-31,ETH/USD,2300.13,2316.33,2264.03,2284.23,8.111945,18529.54812735
1703894400,2023-12-30,ETH/USD,2292.43,2320.31,2276.38,2288.31,28.096799,64294.18611969
1703808000,2023-12-29,ETH/USD,2338.21,2370.91,2259.16,2267.76,49.882184,113120.82158784002
1703721600,2023-12-28,ETH/USD,2400.07,2440.0,2344.1,2344.1,43.753482,102562.5371562
1703635200,2023-12-27,ETH/USD,2228.0,2385.0,2228.0,2385.0,17.065466,40701.13641
1703548800,2023-12-26,ETH/USD,2258.7,2260.97,2200.0,2230.03,14.58698,32529.403009400005
1703462400,2023-12-25,ETH/USD,2274.55,2300.0,2274.55,2276.45,1.884525,4290.026936249999
1703376000,2023-12-24,ETH/USD,2304.29,2304.29,2252.0,2268.99,4.114853,9336.56030847
1703289600,2023-12-23,ETH/USD,2300.0,2304.29,2279.68,2304.29,7.248564,16702.79353956
1703203200,2023-12-22,ETH/USD,2260.0,2340.01,2260.0,2327.01,7.133431,16599.565271310003
1703116800,2023-12-21,ETH/USD,2207.0,2240.0,2207.0,2237.24,14.073695,31486.2334018
1703030400,2023-12-20,ETH/USD,2179.93,2260.0,2164.85,2195.78,107.273341,235548.65670098003
1702944000,2023-12-19,ETH/USD,2225.0,2247.0,2143.07,2204.62,12.849309,28327.84360758
1702857600,2023-12-18,ETH/USD,2196.9,2206.0,2119.0,2206.0,2.2029,4859.597400000001
1702771200,2023-12-17,ETH/USD,2200.01,2200.01,2200.0,2200.0,6.0604,13332.88
1702598400,2023-12-15,ETH/USD,2300.0,2300.0,2211.0,2211.0,6.386509,14120.571399
1702512000,2023-12-14,ETH/USD,2285.0,2349.9,2260.0,2349.9,0.974945,2291.0232555
1702425600,2023-12-13,ETH/USD,2170.0,2268.0,2160.0,2268.0,1.780365,4037.86782
1702339200,2023-12-12,ETH/USD,2230.0,2230.0,2180.0,2180.0,0.175859,383.37262
1702252800,2023-12-11,ETH/USD,2350.0,2350.0,2160.0,2207.0,21.832506,48184.340742
1702166400,2023-12-10,ETH/USD,2340.0,2350.0,2330.0,2350.0,0.2527,593.8449999999999
1702080000,2023-12-09,ETH/USD,2370.95,2395.0,2340.0,2340.0,13.533068,31667.37912
1701993600,2023-12-08,ETH/USD,2360.0,2365.0,2345.0,2365.0,14.301465,33822.964725
1701907200,2023-12-07,ETH/USD,2240.0,2370.0,2240.0,2351.64,4.650179,10935.546943559999
1701820800,2023-12-06,ETH/USD,2305.75,2305.75,2225.0,2225.0,7.965379,17722.968275
1701734400,2023-12-05,ETH/USD,2229.2,2300.0,2200.0,2290.0,31.881787,73009.29222999999
1701648000,2023-12-04,ETH/USD,2216.0,2266.0,2210.0,2245.0,15.809093,35491.413785000004
1701561600,2023-12-03,ETH/USD,2170.0,2210.0,2170.0,2210.0,4.410512,9747.23152
1701475200,2023-12-02,ETH/USD,2084.49,2183.0,2071.43,2178.09,11.144239,24273.155523510002
1701388800,2023-12-01,ETH/USD,2060.0,2100.0,2060.0,2100.0,2.362596,4961.451599999999
1701302400,2023-11-30,ETH/USD,2026.0,2050.0,2026.0,2050.0,0.2001,410.205
1701216000,2023-11-29,ETH/USD,2048.0,2048.0,2029.67,2029.67,1.58633,3219.7264111
1701129600,2023-11-28,ETH/USD,2033.0,2063.0,2001.07,2061.66,7.593927,15656.095538819998
1701043200,2023-11-27,ETH/USD,2041.07,2041.07,1990.0,2020.0,8.826643,17829.818860000003
1700956800,2023-11-26,ETH/USD,2076.2,2095.66,2042.96,2095.66,5.409148,11335.735097679999
1700870400,2023-11-25,ETH/USD,2067.07,2089.5,2067.07,2089.5,0.170687,356.6504865
1700784000,2023-11-24,ETH/USD,2075.0,2130.0,2067.0,2075.0,22.341807,46359.249525
1700697600,2023-11-23,ETH/USD,2067.31,2079.0,2040.01,2041.23,9.106792,18589.05703416
1700611200,2023-11-22,ETH/USD,1936.51,2080.0,1936.51,2080.0,113.551713,236187.56304
1700524800,2023-11-21,ETH/USD,2024.79,2032.56,1937.8,1937.8,406.776227,788250.9726806
1700438400,2023-11-20,ETH/USD,2013.29,2061.97,1993.77,2025.19,291.225869,589787.71764011
1700352000,2023-11-19,ETH/USD,1961.67,2013.3,1947.06,2013.3,108.153992,217746.4320936
1700265600,2023-11-18,ETH/USD,1960.11,1969.94,1920.83,1961.93,87.546839,171760.76983927
1700179200,2023-11-17,ETH/USD,1960.57,1987.24,1911.68,1959.72,282.411742,553447.9390322401
1700092800,2023-11-16,ETH/USD,2058.94,2090.08,1940.46,1960.18,418.049793,819452.84324274
1700006400,2023-11-15,ETH/USD,1979.48,2060.93,1970.28,2058.95,312.253805,642914.9718047499
1699920000,2023-11-14,ETH/USD,2055.82,2062.81,1940.26,1979.47,404.697266,801086.09712902
1699833600,2023-11-13,ETH/USD,2044.27,2115.0,2031.69,2056.61,345.209035,709960.35347135
1699747200,2023-11-12,ETH/USD,2051.52,2064.3,2013.39,2044.28,112.433453,229845.45929884
1699660800,2023-11-11,ETH/USD,2080.1,2088.08,2033.85,2050.15,203.834239,417890.76508585
1699574400,2023-11-10,ETH/USD,2121.64,2133.23,2068.57,2079.69,274.628975,571143.1330177501
1699488000,2023-11-09,ETH/USD,1890.64,2128.15,1885.1,2122.06,870.580868,1847424.8367480799
1699401600,2023-11-08,ETH/USD,1885.69,1903.26,1875.64,1891.02,95.740691,181047.56149482
1699315200,2023-11-07,ETH/USD,1898.75,1904.61,1854.27,1885.7,141.796091,267384.8887987
1699228800,2023-11-06,ETH/USD,1895.06,1911.69,1872.66,1898.37,134.145574,254657.93331438
1699142400,2023-11-05,ETH/USD,1857.68,1909.79,1849.65,1895.07,210.741537,399369.96452259
1699056000,2023-11-04,ETH/USD,1833.08,1867.8,1828.36,1858.05,91.580727,170161.56980235
1698969600,2023-11-03,ETH/USD,1799.19,1833.62,1781.56,1832.71,139.108074,254944.75830053998
1698883200,2023-11-02,ETH/USD,1845.08,1871.11,1789.98,1798.83,181.570058,326613.66743214
1698796800,2023-11-01,ETH/USD,1815.45,1856.4,1786.26,1845.07,292.65859,539975.5846513
1698710400,2023-10-31,ETH/USD,1810.42,1817.45,1783.22,1815.41,144.673361,262641.46629301
1698624000,2023-10-30,ETH/USD,1796.35,1828.22,1781.45,1810.06,183.416927,331995.64288561995
1698537600,2023-10-29,ETH/USD,1776.52,1809.5,1768.82,1796.71,80.936079,145418.66250009002
1698451200,2023-10-28,ETH/USD,1781.98,1800.47,1776.18,1776.51,49.532522,87995.02065822
1698364800,2023-10-27,ETH/USD,1803.99,1803.99,1752.8,1780.79,149.87435,266894.7437365
1698278400,2023-10-26,ETH/USD,1785.21,1863.04,1765.48,1804.35,319.235858,576013.2203823
1698192000,2023-10-25,ETH/USD,1782.59,1817.94,1763.2,1785.2,248.228639,443137.7663428
1698105600,2023-10-24,ETH/USD,1764.1,1852.06,1744.0,1782.23,710.604309,1266460.31762907
1698019200,2023-10-23,ETH/USD,1662.8,1793.0,1660.0,1763.75,609.381689,1074796.9539737501
1697932800,2023-10-22,ETH/USD,1628.94,1665.05,1624.83,1662.47,119.214491,198190.51485277
1697846400,2023-10-21,ETH/USD,1605.8,1643.41,1595.32,1628.62,76.100356,123938.56178872
1697760000,2023-10-20,ETH/USD,1566.12,1628.13,1564.58,1605.81,169.664642,272449.17877001996
1697673600,2023-10-19,ETH/USD,1562.85,1572.71,1544.13,1565.81,96.151126,150554.39460206
1697587200,2023-10-18,ETH/USD,1564.56,1583.93,1558.27,1562.84,80.932598,126484.70145831999
1697500800,2023-10-17,ETH/USD,1601.78,1601.78,1553.86,1564.54,225.674154,353076.24089916
1697414400,2023-10-16,ETH/USD,1557.26,1631.23,1557.26,1602.05,501.270303,803060.08892115
1697328000,2023-10-15,ETH/USD,1556.0,1563.18,1551.44,1556.93,44.567806,69388.95419558
1697241600,2023-10-14,ETH/USD,1549.97,1559.44,1547.39,1556.31,25.065167,39009.170053769994
1697155200,2023-10-13,ETH/USD,1537.66,1569.55,1537.66,1549.66,102.867184,159409.16035744
1697068800,2023-10-12,ETH/USD,1565.54,1565.54,1525.73,1537.65,98.352848,151232.2567272
1696982400,2023-10-11,ETH/USD,1567.59,1576.34,1551.88,1565.67,100.805791,157828.60279497
1696896000,2023-10-10,ETH/USD,1579.43,1592.13,1553.76,1567.6,92.543948,145071.89288479998
1696809600,2023-10-09,ETH/USD,1631.49,1633.24,1556.69,1579.39,121.640628,192117.99145692002
1696723200,2023-10-08,ETH/USD,1634.76,1640.68,1620.45,1631.81,50.178172,81881.24285132
1696636800,2023-10-07,ETH/USD,1645.51,1646.17,1633.35,1634.43,13.098546,21408.656538780004
1696550400,2023-10-06,ETH/USD,1613.61,1660.75,1613.61,1645.5,91.40511,150407.10850499998
1696464000,2023-10-05,ETH/USD,1649.41,1652.2,1610.52,1613.6,100.305255,161852.559468
1696377600,2023-10-04,ETH/USD,1656.91,1656.91,1631.81,1649.74,85.59842,141215.1374108
