https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TRX
1705017600000,2024-01-12 00:00:00,TRX/USD,0.10618,0.10636,0.10618,0.10632,15784.919830062017,148466.13835649
1704931200000,2024-01-11 00:00:00,TRX/USD,0.10529,0.10755,0.10471,0.10606,581033.6278634826,5478348.36756065
1704844800000,2024-01-10 00:00:00,TRX/USD,0.10281,0.10574,0.10281,0.10519,229383.1353653289,2180655.34143292
1704758400000,2024-01-09 00:00:00,TRX/USD,0.10417,0.1046,0.10116,0.10272,249703.17355268047,2430910.95748326
1704672000000,2024-01-08 00:00:00,TRX/USD,0.10289,0.10433,0.10119,0.10418,444910.6070867694,4270595.19184843
1704585600000,2024-01-07 00:00:00,TRX/USD,0.10388,0.1043,0.10259,0.10276,58408.14520039821,568393.78357725
1704499200000,2024-01-06 00:00:00,TRX/USD,0.10439,0.10441,0.10178,0.10385,287268.9325883273,2766190.9734071
1704412800000,2024-01-05 00:00:00,TRX/USD,0.1069,0.10724,0.10338,0.10448,173778.05447366295,1663266.21816293
1704326400000,2024-01-04 00:00:00,TRX/USD,0.10683,0.10877,0.10664,0.10704,445518.87427793007,4162171.84489845
1704240000000,2024-01-03 00:00:00,TRX/USD,0.10842,0.11014,0.10263,0.10688,357570.292821541,3345530.43433328
1704153600000,2024-01-02 00:00:00,TRX/USD,0.10758,0.11059,0.10758,0.10835,90631.69609119167,836471.58367505
1704067200000,2024-01-01 00:00:00,TRX/USD,0.10782,0.1085,0.10622,0.10788,91812.15391575903,851058.15643084
1703980800000,2023-12-31 00:00:00,TRX/USD,0.10597,0.1091,0.1057,0.10773,210106.14090891363,1950302.98810836
1703894400000,2023-12-30 00:00:00,TRX/USD,0.10568,0.10723,0.10516,0.10606,263310.88706802,2482659.69326815
1703808000000,2023-12-29 00:00:00,TRX/USD,0.10579,0.10682,0.1045,0.10571,156370.6047569449,1479241.36559403
1703721600000,2023-12-28 00:00:00,TRX/USD,0.1055,0.10656,0.10451,0.10581,127597.96293969432,1205915.91474997
1703635200000,2023-12-27 00:00:00,TRX/USD,0.10335,0.10556,0.10254,0.10549,40087.35050269657,380010.9062726
1703548800000,2023-12-26 00:00:00,TRX/USD,0.10607,0.1066,0.10152,0.10309,452533.5348206777,4389693.80949343
1703462400000,2023-12-25 00:00:00,TRX/USD,0.10645,0.10852,0.10572,0.10602,170724.8768139221,1610308.21367593
1703376000000,2023-12-24 00:00:00,TRX/USD,0.10695,0.10767,0.10557,0.10636,95323.62169618068,896235.63084036
1703289600000,2023-12-23 00:00:00,TRX/USD,0.10534,0.10713,0.10418,0.10695,293266.34306435846,2742088.2941969
1703203200000,2023-12-22 00:00:00,TRX/USD,0.10469,0.10531,0.10411,0.10531,61969.11198224759,588444.70593721
1703116800000,2023-12-21 00:00:00,TRX/USD,0.10284,0.10503,0.1028,0.10469,334028.12254209444,3190640.20003911
1703030400000,2023-12-20 00:00:00,TRX/USD,0.10065,0.10344,0.10065,0.1027,109461.23382604016,1065834.79869562
1702944000000,2023-12-19 00:00:00,TRX/USD,0.10095,0.10172,0.10004,0.10059,138391.6134799572,1375798.9211647
1702857600000,2023-12-18 00:00:00,TRX/USD,0.10209,0.1021,0.097716,0.10102,524631.9990185268,5193347.84219488
1702771200000,2023-12-17 00:00:00,TRX/USD,0.10295,0.1036,0.10208,0.10209,72376.73386168007,708950.27781056
1702684800000,2023-12-16 00:00:00,TRX/USD,0.10153,0.10326,0.10115,0.10295,137847.27941397743,1338973.08804252
1702598400000,2023-12-15 00:00:00,TRX/USD,0.10611,0.10637,0.10152,0.10159,66315.73898167336,652778.21617948
1702512000000,2023-12-14 00:00:00,TRX/USD,0.10448,0.1062,0.10306,0.1062,361842.329689228,3407178.24566128
1702425600000,2023-12-13 00:00:00,TRX/USD,0.10372,0.10465,0.1018,0.10432,229371.5807532042,2198730.6437232
1702339200000,2023-12-12 00:00:00,TRX/USD,0.10391,0.1052,0.10301,0.10368,331305.9917579932,3195466.74149299
1702252800000,2023-12-11 00:00:00,TRX/USD,0.108,0.10801,0.099583,0.10386,607896.9314195856,5853041.89697271
1702166400000,2023-12-10 00:00:00,TRX/USD,0.10689,0.10851,0.10657,0.10792,51846.06656158069,480412.0326314
1702080000000,2023-12-09 00:00:00,TRX/USD,0.10661,0.10876,0.1065,0.10673,381548.216197049,3574891.93476107
1701993600000,2023-12-08 00:00:00,TRX/USD,0.1043,0.10731,0.10429,0.10674,250227.38019819572,2344270.00373052
1701907200000,2023-12-07 00:00:00,TRX/USD,0.10495,0.10565,0.10308,0.10426,89284.53419663369,856364.22594124
1701820800000,2023-12-06 00:00:00,TRX/USD,0.10367,0.10615,0.10253,0.10485,383906.025236317,3661478.54302639
1701734400000,2023-12-05 00:00:00,TRX/USD,0.10371,0.10419,0.10239,0.10366,103083.65482210969,994440.04265975
1701648000000,2023-12-04 00:00:00,TRX/USD,0.10328,0.10579,0.10212,0.10375,383128.7054185635,3692806.79921507
1701561600000,2023-12-03 00:00:00,TRX/USD,0.10325,0.10403,0.10246,0.10313,106832.13851274586,1035897.78447344
1701475200000,2023-12-02 00:00:00,TRX/USD,0.10317,0.10365,0.10234,0.10329,133352.66438306784,1291051.06383065
1701388800000,2023-12-01 00:00:00,TRX/USD,0.10353,0.10461,0.10274,0.1031,161005.86001725864,1561647.52684053
1701302400000,2023-11-30 00:00:00,TRX/USD,0.10346,0.10427,0.10289,0.10346,73218.25143573659,707696.22497329
1701216000000,2023-11-29 00:00:00,TRX/USD,0.10283,0.10407,0.10283,0.10352,41673.8800861179,402568.39341304
1701129600000,2023-11-28 00:00:00,TRX/USD,0.10178,0.10372,0.099977,0.10292,123288.0901378472,1197902.15835452
