Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1601164800.0,2020-09-27,BTCUSD,11020,11020,10814.98,10880,2.463,26895.0
1601078400.0,2020-09-26,BTCUSD,10998.57,11020,10910.6,11020,2.351,25794.88
1600992000.0,2020-09-25,BTCUSD,10919.16,11000,10848.81,10998.57,4.362,47710.23
1600905600.0,2020-09-24,BTCUSD,10782.69,11050.25,10647,10919.16,5.501,59453.44
1600819200.0,2020-09-23,BTCUSD,10888.35,10999,10682.65,10782.69,8.037,87137.02
1600732800.0,2020-09-22,BTCUSD,10869.98,10950,10775,10888.35,5.134,55784.14
1600646400.0,2020-09-21,BTCUSD,11225.5,11314.93,10800,10869.98,12.53,137582.82
1600560000.0,2020-09-20,BTCUSD,11271,11350.46,11111,11225.5,2.632,29541.03
1600473600.0,2020-09-19,BTCUSD,11145.64,11364.69,11145.64,11271,5.226,58853.65
1600387200.0,2020-09-18,BTCUSD,11093,11250,11071,11145.64,3.111,34754.99
1600300800.0,2020-09-17,BTCUSD,11210,11295.19,11071,11093,4.26,47423.93
1600214400.0,2020-09-16,BTCUSD,11095,11320,10980.09,11210,5.847,65421.2
1600128000.0,2020-09-15,BTCUSD,10928.28,11131.21,10863,11095,8.361,92166.03
1600041600.0,2020-09-14,BTCUSD,10625.78,11050,10625.67,10928.28,5.178,56084.74
1599955200.0,2020-09-13,BTCUSD,10620.17,10820.17,10595.53,10625.78,5.916,63123.6
1599868800.0,2020-09-12,BTCUSD,10680,10752.2,10600.97,10620.17,2.974,31767.69
1599782400.0,2020-09-11,BTCUSD,10619.77,10700,10562.67,10680,4.781,50680.57
1599696000.0,2020-09-10,BTCUSD,10557.03,10780,10557.03,10619.77,3.725,39750.92
1599609600.0,2020-09-09,BTCUSD,10437.46,10630.95,10366,10557.03,3.541,37280.16
1599523200.0,2020-09-08,BTCUSD,10740,10740,10365.76,10437.46,6.616,69551.21
1599436800.0,2020-09-07,BTCUSD,10730.43,10857.28,10400,10740,9.044,95831.62
1599350400.0,2020-09-06,BTCUSD,10529.41,10884.22,10485,10730.43,7.72,82113.7
1599264000.0,2020-09-05,BTCUSD,10985.96,11069,10500,10529.41,23.12,248714.1
1599177600.0,2020-09-04,BTCUSD,10914.16,11090.91,10670.77,10985.96,14.59,158341.18
1599091200.0,2020-09-03,BTCUSD,11659.2,11705,10875,10914.16,21.0,236146.9
1599004800.0,2020-09-02,BTCUSD,11932.87,11987.15,11435,11659.2,13.72,159714.61
1598918400.0,2020-09-01,BTCUSD,11820,12063.94,11730,11932.87,10.45,124643.05
1598832000.0,2020-08-31,BTCUSD,11801.79,11890.9,11750.09,11820,4.537,53532.94
1598745600.0,2020-08-30,BTCUSD,11770.1,11888.99,11700.52,11801.79,2.663,31405.34
1598659200.0,2020-08-29,BTCUSD,11710.05,11819.94,11695.69,11770.1,2.648,31105.18
