https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1703721600000,2023-12-28 00:00:00,XLM/USD,0.13092,0.13587,0.12957,0.13208,167089.71302327394,1265064.45353781
1703635200000,2023-12-27 00:00:00,XLM/USD,0.12622,0.13377,0.12404,0.13094,336417.5262608263,2569249.47503304
1703548800000,2023-12-26 00:00:00,XLM/USD,0.13132,0.13132,0.12041,0.12625,197144.4196497106,1561539.95762147
1703462400000,2023-12-25 00:00:00,XLM/USD,0.12641,0.13179,0.12522,0.13114,124348.70003342672,948213.36002308
1703376000000,2023-12-24 00:00:00,XLM/USD,0.1269,0.12803,0.12458,0.12611,96278.81937417001,763451.10914416
1703289600000,2023-12-23 00:00:00,XLM/USD,0.1268,0.12719,0.12388,0.12688,116607.21856317944,919035.45525835
1703203200000,2023-12-22 00:00:00,XLM/USD,0.12478,0.12692,0.12329,0.12683,204834.63632448344,1615033.007368
1703116800000,2023-12-21 00:00:00,XLM/USD,0.12198,0.12464,0.12138,0.12461,104598.9853922089,839410.84497399
1703030400000,2023-12-20 00:00:00,XLM/USD,0.11947,0.123,0.11884,0.12195,98906.1829206374,811038.81033733
1702944000000,2023-12-19 00:00:00,XLM/USD,0.121,0.12255,0.1188,0.11958,115205.07952432742,963414.27934711
1702857600000,2023-12-18 00:00:00,XLM/USD,0.12224,0.12251,0.11629,0.12131,218230.5835159903,1798949.66215473
1702771200000,2023-12-17 00:00:00,XLM/USD,0.12504,0.12519,0.12203,0.12226,37156.01997942054,303909.86405546
1702684800000,2023-12-16 00:00:00,XLM/USD,0.12307,0.12624,0.1216,0.12465,68056.6208661359,545981.71573314
1702598400000,2023-12-15 00:00:00,XLM/USD,0.1277,0.12823,0.12274,0.12306,197133.8654602187,1601932.92264114
1702512000000,2023-12-14 00:00:00,XLM/USD,0.1251,0.12827,0.12276,0.12769,145246.55900238606,1137493.60954175
1702425600000,2023-12-13 00:00:00,XLM/USD,0.12321,0.12569,0.11837,0.12492,183428.23845576143,1468365.66166956
1702339200000,2023-12-12 00:00:00,XLM/USD,0.12345,0.12547,0.12101,0.12327,247907.300724629,2011091.91794134
1702252800000,2023-12-11 00:00:00,XLM/USD,0.13342,0.13467,0.1171,0.12366,703356.6235719179,5687826.48853241
1702166400000,2023-12-10 00:00:00,XLM/USD,0.13371,0.13695,0.13164,0.13332,145769.33196738418,1093379.32768815
1702080000000,2023-12-09 00:00:00,XLM/USD,0.13241,0.13845,0.1315,0.13374,479195.0057500324,3583034.28854518
1701993600000,2023-12-08 00:00:00,XLM/USD,0.12637,0.13325,0.12604,0.13235,152314.4407088043,1150845.7930397
1701907200000,2023-12-07 00:00:00,XLM/USD,0.12536,0.12735,0.12281,0.12615,160773.4248357981,1274462.34511136
1701820800000,2023-12-06 00:00:00,XLM/USD,0.12257,0.126,0.12082,0.12551,159472.40041607493,1270595.17501454
1701734400000,2023-12-05 00:00:00,XLM/USD,0.12218,0.12288,0.11948,0.12254,146637.58539669527,1196650.77033373
