https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1701820800,2023-12-06,LTC/USD,72.29,72.45,72.29,72.45,27.76650055,2011.6829648475
1701734400,2023-12-05,LTC/USD,71.651,71.651,71.64,71.64,22.27116014,1595.5059124296
1701648000,2023-12-04,LTC/USD,74.2,74.2,72.88,72.88,6.17,449.66959999999995
1701302400,2023-11-30,LTC/USD,70.099,70.099,70.099,70.099,7.11636399,498.84999933501
1701216000,2023-11-29,LTC/USD,69.95,69.95,69.95,69.95,0.17,11.8915
1701043200,2023-11-27,LTC/USD,69.11,69.11,69.06,69.06,0.51,35.220600000000005
1700956800,2023-11-26,LTC/USD,71.03,71.03,71.03,71.03,8.82849436,627.0879543908001
1700697600,2023-11-23,LTC/USD,70.0,70.0,70.0,70.0,3.67438127,257.2066889
1700611200,2023-11-22,LTC/USD,66.31,68.58,66.31,68.58,57.51462071,3944.3526882918
1700524800,2023-11-21,LTC/USD,69.586,71.933,65.372,66.289,204.85382258,13579.555045005622
1700438400,2023-11-20,LTC/USD,70.553,70.917,69.004,69.557,64.46501252,4483.992875853641
1700352000,2023-11-19,LTC/USD,69.747,70.582,68.737,70.582,28.36156938,2001.8162899791598
1700265600,2023-11-18,LTC/USD,70.143,70.143,67.811,69.776,34.08185527,2378.0955333195197
1700179200,2023-11-17,LTC/USD,71.043,71.479,68.313,70.223,201.96559696,14182.63011532208
1700092800,2023-11-16,LTC/USD,74.18,74.197,70.081,71.072,74.48746989,5293.97346002208
1700006400,2023-11-15,LTC/USD,70.679,74.204,70.679,74.204,124.5704892,9243.628580596798
1699920000,2023-11-14,LTC/USD,71.124,72.344,68.558,70.598,167.61817157,11833.507676498859
1699833600,2023-11-13,LTC/USD,74.857,75.833,70.608,71.205,163.30497206,11628.1305355323
1699747200,2023-11-12,LTC/USD,75.234,76.705,72.577,74.888,136.92428632,10253.98595393216
1699660800,2023-11-11,LTC/USD,73.319,75.851,71.177,75.149,82.13635869,6172.46521919481
1699574400,2023-11-10,LTC/USD,73.879,75.205,70.958,73.25,74.89625902,5486.150973215
1699488000,2023-11-09,LTC/USD,73.138,76.015,68.695,73.985,454.21654892,33605.2113718462
1699401600,2023-11-08,LTC/USD,73.384,74.202,72.635,73.222,94.59847808,6926.68976197376
1699315200,2023-11-07,LTC/USD,74.46,74.46,71.211,73.415,78.02127023,5727.93155393545
1699228800,2023-11-06,LTC/USD,71.598,74.8,71.016,74.545,180.94160096,13488.2916435632
1699142400,2023-11-05,LTC/USD,70.684,72.18,70.08,71.68,100.64366875,7214.138176000001
1699056000,2023-11-04,LTC/USD,69.394,70.888,69.0,70.661,51.53229629,3641.32358814769
1698969600,2023-11-03,LTC/USD,69.364,69.502,67.711,69.473,40.67265801,2825.6515699287297
1698883200,2023-11-02,LTC/USD,69.953,70.575,67.652,69.285,132.7135594,9195.058963029
1698796800,2023-11-01,LTC/USD,68.892,70.273,66.626,69.924,96.3077448,6734.222747395201
1698710400,2023-10-31,LTC/USD,69.173,70.369,68.113,68.813,166.81442172,11479.000801818362
1698624000,2023-10-30,LTC/USD,68.756,69.639,67.822,69.202,40.02380229,2769.72716607258
1698537600,2023-10-29,LTC/USD,67.739,69.183,67.283,68.835,31.59620851,2174.92501278585
1698451200,2023-10-28,LTC/USD,66.992,68.222,66.992,67.678,67.27539339,4553.06407384842
1698364800,2023-10-27,LTC/USD,68.781,68.781,65.927,66.948,58.53605804,3918.8720136619195
1698278400,2023-10-26,LTC/USD,68.656,70.468,66.95,68.842,112.22037366,7725.474963501721
1698192000,2023-10-25,LTC/USD,69.057,70.219,67.647,68.578,109.94004081,7539.46811866818
1698105600,2023-10-24,LTC/USD,68.997,72.492,67.315,68.972,446.3683047,30786.914711768397
1698019200,2023-10-23,LTC/USD,65.169,69.75,65.035,68.918,239.81424383,16527.51805627594
1697932800,2023-10-22,LTC/USD,64.806,66.129,63.349,65.196,123.00280513,8019.2908832554795
1697846400,2023-10-21,LTC/USD,63.545,65.234,63.545,64.76,24.81883968,1607.2680576768
1697760000,2023-10-20,LTC/USD,61.751,64.136,61.724,63.508,35.48250491,2253.4229218242804
1697673600,2023-10-19,LTC/USD,60.194,61.838,59.998,61.695,42.25692782,2607.0411618549
1697587200,2023-10-18,LTC/USD,62.123,62.67,60.137,60.137,63.65582331,3828.0702463934704
1697500800,2023-10-17,LTC/USD,63.291,63.291,61.663,62.084,24.61872938,1528.4291948279201
1697414400,2023-10-16,LTC/USD,61.541,66.216,61.541,63.369,121.77419412,7716.70890719028
1697328000,2023-10-15,LTC/USD,61.723,62.069,61.515,61.515,10.03679384,617.4133730676
