Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1601164800.0,2020-09-27,BTCUSD,10683.15,10717.76,10643,10717.76,0.3076,3275.71
1601078400.0,2020-09-26,BTCUSD,10642.34,10834.33,10642.34,10683.15,0.07545,812.16
1600992000.0,2020-09-25,BTCUSD,10380,10715.75,10380,10642.34,0.01838,195.53
1600905600.0,2020-09-24,BTCUSD,10239,10384.26,10239,10380,0.01659,171.99
1600819200.0,2020-09-23,BTCUSD,10545.75,10799.99,10239,10239,0.5778,6064.44
1600732800.0,2020-09-22,BTCUSD,10478.34,10583.12,10423.2,10545.75,1.739,18241.53
1600646400.0,2020-09-21,BTCUSD,10821.58,10821.58,10299.2,10478.34,1.673,17480.1
1600560000.0,2020-09-20,BTCUSD,10975.44,10975.44,10821.58,10821.58,0.05915,641.32
1600473600.0,2020-09-19,BTCUSD,10986.31,11399.99,10422.88,10975.44,0.7568,8371.6
1600387200.0,2020-09-18,BTCUSD,10422.88,11349.99,10422.88,10986.31,0.921,10161.47
1600300800.0,2020-09-17,BTCUSD,11000,11200.08,10422.79,10422.88,0.05743,613.54
1600214400.0,2020-09-16,BTCUSD,10400.11,11000,10400.11,11000,0.1678,1799.08
1600128000.0,2020-09-15,BTCUSD,10694.95,10900.53,10400.11,10400.11,0.2086,2257.1
1600041600.0,2020-09-14,BTCUSD,10894.96,10894.96,10500,10694.95,0.0954,1016.46
1599955200.0,2020-09-13,BTCUSD,10431.66,10900.47,10230.51,10894.96,0.2907,3073.57
1599868800.0,2020-09-12,BTCUSD,10390,10431.66,10390,10431.66,0.003636,37.93
1599782400.0,2020-09-11,BTCUSD,10699.99,10900.53,10200.11,10390,0.4005,4268.33
1599696000.0,2020-09-10,BTCUSD,10230.02,10699.99,10230.02,10699.99,0.1833,1907.4
1599609600.0,2020-09-09,BTCUSD,10399.99,10399.99,10230.02,10230.02,0.1716,1762.84
1599523200.0,2020-09-08,BTCUSD,10400,10799.97,9973.8,10399.99,0.4074,4161.76
1599436800.0,2020-09-07,BTCUSD,10500,11448,9980,10400,0.2303,2383.31
1599350400.0,2020-09-06,BTCUSD,9978.75,11600,9978.75,10500,0.8761,9229.19
1599264000.0,2020-09-05,BTCUSD,10979.9,11690,9900,9978.75,0.2107,2230.29
1599177600.0,2020-09-04,BTCUSD,10000,11344.99,9999,10979.9,0.4584,4699.8
1599091200.0,2020-09-03,BTCUSD,11510.43,11848.77,10000,10000,3.296,35328.3
1599004800.0,2020-09-02,BTCUSD,11721.77,12247.97,11200,11510.43,1.759,20251.62
1598918400.0,2020-09-01,BTCUSD,11661.6,12297.73,11600,11721.77,1.132,13500.09
1598832000.0,2020-08-31,BTCUSD,11697.77,11700,11600,11661.6,0.4072,4745.99
1598745600.0,2020-08-30,BTCUSD,11677.77,11697.77,11677.77,11697.77,0.006165,72.12
1598659200.0,2020-08-29,BTCUSD,11677.77,11677.77,11677.77,11677.77,0.0,0.0
1598572800.0,2020-08-28,BTCUSD,11677.75,11677.77,11677.74,11677.77,0.04265,498.07
