https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FIL,Volume USDT,tradecount
1702425600000,2023-12-13,FILUSDT,4.65,4.772,4.41,4.722,6386206.72,29196834.69883,111332
1702339200000,2023-12-12,FILUSDT,4.614,4.77,4.502,4.649,10023468.86,46904778.35872,157349
1702252800000,2023-12-11,FILUSDT,5.151,5.198,4.44,4.615,12952001.03,61244453.23775,235135
1702166400000,2023-12-10,FILUSDT,5.127,5.229,4.972,5.151,6211295.0,31721976.2852,119245
1702080000000,2023-12-09,FILUSDT,5.221,5.477,5.06,5.127,13026472.84,69476192.6321,240821
1701993600000,2023-12-08,FILUSDT,5.03,5.259,4.937,5.219,7578381.7,38654918.15124,132926
1701907200000,2023-12-07,FILUSDT,4.739,5.1,4.73,5.031,11733660.16,58072455.73648,210913
1701820800000,2023-12-06,FILUSDT,4.785,4.85,4.618,4.739,8898476.79,42298878.49158,173552
1701734400000,2023-12-05,FILUSDT,4.732,4.867,4.55,4.784,9557157.01,45054590.51589,178635
1701648000000,2023-12-04,FILUSDT,4.575,4.852,4.48,4.732,11780465.27,55216941.53915,204359
1701561600000,2023-12-03,FILUSDT,4.662,4.722,4.424,4.574,7059679.55,32251132.4428,114860
1701475200000,2023-12-02,FILUSDT,4.506,4.729,4.493,4.662,4427271.94,20314707.03016,72130
1701388800000,2023-12-01,FILUSDT,4.384,4.556,4.35,4.505,4159445.01,18612835.76358,68056
1701302400000,2023-11-30,FILUSDT,4.434,4.451,4.331,4.384,3385920.79,14868825.58646,56380
1701216000000,2023-11-29,FILUSDT,4.533,4.598,4.411,4.433,5077466.42,22902047.32121,82090
1701129600000,2023-11-28,FILUSDT,4.542,4.587,4.371,4.533,4941008.17,22175733.58226,84556
1701043200000,2023-11-27,FILUSDT,4.597,4.647,4.418,4.541,5674285.02,25623653.32408,99779
1700956800000,2023-11-26,FILUSDT,4.779,4.815,4.446,4.595,5617890.98,25981876.96263,97251
1700870400000,2023-11-25,FILUSDT,4.643,4.783,4.609,4.779,3199948.99,15045452.01839,59690
1700784000000,2023-11-24,FILUSDT,4.487,4.714,4.481,4.643,4512581.87,20806115.86072,79938
1700697600000,2023-11-23,FILUSDT,4.475,4.564,4.413,4.487,3647500.15,16367105.67901,57101
1700611200000,2023-11-22,FILUSDT,4.192,4.538,4.181,4.474,6045144.38,26493726.92842,92560
1700524800000,2023-11-21,FILUSDT,4.686,4.742,4.15,4.192,12242806.25,54740355.48303,222106
1700438400000,2023-11-20,FILUSDT,4.883,4.902,4.612,4.687,5820722.21,27857015.47984,118726
1700352000000,2023-11-19,FILUSDT,4.715,4.92,4.604,4.881,4856132.72,23181268.52622,90644
1700265600000,2023-11-18,FILUSDT,4.736,4.739,4.383,4.716,5987989.1,27520879.53383,113383
1700179200000,2023-11-17,FILUSDT,4.849,4.972,4.52,4.737,7627768.6,36167319.63891,156101
1700092800000,2023-11-16,FILUSDT,5.217,5.422,4.748,4.85,11328113.54,57587702.77178,233368
1700006400000,2023-11-15,FILUSDT,4.789,5.285,4.773,5.219,9915926.26,50177423.28943,192246
1699920000000,2023-11-14,FILUSDT,5.011,5.158,4.571,4.789,13554795.27,66878950.07907,277988
1699833600000,2023-11-13,FILUSDT,5.143,5.666,5.0,5.012,24888248.97,134042120.73109,560153
1699747200000,2023-11-12,FILUSDT,4.739,5.257,4.541,5.144,9994734.16,48942138.15133,204540
1699660800000,2023-11-11,FILUSDT,4.584,4.9,4.45,4.739,9682155.32,45547564.13741,194805
1699574400000,2023-11-10,FILUSDT,4.501,4.653,4.369,4.584,6645708.47,29967380.15079,136188
1699488000000,2023-11-09,FILUSDT,4.43,4.696,4.172,4.499,10754292.15,48367992.20951,220584
1699401600000,2023-11-08,FILUSDT,4.236,4.472,4.213,4.43,4091609.58,17702477.1914,74737
1699315200000,2023-11-07,FILUSDT,4.338,4.349,4.076,4.236,6178144.19,26238942.70349,109904
1699228800000,2023-11-06,FILUSDT,4.11,4.46,4.05,4.34,8091769.39,34391519.13599,118041
1699142400000,2023-11-05,FILUSDT,4.001,4.154,3.978,4.11,5014212.7,20416830.96965,87792
1699056000000,2023-11-04,FILUSDT,3.924,4.027,3.891,4.002,2767073.21,10932639.8924,50684
1698969600000,2023-11-03,FILUSDT,4.092,4.097,3.834,3.925,6582792.65,26067409.85829,114327
1698883200000,2023-11-02,FILUSDT,3.937,4.187,3.776,4.091,8449904.45,33533687.61568,134994
1698796800000,2023-11-01,FILUSDT,3.828,4.0,3.706,3.938,5816055.31,22368082.6577,95158
1698710400000,2023-10-31,FILUSDT,3.857,3.94,3.696,3.828,5889311.52,22551795.2527,85148
1698624000000,2023-10-30,FILUSDT,3.794,3.878,3.73,3.857,3600650.41,13757547.562,60719
1698537600000,2023-10-29,FILUSDT,3.735,3.94,3.641,3.795,3764365.23,14192029.73274,57793
1698451200000,2023-10-28,FILUSDT,3.591,3.753,3.587,3.735,2251485.68,8274547.86271,37949
1698364800000,2023-10-27,FILUSDT,3.732,3.737,3.518,3.591,3708781.77,13480855.16383,62186
1698278400000,2023-10-26,FILUSDT,3.771,3.877,3.6,3.732,5091963.03,19120499.37423,83960
1698192000000,2023-10-25,FILUSDT,3.833,3.977,3.681,3.771,6005816.29,22880002.55378,99806
1698105600000,2023-10-24,FILUSDT,3.859,3.988,3.699,3.833,12342502.94,47540340.72273,196794
1698019200000,2023-10-23,FILUSDT,3.423,3.95,3.396,3.861,10285258.63,37703113.76126,160513
1697932800000,2023-10-22,FILUSDT,3.341,3.456,3.312,3.423,4502262.37,15235536.58518,56269
1697846400000,2023-10-21,FILUSDT,3.214,3.385,3.202,3.341,3676556.33,12133257.84053,38218
1697760000000,2023-10-20,FILUSDT,3.192,3.29,3.174,3.214,2884799.8,9335174.05495,37050
1697673600000,2023-10-19,FILUSDT,3.174,3.198,3.131,3.191,2162022.21,6842684.45902,35131
1697587200000,2023-10-18,FILUSDT,3.205,3.243,3.155,3.174,1516487.69,4840491.66466,28614
