https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1700784000000,2023-11-24 00:00:00,SOL/USD,56.448,58.827,56.266,56.88,21547.435688,1225618.1419334402
1700697600000,2023-11-23 00:00:00,SOL/USD,57.554,59.5,56.193,56.448,23490.722675,1326004.3135584001
1700611200000,2023-11-22 00:00:00,SOL/USD,51.69,58.931,51.6,57.554,35873.710109,2064675.511613386
1700524800000,2023-11-21 00:00:00,SOL/USD,56.732,57.4,51.338,51.69,42083.396909,2175290.78622621
1700438400000,2023-11-20 00:00:00,SOL/USD,61.105,61.288,56.054,56.732,29882.744629,1695307.868292428
1700352000000,2023-11-19 00:00:00,SOL/USD,58.48,62.043,56.703,61.105,37876.284467,2314430.3623560346
1700265600000,2023-11-18 00:00:00,SOL/USD,58.492,59.419,54.77,58.48,20827.377249,1217985.02152152
1700179200000,2023-11-17 00:00:00,SOL/USD,57.957,60.381,54.202,58.492,46798.115242,2737315.3567350637
1700092800000,2023-11-16 00:00:00,SOL/USD,65.576,68.211,56.466,57.957,94619.276987,5483849.436335559
1700006400000,2023-11-15 00:00:00,SOL/USD,56.887,67.139,56.326,65.576,63478.987854,4162698.1075139036
1699920000000,2023-11-14 00:00:00,SOL/USD,51.695,57.865,51.47,56.887,32608.028469,1854972.915516003
1699833600000,2023-11-13 00:00:00,SOL/USD,56.353,59.751,51.515,51.695,51619.358951,2668462.7609719452
1699747200000,2023-11-12 00:00:00,SOL/USD,56.232,62.052,54.562,56.353,44340.690962,2498730.9577815863
1699660800000,2023-11-11 00:00:00,SOL/USD,57.134,65.609,53.8,56.232,66318.713455,3729233.89500156
1699574400000,2023-11-10 00:00:00,SOL/USD,45.495,57.456,45.144,57.134,85674.299552,4894915.430603968
1699488000000,2023-11-09 00:00:00,SOL/USD,43.145,49.0,42.69,45.495,70489.611399,3206924.870597505
1699401600000,2023-11-08 00:00:00,SOL/USD,43.0,44.23,42.348,43.145,33881.167955,1461802.991418475
1699315200000,2023-11-07 00:00:00,SOL/USD,42.24,44.685,40.154,43.0,57513.534727,2473081.993261
1699228800000,2023-11-06 00:00:00,SOL/USD,41.22,42.24,39.742,42.24,38299.320777,1617763.30962048
1699142400000,2023-11-05 00:00:00,SOL/USD,42.545,42.966,40.31,41.22,28311.827896,1167013.54587312
1699056000000,2023-11-04 00:00:00,SOL/USD,39.507,43.2,39.07,42.545,39790.837076,1692901.1633984202
1698969600000,2023-11-03 00:00:00,SOL/USD,40.154,40.337,38.08,39.507,47188.861926,1864290.3681104819
1698883200000,2023-11-02 00:00:00,SOL/USD,41.263,44.643,38.71,40.154,74622.929299,2996409.1030720463
1698796800000,2023-11-01 00:00:00,SOL/USD,38.438,46.97,37.925,41.263,123581.770697,5099354.604270311
1698710400000,2023-10-31 00:00:00,SOL/USD,34.968,38.89,34.883,38.438,61180.406451,2351652.4631635384
1698624000000,2023-10-30 00:00:00,SOL/USD,32.833,35.34,32.407,34.968,41041.690923,1435145.8481954641
1698537600000,2023-10-29 00:00:00,SOL/USD,31.731,33.166,31.355,32.833,47053.539776,1544908.8714654078
