https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1640995200000,2022-01-01 00:00:00,ETH/USDT,3675.23213207,3775.19098469,3673.79332455,3765.85316169,5474898.56169276,1467.86566104,0,0,0,3729.83625614
1640908800000,2021-12-31 00:00:00,ETH/USDT,3709.22183247,3821.62999688,3606.91395217,3677.49618503,21249209.11239493,5668.36652044,0,0,0,3748.73590756
1640822400000,2021-12-30 00:00:00,ETH/USDT,3629.30857366,3767.99999999,3586.22488195,3709.31456534,8740104.91504466,2356.57146507,0,0,0,3708.82234831
1640736000000,2021-12-29 00:00:00,ETH/USDT,3793.87705232,3826.43432114,3603.00086504,3629.68997339,11735452.51053617,3140.23492102,0,0,0,3737.12566279
1640649600000,2021-12-28 00:00:00,ETH/USDT,4037.7904761,4037.7904761,3760.75242118,3792.28713688,14602542.72378299,3755.30423399,0,0,0,3888.51124007
1640563200000,2021-12-27 00:00:00,ETH/USDT,4062,4125,4032,4036.47382932,10237778.32971852,2515.67443624,0,0,0,4069.5958834
1640476800000,2021-12-26 00:00:00,ETH/USDT,4092.55479022,4104.36175032,4006.17293297,4061.59388644,7895866.55269416,1947.47811983,0,0,0,4054.40578371
1640390400000,2021-12-25 00:00:00,ETH/USDT,4045.81922112,4136.47415175,4020.72742161,4093.57599599,9456187.89523234,2324.9381794,0,0,0,4067.28573646
1640304000000,2021-12-24 00:00:00,ETH/USDT,4110.5,4134.00198788,4018.8684859,4043.32353094,3721777.22284093,911.24133316,0,0,0,4084.29368533
1640217600000,2021-12-23 00:00:00,ETH/USDT,3979.47691829,4150.58092607,3895.0624751,4109.5,9093472.30908348,2277.66309793,0,0,0,3992.45714493
1640131200000,2021-12-22 00:00:00,ETH/USDT,4018.57672264,4072.69485327,3936.6076946,3979.5764077,7660897.93576447,1908.71647328,0,0,0,4013.63850682
1640044800000,2021-12-21 00:00:00,ETH/USDT,3944.11200091,4062.39089311,3910,4017.29684153,12922257.50241949,3227.07166725,0,0,0,4004.32926035
1639958400000,2021-12-20 00:00:00,ETH/USDT,3923.95658935,3980.89943081,3755,3940.48461753,13312542.72565331,3446.30684259,0,0,0,3862.84313431
1639872000000,2021-12-19 00:00:00,ETH/USDT,3957.60809906,4029.29878205,3886.11060406,3923.46615051,13220471.5568258,3353.12244325,0,0,0,3942.73450509
1639785600000,2021-12-18 00:00:00,ETH/USDT,3876.52148847,3996,3768.02406564,3958.91722191,9225889.59881898,2359.708466,0,0,0,3909.75823147
1639699200000,2021-12-17 00:00:00,ETH/USDT,3957.43414712,3993.29297081,3698.43308088,3876.91796312,17456319.79321974,4525.82931821,0,0,0,3857.04333192
1639612800000,2021-12-16 00:00:00,ETH/USDT,4024.1517356,4112.49235823,3954.58512269,3956.28409226,18697918.46420781,4629.13584359,0,0,0,4039.18119838
1639526400000,2021-12-15 00:00:00,ETH/USDT,3859.81846379,4094.40347466,3645.6,4018.9338738,24966641.59409011,6446.27770882,0,0,0,3873.032271
1639440000000,2021-12-14 00:00:00,ETH/USDT,3783.82499051,3879.96,3686.73,3859.71453671,10485242.55636692,2767.72796714,0,0,0,3788.3934696
1639353600000,2021-12-13 00:00:00,ETH/USDT,4130.06317002,4142.55822133,3670.98361899,3781.13715225,21942208.87667071,5685.21327976,0,0,0,3859.52255384
1639267200000,2021-12-12 00:00:00,ETH/USDT,4086.34316009,4172.73287383,3987.54603287,4131.81510633,9049611.15069374,2228.70466203,0,0,0,4060.48019949
1639180800000,2021-12-11 00:00:00,ETH/USDT,3899.69419206,4095.57,3831.68235702,4084.23663046,15738127.98345394,3940.66159878,0,0,0,3993.77809764
1639094400000,2021-12-10 00:00:00,ETH/USDT,4109.85,4230.0137621,3889.33182343,3900.99708142,29597834.16079662,7292.7242403,0,0,0,4058.54289638
1639008000000,2021-12-09 00:00:00,ETH/USDT,4436.43672353,4485.77582058,4076.58076387,4105.70328724,15197978.04165154,3576.12752274,0,0,0,4249.84230707
1638921600000,2021-12-08 00:00:00,ETH/USDT,4309.46886507,4450,4225.40337451,4435.36892928,11688570.57477993,2692.72381049,0,0,0,4340.79816475
1638835200000,2021-12-07 00:00:00,ETH/USDT,4350.15163947,4424.12231286,4258.22442143,4306.84010076,12438424.11691922,2851.55635539,0,0,0,4361.97730878
1638748800000,2021-12-06 00:00:00,ETH/USDT,4195.76827857,4375.36868328,3921,4352.55300187,21970040.87932167,5364.40221062,0,0,0,4095.52453688
1638662400000,2021-12-05 00:00:00,ETH/USDT,4122.61123186,4247.68261641,4032.89037465,4195.77981358,19490683.34338953,4707.16668052,0,0,0,4140.64014857
1638576000000,2021-12-04 00:00:00,ETH/USDT,4213.53905927,4236.60329547,3450,4118.23395132,42472838.55353389,10822.53796574,0,0,0,3924.48043961
1638489600000,2021-12-03 00:00:00,ETH/USDT,4512.09327843,4654,4045.64545178,4219.94910299,25682302.31589002,5866.5855529,0,0,0,4377.72569483
1638403200000,2021-12-02 00:00:00,ETH/USDT,4582.91055906,4632.76082036,4434.5166226,4511.52003944,17163572.17833902,3793.17824427,0,0,0,4524.85253079
1638316800000,2021-12-01 00:00:00,ETH/USDT,4626.38361874,4777.18464997,4526.4859953,4583.26586459,19413966.56901334,4143.42052002,0,0,0,4685.49269262
1638230400000,2021-11-30 00:00:00,ETH/USDT,4443.64148105,4790.47436877,4347.94968898,4623.22445438,38233556.37894748,8371.65718281,0,0,0,4567.02365422
1638144000000,2021-11-29 00:00:00,ETH/USDT,4296.5489595,4457.11017532,4275.09387444,4443.38692654,20144975.47244922,4617.75492403,0,0,0,4362.50424803
1638057600000,2021-11-28 00:00:00,ETH/USDT,4095.39922579,4298.785088,3966.19835532,4296.49447984,21530987.64472028,5260.94282546,0,0,0,4092.61008131
1637971200000,2021-11-27 00:00:00,ETH/USDT,4040.85425766,4182.34123384,4028.48076945,4098.42910433,12757403.66753954,3101.56412968,0,0,0,4113.2161497
1637884800000,2021-11-26 00:00:00,ETH/USDT,4522,4548.41344616,3916.57480847,4040.15498933,39566568.93810964,9604.84507978,0,0,0,4119.43853435
