https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1703894400,2023-12-30 00:00:00,UNI/USD,7.51400,7.79200,7.35100,7.42783,6923.24441791,51424.68258468444
1703808000,2023-12-29 00:00:00,UNI/USD,7.81501,7.81501,7.40600,7.54802,7039.36980972,53133.30411116276
1703721600,2023-12-28 00:00:00,UNI/USD,7.33702,8.25400,7.33702,7.79001,18525.93188068,144317.194609816
1703635200,2023-12-27 00:00:00,UNI/USD,7.17001,7.94000,7.14459,7.25499,8914.53935276,64674.89385888028
1703548800,2023-12-26 00:00:00,UNI/USD,6.94100,7.75969,6.65700,7.43624,48873.42091651,363434.4875561883
1703462400,2023-12-25 00:00:00,UNI/USD,6.77891,7.10593,6.67600,6.98000,29031.62551590,202640.746100982
1703376000,2023-12-24 00:00:00,UNI/USD,6.43699,7.17755,6.05104,6.86887,13605.57062291,93454.89588458781
1703289600,2023-12-23 00:00:00,UNI/USD,6.43400,6.43400,6.11111,6.27899,4508.84378876,28310.985061186155
1703203200,2023-12-22 00:00:00,UNI/USD,6.18501,6.49000,6.16600,6.42200,14083.69233107,90445.47215013154
1703116800,2023-12-21 00:00:00,UNI/USD,5.93100,6.20000,5.87592,6.20000,4011.95817065,24874.14065803
1703030400,2023-12-20 00:00:00,UNI/USD,5.85900,6.09899,5.82680,5.92300,2049.28515411,12137.91596779353
1702944000,2023-12-19 00:00:00,UNI/USD,6.03112,6.03112,5.79539,5.82547,2510.24200816,14623.339511275835
1702857600,2023-12-18 00:00:00,UNI/USD,6.08126,6.08126,5.60000,5.93234,14009.76373837,83110.68181568189
1702771200,2023-12-17 00:00:00,UNI/USD,6.05607,6.24254,6.04909,6.06043,3307.88689216,20047.21695785323
1702684800,2023-12-16 00:00:00,UNI/USD,6.05000,6.22301,5.93800,6.14506,6553.60439553,40272.29222679558
1702598400,2023-12-15 00:00:00,UNI/USD,6.27900,6.28940,6.00000,6.02701,25848.92263922,155791.7152358053
1702512000,2023-12-14 00:00:00,UNI/USD,6.33111,6.44499,6.26975,6.30201,20753.75095913,130790.34608194686
1702425600,2023-12-13 00:00:00,UNI/USD,6.23600,6.31291,5.99000,6.31291,6033.36755130,38088.10634827728
1702339200,2023-12-12 00:00:00,UNI/USD,6.09900,6.29800,6.09900,6.23500,5854.93334537,36505.50940838195
1702252800,2023-12-11 00:00:00,UNI/USD,6.61282,6.61282,5.90000,6.09000,19862.88257695,120964.9548936255
1702166400,2023-12-10 00:00:00,UNI/USD,6.87775,6.87776,6.41422,6.60099,27872.03607041,183983.03138041572
1702080000,2023-12-09 00:00:00,UNI/USD,6.57971,7.03300,6.57557,6.83701,72841.11575143,498015.43680368445
1701993600,2023-12-08 00:00:00,UNI/USD,6.30600,6.48500,6.29500,6.46801,6389.43302700,41326.91671296627
1701907200,2023-12-07 00:00:00,UNI/USD,6.03299,6.30100,6.03299,6.25802,6985.19156041,43713.46848887699
1701820800,2023-12-06 00:00:00,UNI/USD,6.25955,6.27150,5.98500,6.01100,9338.15206668,56131.63207281348
1701734400,2023-12-05 00:00:00,UNI/USD,6.15104,6.32999,5.99800,6.24000,19984.03475418,124700.3768660832
1701648000,2023-12-04 00:00:00,UNI/USD,6.12300,6.27448,5.93000,6.09500,19009.88824106,115865.2688292607
1701561600,2023-12-03 00:00:00,UNI/USD,6.15300,6.24261,5.96099,6.05654,4888.02029680,29604.490448381075
1701475200,2023-12-02 00:00:00,UNI/USD,6.08199,6.18500,6.05386,6.13400,28884.50999561,177177.58431307174
1701388800,2023-12-01 00:00:00,UNI/USD,5.94300,6.08999,5.94300,6.05500,4263.53856998,25815.7260412289
1701302400,2023-11-30 00:00:00,UNI/USD,5.98701,6.02700,5.87971,5.95330,15312.80265404,91161.70804029633
1701216000,2023-11-29 00:00:00,UNI/USD,6.16577,6.33400,5.98801,6.01500,11702.58770260,70391.06503113899
