https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1703116800000,2023-12-21 00:00:00,DAI/USD,0.99925,1.00043,0.99855,0.99859,143895.396727,143692.50421761494
1703030400000,2023-12-20 00:00:00,DAI/USD,0.99856,0.99994,0.99392,0.99925,46154.713775,46120.097739668745
1702944000000,2023-12-19 00:00:00,DAI/USD,0.99924,0.99941,0.99391,0.99856,49513.221916,49441.92287644096
1702857600000,2023-12-18 00:00:00,DAI/USD,0.9992,1.02722,0.99729,0.99924,67227.420111,67176.32727171564
1702771200000,2023-12-17 00:00:00,DAI/USD,0.99931,1.00074,0.99444,0.9992,28468.797691,28446.022652847198
1702684800000,2023-12-16 00:00:00,DAI/USD,1.00019,1.00237,0.9976,0.99931,20643.676925,20629.43278792175
1702598400000,2023-12-15 00:00:00,DAI/USD,1.00196,1.00379,0.9999,1.00019,4999.817765,5000.767730375349
1702512000000,2023-12-14 00:00:00,DAI/USD,0.99777,1.00519,0.99759,1.00196,32188.123752,32251.21247455392
1702425600000,2023-12-13 00:00:00,DAI/USD,0.9999,1.00197,0.9976,0.99777,17657.076935,17617.701653434953
1702339200000,2023-12-12 00:00:00,DAI/USD,1.0009,1.00624,0.9974,0.9999,69483.073582,69476.1252746418
1702252800000,2023-12-11 00:00:00,DAI/USD,0.99901,1.0009,0.993,1.0009,93328.01837,93412.013586533
1702166400000,2023-12-10 00:00:00,DAI/USD,0.9998,0.9999,0.99901,0.99901,2480.418154,2477.96254002754
1702080000000,2023-12-09 00:00:00,DAI/USD,0.99952,1.00096,0.99952,0.9998,62987.013379,62974.415976324206
1701993600000,2023-12-08 00:00:00,DAI/USD,1.00112,1.00276,0.99564,0.99952,22180.497654,22169.851015126078
1701907200000,2023-12-07 00:00:00,DAI/USD,1.00229,1.03387,0.99894,1.00112,50739.103616,50795.93141204992
1701820800000,2023-12-06 00:00:00,DAI/USD,0.99995,1.01917,0.99555,1.00229,60988.363006,61128.026357283736
1701734400000,2023-12-05 00:00:00,DAI/USD,0.9997,0.99995,0.99695,0.99995,80293.697839,80289.68315410805
1701648000000,2023-12-04 00:00:00,DAI/USD,0.99877,0.9999,0.99551,0.9997,86337.526394,86311.6251360818
1701561600000,2023-12-03 00:00:00,DAI/USD,0.9992,0.99995,0.99542,0.99877,66096.317414,66015.01894358078
1701475200000,2023-12-02 00:00:00,DAI/USD,0.9998,0.9999,0.99729,0.9992,26598.547876,26577.2690376992
1701388800000,2023-12-01 00:00:00,DAI/USD,0.99931,0.99994,0.9957,0.9998,138774.406746,138746.6518646508
1701302400000,2023-11-30 00:00:00,DAI/USD,0.99741,0.99999,0.98349,0.99931,184298.497894,184171.33193045313
1701216000000,2023-11-29 00:00:00,DAI/USD,0.99859,0.99998,0.9934,0.99741,24485.833748,24422.41543859268
