https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1694995200000,2023-09-18 00:00:00,BTC/USD,26543,27452,26444,26788,76929178.47148904,2871.77760458
1694908800000,2023-09-17 00:00:00,BTC/USD,26575,26634,26444,26547,8664788.14306932,326.39424956
1694822400000,2023-09-16 00:00:00,BTC/USD,26625,26792,26475,26576,8095179.12185664,304.60487364
1694736000000,2023-09-15 00:00:00,BTC/USD,26543,26910,26255,26625,24009045.299156252,901.74818025
1694649600000,2023-09-14 00:00:00,BTC/USD,26238,26869,26151,26544,67967869.9703808,2560.5737632
1694563200000,2023-09-13 00:00:00,BTC/USD,25854,26430,25797,26238,22943558.61622026,874.44007227
1694476800000,2023-09-12 00:00:00,BTC/USD,25177,26575,25152,25851,64245512.636716105,2485.22349761
1694390400000,2023-09-11 00:00:00,BTC/USD,25849,25904,24917,25183,31241753.45006839,1240.58902633
1694304000000,2023-09-10 00:00:00,BTC/USD,25914,26042,25608,25860,13047719.719772398,504.55219334
1694217600000,2023-09-09 00:00:00,BTC/USD,25917,25950,25811,25910,6927473.0306507,267.36677077
1694131200000,2023-09-08 00:00:00,BTC/USD,26274,26455,25680,25918,22260073.294650998,858.8653945
1694044800000,2023-09-07 00:00:00,BTC/USD,25782,26461,25641,26269,31867434.333464384,1213.11943102
1693958400000,2023-09-06 00:00:00,BTC/USD,25798,26067,25444,25783,29460636.402260702,1142.6380329
1693872000000,2023-09-05 00:00:00,BTC/USD,25831,25909,25602,25793,26378836.039644238,1022.71298568
1693785600000,2023-09-04 00:00:00,BTC/USD,25980,26100,25658,25823,18680256.394113652,723.39605755
1693699200000,2023-09-03 00:00:00,BTC/USD,25876,26137,25825,25980,11804922.947161801,454.38502491
1693612800000,2023-09-02 00:00:00,BTC/USD,25815,25995,25762,25870,30385289.9381135,1174.53768605
1693526400000,2023-09-01 00:00:00,BTC/USD,25966,26166,25342,25816,52930191.245233126,2050.28630482
1693440000000,2023-08-31 00:00:00,BTC/USD,27326,27550,25714,25967,94135164.95461604,3625.18446315
1693353600000,2023-08-30 00:00:00,BTC/USD,27749,27793,27040,27325,35233634.2559895,1289.42851806
1693267200000,2023-08-29 00:00:00,BTC/USD,26146,28193,25954,27752,74257292.81839433,2675.74563341
1693180800000,2023-08-28 00:00:00,BTC/USD,26120,26264,25900,26147,17955221.84382278,686.70294274
