https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1696809600000,2023-10-09 00:00:00,UNI/USD,4.3379,4.3617,4.0591,4.1442,3182.570193,13189.207393830598
1696723200000,2023-10-08 00:00:00,UNI/USD,4.3666,4.3808,4.286,4.3379,2513.90908,10905.086198132
1696636800000,2023-10-07 00:00:00,UNI/USD,4.4188,4.4188,4.35,4.3666,423.966649,1851.2927695234
1696550400000,2023-10-06 00:00:00,UNI/USD,4.2881,4.4188,4.2881,4.4188,922.929999,4078.2430795811997
1696464000000,2023-10-05 00:00:00,UNI/USD,4.3035,4.3445,4.2681,4.2881,1770.97396,7594.113437876
1696377600000,2023-10-04 00:00:00,UNI/USD,4.3463,4.35,4.2478,4.3035,2581.235875,11108.348588062498
1696291200000,2023-10-03 00:00:00,UNI/USD,4.4674,4.5111,4.3404,4.3463,2019.292295,8776.4501017585
1696204800000,2023-10-02 00:00:00,UNI/USD,4.6383,4.6853,4.4313,4.4674,3672.379582,16405.988544626798
1696118400000,2023-10-01 00:00:00,UNI/USD,4.4353,4.6669,4.4353,4.6383,1730.961161,8028.7171530663
1696032000000,2023-09-30 00:00:00,UNI/USD,4.3903,4.4715,4.3895,4.4353,3034.4304,13458.60915312
1695945600000,2023-09-29 00:00:00,UNI/USD,4.4128,4.5732,4.2916,4.3903,16757.178341,73569.0400704923
1695859200000,2023-09-28 00:00:00,UNI/USD,4.2474,4.4709,4.2474,4.4128,2772.528854,12234.6153269312
1695772800000,2023-09-27 00:00:00,UNI/USD,4.2281,4.4098,4.2106,4.2474,3801.826474,16147.8777656676
1695686400000,2023-09-26 00:00:00,UNI/USD,4.2602,4.3108,4.2043,4.2281,4136.682152,17490.3058068712
1695600000000,2023-09-25 00:00:00,UNI/USD,4.2269,4.2974,4.2216,4.2602,1295.35826,5518.485259252
1695513600000,2023-09-24 00:00:00,UNI/USD,4.2691,4.2968,4.2269,4.2269,1918.58961,8109.686422508999
1695427200000,2023-09-23 00:00:00,UNI/USD,4.2488,4.2968,4.2384,4.2691,551.986816,2356.4869161856
1695340800000,2023-09-22 00:00:00,UNI/USD,4.2357,4.2691,4.2201,4.2488,1774.039977,7537.5410542776
