https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAVE,Volume USDT,tradecount
1701475200000,2023-12-02,AAVEUSDT,100.12,104.87,99.76,104.19,86077.693,8823072.44525,49459
1701388800000,2023-12-01,AAVEUSDT,98.29,101.86,98.0,100.12,100934.856,10097695.04548,61622
1701302400000,2023-11-30,AAVEUSDT,96.51,98.39,95.0,98.26,84717.913,8181826.54398,48494
1701216000000,2023-11-29,AAVEUSDT,96.92,98.85,95.39,96.5,79862.248,7752225.46454,48168
1701129600000,2023-11-28,AAVEUSDT,96.23,99.12,92.88,96.92,156387.303,15075987.15896,112199
1701043200000,2023-11-27,AAVEUSDT,97.9,99.11,93.32,96.2,102725.466,9840676.94131,62713
1700956800000,2023-11-26,AAVEUSDT,99.57,103.26,96.14,97.91,198466.865,19899709.49799,97534
1700870400000,2023-11-25,AAVEUSDT,99.19,101.85,97.19,99.57,113920.532,11340046.02055,73458
1700784000000,2023-11-24,AAVEUSDT,96.01,100.0,95.65,99.17,146306.115,14292719.00969,83460
1700697600000,2023-11-23,AAVEUSDT,95.42,101.2,94.98,96.01,170630.072,16503508.97583,94477
1700611200000,2023-11-22,AAVEUSDT,84.47,96.29,84.23,95.41,220456.976,20307083.09995,110116
1700524800000,2023-11-21,AAVEUSDT,90.22,92.59,83.5,84.49,233819.54,20682449.79823,142965
1700438400000,2023-11-20,AAVEUSDT,91.57,93.17,88.73,90.24,148293.784,13531375.82123,75995
1700352000000,2023-11-19,AAVEUSDT,88.08,91.81,86.04,91.52,92354.883,8208219.69022,43980
1700265600000,2023-11-18,AAVEUSDT,88.76,88.91,82.81,88.11,126899.078,10928092.631,68608
1700179200000,2023-11-17,AAVEUSDT,91.06,93.55,85.0,88.74,155967.306,13915240.88015,94372
1700092800000,2023-11-16,AAVEUSDT,95.49,98.5,90.04,91.06,288220.596,27305500.68807,156456
1700006400000,2023-11-15,AAVEUSDT,90.79,95.81,90.1,95.5,169326.191,15835166.14568,95546
1699920000000,2023-11-14,AAVEUSDT,92.98,95.45,85.88,90.79,186440.97,17098533.70676,130244
1699833600000,2023-11-13,AAVEUSDT,99.81,104.76,92.08,92.95,268194.714,26383701.48602,183926
1699747200000,2023-11-12,AAVEUSDT,96.97,99.95,93.1,99.86,199956.48,19293576.93377,136415
1699660800000,2023-11-11,AAVEUSDT,100.29,100.6,94.07,96.98,219251.588,21381399.22573,138601
1699574400000,2023-11-10,AAVEUSDT,100.82,100.97,95.41,100.26,222750.198,21898217.0819,133819
1699488000000,2023-11-09,AAVEUSDT,100.32,110.0,92.33,100.81,673704.237,69403467.27506,319597
1699401600000,2023-11-08,AAVEUSDT,97.46,101.5,95.11,100.3,193710.966,18971250.3127,100835
1699315200000,2023-11-07,AAVEUSDT,100.25,105.0,95.48,97.46,524047.467,52034091.42887,297668
1699228800000,2023-11-06,AAVEUSDT,89.09,100.79,87.54,100.22,670177.599,63850293.76086,308214
1699142400000,2023-11-05,AAVEUSDT,90.01,92.25,87.0,89.09,294850.188,26375938.24963,144457
1699056000000,2023-11-04,AAVEUSDT,90.12,92.82,88.06,90.06,172398.737,15490683.68057,103493
1698969600000,2023-11-03,AAVEUSDT,91.96,93.14,87.84,90.12,228940.208,20740849.0467,143389
1698883200000,2023-11-02,AAVEUSDT,89.18,102.7,87.54,91.97,762798.062,73422201.30525,427082
1698796800000,2023-11-01,AAVEUSDT,81.39,91.83,80.67,89.16,366619.021,31666028.05194,215057
1698710400000,2023-10-31,AAVEUSDT,83.68,84.83,79.0,81.44,206736.272,16964191.90788,120294
1698624000000,2023-10-30,AAVEUSDT,84.5,87.5,81.19,83.68,159337.578,13443003.06621,90225
1698537600000,2023-10-29,AAVEUSDT,80.03,85.96,79.23,84.49,151118.669,12590917.10055,94165
1698451200000,2023-10-28,AAVEUSDT,78.37,81.52,78.19,80.02,79464.427,6368419.55302,41715
1698364800000,2023-10-27,AAVEUSDT,80.75,80.76,75.67,78.33,104761.808,8194505.56612,70243
1698278400000,2023-10-26,AAVEUSDT,86.09,89.09,77.34,80.73,206768.13,17072647.07869,136192
1698192000000,2023-10-25,AAVEUSDT,83.45,86.49,81.23,86.09,321271.161,26885390.43079,132974
1698105600000,2023-10-24,AAVEUSDT,84.93,90.9,80.64,83.51,408930.806,35185584.4741,195835
1698019200000,2023-10-23,AAVEUSDT,79.3,87.76,78.31,84.88,635678.771,52858481.4936,299130
1697932800000,2023-10-22,AAVEUSDT,70.06,80.5,68.91,79.27,764251.293,57441511.47572,298569
1697846400000,2023-10-21,AAVEUSDT,65.91,70.94,65.21,70.06,174981.763,11953068.35205,64419
1697760000000,2023-10-20,AAVEUSDT,63.91,70.13,63.37,65.9,361388.523,24170626.10916,139888
1697673600000,2023-10-19,AAVEUSDT,62.01,65.61,61.09,63.91,198570.202,12699257.16662,72383
1697587200000,2023-10-18,AAVEUSDT,62.59,63.6,61.86,62.03,55951.655,3513599.68168,29157
1697500800000,2023-10-17,AAVEUSDT,64.82,64.86,61.06,62.6,91009.401,5732345.81715,38847
1697414400000,2023-10-16,AAVEUSDT,63.95,67.17,63.48,64.79,116691.174,7592793.07729,64897
