https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1703116800,2023-12-21 00:00:00,GALA/USD,0.03030,0.03167,0.03011,0.03148,3402810.01560604,107120.45929127815
1703030400,2023-12-20 00:00:00,GALA/USD,0.02876,0.03102,0.02819,0.03013,771102.64116734,23233.322578371954
1702944000,2023-12-19 00:00:00,GALA/USD,0.02928,0.02973,0.02836,0.02849,1719643.92910731,48992.65554026727
1702857600,2023-12-18 00:00:00,GALA/USD,0.02986,0.02987,0.02711,0.02905,982612.08975897,28544.881207498078
1702771200,2023-12-17 00:00:00,GALA/USD,0.03054,0.03298,0.02976,0.02976,1151813.11323229,34277.95824979295
1702684800,2023-12-16 00:00:00,GALA/USD,0.03011,0.03129,0.02936,0.03063,1782357.52620525,54593.61102766681
1702598400,2023-12-15 00:00:00,GALA/USD,0.03175,0.03175,0.02965,0.03041,2635339.25861635,80140.66685452321
1702512000,2023-12-14 00:00:00,GALA/USD,0.03161,0.03261,0.03052,0.03208,1722969.65992241,55272.86669031091
1702425600,2023-12-13 00:00:00,GALA/USD,0.03069,0.03166,0.02878,0.03145,765692.61024976,24081.03259235495
1702339200,2023-12-12 00:00:00,GALA/USD,0.03185,0.03225,0.02997,0.03070,1419413.71324406,43576.000996592644
1702252800,2023-12-11 00:00:00,GALA/USD,0.03400,0.03403,0.02855,0.03075,4563449.83372017,140326.08238689523
1702166400,2023-12-10 00:00:00,GALA/USD,0.03243,0.03457,0.03146,0.03447,5468756.58576226,188508.0395112251
1702080000,2023-12-09 00:00:00,GALA/USD,0.03306,0.03495,0.03200,0.03200,1857936.30593021,59453.96178976672
1701993600,2023-12-08 00:00:00,GALA/USD,0.03157,0.03363,0.03069,0.03284,13162042.64728996,432241.48053700227
1701907200,2023-12-07 00:00:00,GALA/USD,0.02903,0.03234,0.02877,0.03157,7226150.50635345,228129.57148557843
1701820800,2023-12-06 00:00:00,GALA/USD,0.03087,0.03088,0.02842,0.02898,2606705.82487758,75542.33480495228
1701734400,2023-12-05 00:00:00,GALA/USD,0.02960,0.03185,0.02926,0.03033,6330628.83076520,192007.97243710852
1701648000,2023-12-04 00:00:00,GALA/USD,0.02690,0.02947,0.02581,0.02947,4843168.35842808,142728.1715228755
1701561600,2023-12-03 00:00:00,GALA/USD,0.02675,0.02760,0.02631,0.02670,3793847.53544506,101295.72919638311
1701475200,2023-12-02 00:00:00,GALA/USD,0.02602,0.02676,0.02597,0.02662,1028781.79045777,27386.171261985837
1701388800,2023-12-01 00:00:00,GALA/USD,0.02522,0.02631,0.02498,0.02599,1494795.85719999,38849.74432862774
1701302400,2023-11-30 00:00:00,GALA/USD,0.02482,0.02539,0.02473,0.02519,1128006.47800033,28414.483180828316
1701216000,2023-11-29 00:00:00,GALA/USD,0.02628,0.02650,0.01894,0.02511,2123074.14574554,53310.39179967051
1701129600,2023-11-28 00:00:00,GALA/USD,0.02726,0.02726,0.02528,0.02639,3109378.30428243,82056.49345001332
1701043200,2023-11-27 00:00:00,GALA/USD,0.02720,0.02798,0.02626,0.02741,3786465.09445903,103787.008239122
1700956800,2023-11-26 00:00:00,GALA/USD,0.02643,0.02749,0.02549,0.02723,3893933.79656795,106031.81728054528
1700870400,2023-11-25 00:00:00,GALA/USD,0.02455,0.02704,0.02445,0.02630,1799176.43545469,47318.34025245834
1700784000,2023-11-24 00:00:00,GALA/USD,0.02494,0.02520,0.02394,0.02432,1928294.68963916,46896.126852024376
1700697600,2023-11-23 00:00:00,GALA/USD,0.02542,0.02555,0.02398,0.02408,397875.61629491,9580.844840381435
1700611200,2023-11-22 00:00:00,GALA/USD,0.02313,0.02531,0.02313,0.02525,891623.68980354,22513.498167539386
1700524800,2023-11-21 00:00:00,GALA/USD,0.02633,0.02700,0.02295,0.02300,2687110.36734864,61803.53844901872
1700438400,2023-11-20 00:00:00,GALA/USD,0.02457,0.02671,0.02457,0.02588,1372795.76776524,35527.954469764416
1700352000,2023-11-19 00:00:00,GALA/USD,0.02498,0.02522,0.02273,0.02461,1493257.59050084,36749.069302225675
1700265600,2023-11-18 00:00:00,GALA/USD,0.02564,0.02606,0.02324,0.02341,3393010.18812052,79430.36850390138
1700179200,2023-11-17 00:00:00,GALA/USD,0.02368,0.02680,0.02349,0.02658,1850942.38380437,49198.048561520154
1700092800,2023-11-16 00:00:00,GALA/USD,0.02464,0.02524,0.02273,0.02348,1621959.70628436,38083.613903556776
1700006400,2023-11-15 00:00:00,GALA/USD,0.02331,0.02500,0.02283,0.02428,4813641.10517879,116875.20603374102
1699920000,2023-11-14 00:00:00,GALA/USD,0.02159,0.02335,0.02075,0.02335,1152466.87090205,26910.10143556287
1699833600,2023-11-13 00:00:00,GALA/USD,0.02400,0.02512,0.02196,0.02221,2205719.10572901,48989.02133824131
1699747200,2023-11-12 00:00:00,GALA/USD,0.02443,0.02508,0.02350,0.02454,1755982.13394058,43091.801566901835
1699660800,2023-11-11 00:00:00,GALA/USD,0.02530,0.02560,0.02326,0.02425,3866079.46955628,93752.42713673979
1699574400,2023-11-10 00:00:00,GALA/USD,0.02383,0.02529,0.02293,0.02519,832111.91911449,20960.899242494004
1699488000,2023-11-09 00:00:00,GALA/USD,0.02244,0.02609,0.01870,0.02344,6415368.44080411,150376.23625244832
1699401600,2023-11-08 00:00:00,GALA/USD,0.02110,0.02298,0.02085,0.02286,2864201.37383402,65475.643405845694
1699315200,2023-11-07 00:00:00,GALA/USD,0.02119,0.02119,0.01964,0.02094,1125568.48256279,23569.40402486482
1699228800,2023-11-06 00:00:00,GALA/USD,0.02051,0.02245,0.02000,0.02122,3396452.25306096,72072.71680995358
1699142400,2023-11-05 00:00:00,GALA/USD,0.01954,0.02074,0.01935,0.02025,1110705.42459283,22491.78484800481
1699056000,2023-11-04 00:00:00,GALA/USD,0.01881,0.01974,0.01881,0.01961,1066102.94559557,20906.278763129125
1698969600,2023-11-03 00:00:00,GALA/USD,0.01830,0.01861,0.01755,0.01857,7411456.86169432,137630.75392166353
1698883200,2023-11-02 00:00:00,GALA/USD,0.01978,0.02323,0.01802,0.01819,2281537.85486641,41501.173580020004
1698796800,2023-11-01 00:00:00,GALA/USD,0.01907,0.02000,0.01830,0.01956,1085714.90941696,21236.58362819574
1698710400,2023-10-31 00:00:00,GALA/USD,0.01993,0.02076,0.01845,0.01899,2105648.35997927,39986.26235600634
1698624000,2023-10-30 00:00:00,GALA/USD,0.02114,0.02168,0.01973,0.01994,7865041.96104286,156828.9367031946
1698537600,2023-10-29 00:00:00,GALA/USD,0.01808,0.02586,0.01775,0.02088,6369655.61691341,132998.40928115198
1698451200,2023-10-28 00:00:00,GALA/USD,0.01770,0.01875,0.01765,0.01812,1059289.70996123,19194.329544497486
1698364800,2023-10-27 00:00:00,GALA/USD,0.01829,0.02090,0.01711,0.01788,4927908.88704737,88111.01090040698
1698278400,2023-10-26 00:00:00,GALA/USD,0.01601,0.02033,0.01601,0.01849,4508871.27280145,83369.02983409882
1698192000,2023-10-25 00:00:00,GALA/USD,0.01507,0.01840,0.01491,0.01587,3473143.30492599,55118.784249175456
1698105600,2023-10-24 00:00:00,GALA/USD,0.01477,0.01572,0.01460,0.01517,1675231.35257874,25413.259618619486
1698019200,2023-10-23 00:00:00,GALA/USD,0.01434,0.01477,0.01390,0.01464,1315898.09204854,19264.748067590626
1697932800,2023-10-22 00:00:00,GALA/USD,0.01395,0.01424,0.01358,0.01424,862388.04832066,12280.405808086198
1697846400,2023-10-21 00:00:00,GALA/USD,0.01296,0.01361,0.01287,0.01348,484157.31421299,6526.440595591105
1697760000,2023-10-20 00:00:00,GALA/USD,0.01264,0.01318,0.01264,0.01302,980543.88121276,12766.681333390135
1697673600,2023-10-19 00:00:00,GALA/USD,0.01262,0.01276,0.01252,0.01276,1288686.34537776,16443.63776702022
