https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USD
1686787200,2023-06-15,AVAX/USD,11.37,11.37,11.37,11.37,1.7,19.328999999999997
1686528000,2023-06-12,AVAX/USD,11.45,11.45,11.45,11.45,15.883215,181.86281175
1686355200,2023-06-10,AVAX/USD,13.6,13.6,12.6,12.6,1.2,15.12
1685577600,2023-06-01,AVAX/USD,13.9812,13.9812,13.9811,13.9811,8.0564,112.63733404
1685491200,2023-05-31,AVAX/USD,14.41,14.41,14.17,14.17,6.0,85.02
1685059200,2023-05-26,AVAX/USD,14.1996,14.1996,14.14,14.14,3.0008,42.431312
1684972800,2023-05-25,AVAX/USD,14.14,14.14,14.14,14.14,3.9992,56.548688000000006
1684886400,2023-05-24,AVAX/USD,14.75,14.75,14.2936,14.2936,16.7162,238.93467632
1683676800,2023-05-10,AVAX/USD,15.0001,15.0001,15.0001,15.0001,0.7916,11.874079159999999
1683504000,2023-05-08,AVAX/USD,16.4731,16.4731,15.7,15.7,44.527708,699.0850155999999
1683417600,2023-05-07,AVAX/USD,16.4762,16.5553,16.4732,16.4732,33.362488,549.5869373216
1683331200,2023-05-06,AVAX/USD,16.8001,16.8001,16.472,16.472,26.246062,432.325133264
1683244800,2023-05-05,AVAX/USD,18.1731,18.1731,16.8804,16.8804,0.880304,14.859883641600002
1683158400,2023-05-04,AVAX/USD,18.0076,18.0076,18.0076,18.0076,0.553655,9.969997778
1683072000,2023-05-03,AVAX/USD,16.6276,16.6276,16.6276,16.6276,0.5,8.3138
1682985600,2023-05-02,AVAX/USD,18.4314,18.4314,16.1833,17.25,27.362732,472.007127
1682899200,2023-05-01,AVAX/USD,17.0,18.3574,16.9091,17.1,9.250449,158.18267790000002
1682726400,2023-04-29,AVAX/USD,18.4315,18.4315,18.4315,18.4315,1.082386,19.949997559
1682553600,2023-04-27,AVAX/USD,18.3357,18.3357,18.3357,18.3357,0.543747,9.9699818679
1682467200,2023-04-26,AVAX/USD,18.1094,18.3174,16.65,18.3174,11.343849,207.7898196726
1682380800,2023-04-25,AVAX/USD,17.7971,17.7971,17.7971,17.7971,1.259755,22.4199857105
1682294400,2023-04-24,AVAX/USD,17.4,18.2931,17.4,18.2931,1.754017,32.0864083827
1682208000,2023-04-23,AVAX/USD,17.01,17.01,16.8,16.8,32.149919,540.1186392
1682121600,2023-04-22,AVAX/USD,16.9804,17.0181,16.1897,17.0,93.895413,1596.222021
1682035200,2023-04-21,AVAX/USD,18.0301,18.0301,17.0,17.0,50.087212,851.482604
1681948800,2023-04-20,AVAX/USD,20.1516,20.1516,18.45,18.45,37.116249,684.7947940500001
1681862400,2023-04-19,AVAX/USD,18.9278,19.55,18.5001,18.5001,48.108519,890.0124123519
1681776000,2023-04-18,AVAX/USD,20.2006,21.6986,18.0484,21.6986,25.651498,556.6015945028
1681689600,2023-04-17,AVAX/USD,19.5483,21.0,19.5483,20.48,27.174474,556.53322752
1681603200,2023-04-16,AVAX/USD,19.4997,19.5483,18.3261,18.3261,12.605106,231.0024330666
1681430400,2023-04-14,AVAX/USD,18.9868,19.0464,18.0111,18.0111,27.307564,491.8392659604
1681344000,2023-04-13,AVAX/USD,18.8992,18.9868,18.0101,18.0101,24.032888,432.8347161688
1681257600,2023-04-12,AVAX/USD,18.3784,18.6,18.3784,18.6,13.265314,246.73484040000002
1681171200,2023-04-11,AVAX/USD,18.5,18.6,17.0171,18.6,22.419397,417.00078420000006
1681084800,2023-04-10,AVAX/USD,17.3736,17.3736,17.3736,17.3736,2.6,45.17136
1680998400,2023-04-09,AVAX/USD,17.6463,18.4443,17.5704,17.7,11.198413,198.2119101
1680912000,2023-04-08,AVAX/USD,17.4436,17.4436,16.7271,16.7271,6.301623,105.4078780833
1680825600,2023-04-07,AVAX/USD,18.0,18.4815,17.5,18.4815,11.951803,220.8872471445
1680739200,2023-04-06,AVAX/USD,18.3023,18.5,17.3592,17.9486,17.910394,321.4664977484
1680652800,2023-04-05,AVAX/USD,18.001,18.001,16.3818,16.3818,11.620174,190.3593664332
1680566400,2023-04-04,AVAX/USD,16.1535,16.1535,16.1205,16.1205,23.237475,374.5997157375
1680480000,2023-04-03,AVAX/USD,16.1378,18.3624,16.1378,18.3624,1.751069,32.1538294056
1680393600,2023-04-02,AVAX/USD,17.7999,17.8,17.7999,17.8,6.370792,113.4000976
1680307200,2023-04-01,AVAX/USD,17.9988,18.1526,16.5,18.1526,2.294369,41.6487627094
1680220800,2023-03-31,AVAX/USD,17.3051,17.9988,17.3051,17.9988,31.593584,568.6465996992
1680134400,2023-03-30,AVAX/USD,17.3195,17.3195,17.3195,17.3195,0.000679,0.011759940500000001
1680048000,2023-03-29,AVAX/USD,16.1001,17.3195,16.1001,17.3195,151.418475,2622.4922777625
1679961600,2023-03-28,AVAX/USD,16.1001,16.1001,16.1001,16.1001,5.258568,84.66347065680002
