Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1595462400.0,2020-07-23,LTCUSD,45.03,45.64,44.72,45.47,155.07,6997.31
1595376000.0,2020-07-22,LTCUSD,44.87,45.03,43.7,45.03,96.73,4293.25
1595289600.0,2020-07-21,LTCUSD,43,45.42,43,44.87,168.42,7510.85
1595203200.0,2020-07-20,LTCUSD,42.7,43.44,42.7,43,16.21,704.02
1595116800.0,2020-07-19,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1595030400.0,2020-07-18,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594944000.0,2020-07-17,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594857600.0,2020-07-16,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594771200.0,2020-07-15,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594684800.0,2020-07-14,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594598400.0,2020-07-13,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594512000.0,2020-07-12,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594425600.0,2020-07-11,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594339200.0,2020-07-10,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594252800.0,2020-07-09,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594166400.0,2020-07-08,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1594080000.0,2020-07-07,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1593993600.0,2020-07-06,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1593907200.0,2020-07-05,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1593820800.0,2020-07-04,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1593734400.0,2020-07-03,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1593648000.0,2020-07-02,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1593561600.0,2020-07-01,LTCUSD,42.7,42.7,42.7,42.7,0.0,0.0
1593475200.0,2020-06-30,LTCUSD,43.45,43.45,42.53,42.7,17.64,756.2
1593388800.0,2020-06-29,LTCUSD,43.27,43.45,42.38,43.45,50.68,2178.75
1593302400.0,2020-06-28,LTCUSD,43.5,43.5,42.53,43.27,37.98,1639.7
1593216000.0,2020-06-27,LTCUSD,44.9,44.9,42.55,43.5,84.61,3657.68
1593129600.0,2020-06-26,LTCUSD,44.38,45.5,43.43,44.9,45.95,2050.34
1593043200.0,2020-06-25,LTCUSD,44.05,45.9,43.87,44.38,89.28,3972.25
1592956800.0,2020-06-24,LTCUSD,44.7,45.69,44.05,44.05,116.38,5190.58
1592870400.0,2020-06-23,LTCUSD,45.17,46.5,44.64,44.7,75.99,3440.43
1592784000.0,2020-06-22,LTCUSD,44.32,45.17,44.32,45.17,31.06,1393.16
1592697600.0,2020-06-21,LTCUSD,44.48,45,44.3,44.32,74.5,3334.86
1592611200.0,2020-06-20,LTCUSD,44.35,45.22,44.34,44.48,35.92,1606.44
1592524800.0,2020-06-19,LTCUSD,45,45.9,44.3,44.35,24.96,1125.06
1592438400.0,2020-06-18,LTCUSD,45.43,45.99,44.45,45,51.19,2296.32
1592352000.0,2020-06-17,LTCUSD,44.68,46,44.14,45.43,44.4,2022.48
1592265600.0,2020-06-16,LTCUSD,45.24,45.24,44.13,44.68,39.75,1768.35
1592179200.0,2020-06-15,LTCUSD,45.86,46,44.02,45.24,104.52,4686.35
1592092800.0,2020-06-14,LTCUSD,46.43,46.53,45.23,45.86,36.38,1669.14
1592006400.0,2020-06-13,LTCUSD,45.67,46.54,45.67,46.43,18.64,859.06
1591920000.0,2020-06-12,LTCUSD,45.01,46.78,44.5,45.67,78.37,3574.41
1591833600.0,2020-06-11,LTCUSD,46.88,47.64,44.6,45.01,291.65,13364.56
1591747200.0,2020-06-10,LTCUSD,46.79,48,46.2,46.88,125.48,5900.8
1591660800.0,2020-06-09,LTCUSD,47.5,47.5,46,46.79,104.47,4860.59
1591574400.0,2020-06-08,LTCUSD,46.53,47.9,46.41,47.5,26.81,1258.8
1591488000.0,2020-06-07,LTCUSD,47.84,47.99,46.3,46.53,39.17,1845.71
1591401600.0,2020-06-06,LTCUSD,47.8,48.36,47,47.84,70.22,3322.95
1591315200.0,2020-06-05,LTCUSD,47.46,48.9,47.23,47.8,76.9,3679.67
1591228800.0,2020-06-04,LTCUSD,47.5,48.6,47.12,47.46,76.51,3678.75
1591142400.0,2020-06-03,LTCUSD,47.3,48.7,46.3,47.5,110.54,5268.95
1591056000.0,2020-06-02,LTCUSD,48,49.91,46,47.3,300.36,14212.06
1590969600.0,2020-06-01,LTCUSD,45.94,48,45.93,48,57.64,2718.01
1590883200.0,2020-05-31,LTCUSD,47,47.45,45.94,45.94,75.4,3529.82
1590796800.0,2020-05-30,LTCUSD,44.55,47.39,44.55,47,150.44,6988.32
1590710400.0,2020-05-29,LTCUSD,44.57,45.38,44.31,44.55,90.54,4068.58
1590624000.0,2020-05-28,LTCUSD,43.56,44.92,43.5,44.57,57.09,2540.4
1590537600.0,2020-05-27,LTCUSD,43.72,44.52,43.1,43.56,20.21,890.68
1590451200.0,2020-05-26,LTCUSD,43.94,44.46,43.1,43.72,41.66,1820.78
1590364800.0,2020-05-25,LTCUSD,43,45.1,43,43.94,41.71,1834.74
1590278400.0,2020-05-24,LTCUSD,44.99,45.23,43,43,52.16,2291.07
1590192000.0,2020-05-23,LTCUSD,45.29,45.29,44.27,44.99,53.01,2380.33
1590105600.0,2020-05-22,LTCUSD,43.5,45.34,43.26,45.29,41.93,1859.88
1590019200.0,2020-05-21,LTCUSD,44.54,45,42.8,43.5,117.23,5132.82
1589932800.0,2020-05-20,LTCUSD,45.55,46.01,44.4,44.54,142.7,6478.85
1589846400.0,2020-05-19,LTCUSD,44.8,45.55,44.38,45.55,33.0,1487.39
1589760000.0,2020-05-18,LTCUSD,44,45.63,43.21,44.8,116.39,5226.24
1589673600.0,2020-05-17,LTCUSD,43.4,44.3,43.2,44,120.83,5310.62
1589587200.0,2020-05-16,LTCUSD,43.49,43.99,42.55,43.4,63.77,2773.31
1589500800.0,2020-05-15,LTCUSD,43.45,43.65,42.06,43.49,116.14,5011.84
1589414400.0,2020-05-14,LTCUSD,43.5,44.08,42.4,43.45,106.91,4626.66
1589328000.0,2020-05-13,LTCUSD,42,44.3,41.74,43.5,140.27,5986.55
1589241600.0,2020-05-12,LTCUSD,41.94,43.56,41.74,42,46.05,1968.72
