https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1703980800000,2023-12-31 00:00:00,NEAR/USDT,3.678,3.895,3.572,3.652,8999718.317,2424429.6541,4549439.793,1225387.376,123762,3.712
1703894400000,2023-12-30 00:00:00,NEAR/USDT,3.623,3.8,3.548,3.676,9980277.206,2725231.08844,4936793.417,1348063.53536,144329,3.663
1703808000000,2023-12-29 00:00:00,NEAR/USDT,3.761,3.977,3.535,3.622,9891018.824,2635083.18946,4906700.162,1307324.02056,143538,3.756
1703721600000,2023-12-28 00:00:00,NEAR/USDT,4.084,4.284,3.736,3.761,9583750.459,2421915.54131,4990526.467,1260278.58734,137503,3.962
1703635200000,2023-12-27 00:00:00,NEAR/USDT,4.287,4.29,3.987,4.085,9416671.459,2273416.47548,4910969.406,1185695.90226,133561,4.142
1703548800000,2023-12-26 00:00:00,NEAR/USDT,4.243,4.59,3.993,4.287,8243532.523,1909292.26581,4253725.13,985613.86369,117469,4.32
1703462400000,2023-12-25 00:00:00,NEAR/USDT,3.777,4.336,3.681,4.238,6902361.027,1743581.09885,3544262.517,895106.95201,98167,3.968
1703376000000,2023-12-24 00:00:00,NEAR/USDT,3.7,3.972,3.616,3.776,9232231.26,2442265.37385,4756326.305,1258223.72117,131556,3.781
1703289600000,2023-12-23 00:00:00,NEAR/USDT,3.327,3.7,3.17,3.7,9618300.974,2871156.52607,5027940.456,1501035.69525,137652,3.353
1703203200000,2023-12-22 00:00:00,NEAR/USDT,3.487,3.683,3.217,3.328,8732130.588,2596277.11914,4501681.41,1338431.12457,125823,3.365
1703116800000,2023-12-21 00:00:00,NEAR/USDT,2.705,3.535,2.662,3.49,6794454.964,2253046.0245,3524651.789,1169814.14564,104589,3.041
1703030400000,2023-12-20 00:00:00,NEAR/USDT,2.399,2.84,2.391,2.71,8000716.21,3003171.75973,4099611.654,1538806.31078,124586,2.667
1702944000000,2023-12-19 00:00:00,NEAR/USDT,2.25,2.439,2.135,2.399,9271812.524,3972728.07262,4792989.089,2053550.43671,147190,2.335
