https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1579392000000,2020-01-19 00:00:00,BTC/USDT,8916.44205717,9195,8450.32268443,8704.18040015,37591682.95538313,4251.12287906,0,0,0,8842.76555273
1579305600000,2020-01-18 00:00:00,BTC/USDT,8914.6767085,8986.14219055,8808.00000002,8916.54205724,33849582.5816068,3803.87441095,0,0,0,8898.71192491
1579219200000,2020-01-17 00:00:00,BTC/USDT,8724.47752596,9031.15376085,8674.89231228,8912.81716409,42041894.11894177,4734.87074309,0,0,0,8879.20629729
1579132800000,2020-01-16 00:00:00,BTC/USDT,8822.60840754,8860.30397419,8594.52742722,8724.52752597,29906850.18584774,3442.12430657,0,0,0,8688.4863887
1579046400000,2020-01-15 00:00:00,BTC/USDT,8814.52355716,8913.82118624,8571.00819079,8825.80801503,33506668.33790639,3823.73633884,0,0,0,8762.80825054
1578960000000,2020-01-14 00:00:00,BTC/USDT,8106.66475245,8870.99999999,8106.53544111,8815.80776655,46414508.60460107,5418.54542773,0,0,0,8565.86130422
1578873600000,2020-01-13 00:00:00,BTC/USDT,8184.42365999,8195.17813482,8043.77323451,8108.02777796,28422348.14488077,3504.66597622,0,0,0,8109.85935256
1578787200000,2020-01-12 00:00:00,BTC/USDT,8025.83378365,8190.05279821,7962.61894706,8182.70086811,27067175.88960965,3336.51064735,0,0,0,8112.42005509
1578700800000,2020-01-11 00:00:00,BTC/USDT,8196.888,8284.21185622,8005.48583795,8022.57252717,27380837.26098883,3372.56822162,0,0,0,8118.69040497
1578614400000,2020-01-10 00:00:00,BTC/USDT,7819.57439255,8194.34559945,7676.27,8194.15195409,36801811.78404105,4642.97514986,0,0,0,7926.34261356
1578528000000,2020-01-09 00:00:00,BTC/USDT,8052.44312985,8052.52381603,7752,7821.52457833,29279520.31889447,3709.3809406,0,0,0,7893.37110093
1578441600000,2020-01-08 00:00:00,BTC/USDT,8150,8453.97641769,7872.80802,8052.34312978,30256783.06418537,3675.97209227,0,0,0,8230.96103689
1578355200000,2020-01-07 00:00:00,BTC/USDT,7761.03235428,8200,7709.27,8150.7253787,29008509.70703789,3661.66887362,0,0,0,7922.20998354
1578268800000,2020-01-06 00:00:00,BTC/USDT,7357.40000015,7797.7,7347.18857922,7756.35259299,28650847.55296537,3801.85330696,0,0,0,7536.02131374
1578182400000,2020-01-05 00:00:00,BTC/USDT,7353.49967084,7494.99999999,7320.1489101,7359.66822393,32306187.66279312,4344.69219618,0,0,0,7435.78283662
