https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1702166400000,2023-12-10 00:00:00,AAVE/USDT,94.31,95.25,92.38,92.9,7751386.59,82636.271626,4086378.69,43564.303678,111048,93.8
1702080000000,2023-12-09 00:00:00,AAVE/USDT,92.33,95.52,91.68,94.35,7242188.63,77195.582691,3776432.56,40252.232505,104410,93.82
1701993600000,2023-12-08 00:00:00,AAVE/USDT,91.83,95.51,90.13,92.33,7761444.59,83270.054405,4042928.12,43374.46116,112178,93.21
1701907200000,2023-12-07 00:00:00,AAVE/USDT,90,95.79,89.67,91.47,7521232.14,81379.235215,3956132.07,42810.154115,108827,92.44
1701820800000,2023-12-06 00:00:00,AAVE/USDT,92.49,92.83,89.68,90,7667983.32,83838.028034,4000761.67,43739.03969,110387,91.46
1701734400000,2023-12-05 00:00:00,AAVE/USDT,92.88,93.83,89.1,92.13,7263431.02,79235.854638,3821280.17,41684.519948,104645,91.68
1701648000000,2023-12-04 00:00:00,AAVE/USDT,97.23,98.23,92.37,92.87,7657818.85,80211.02355,3995557.36,41846.567884,111390,95.5
1701561600000,2023-12-03 00:00:00,AAVE/USDT,96.12,98.28,95.27,97.29,7103853.43,73365.415275,3653089.15,37727.693086,102298,96.83
1701475200000,2023-12-02 00:00:00,AAVE/USDT,93.88,96.66,92.38,96.05,6254442.35,65742.636029,3226446.81,33913.522936,91245,95.14
1701388800000,2023-12-01 00:00:00,AAVE/USDT,94.16,95.22,91.73,93.86,6763217.45,72231.258004,3540339.52,37812.530605,97748,93.63
1701302400000,2023-11-30 00:00:00,AAVE/USDT,93.24,94.69,90.04,94.69,6771521.73,72974.409007,3550352.44,38263.846392,97122,92.79
1701216000000,2023-11-29 00:00:00,AAVE/USDT,92.86,94.41,89.96,93.22,7775998.27,83376.027094,4109837.74,44065.046644,112467,93.26
1701129600000,2023-11-28 00:00:00,AAVE/USDT,91.84,94.32,89.35,92.87,7675169.07,83969.979151,4060812.33,44430.324943,109857,91.42
1701043200000,2023-11-27 00:00:00,AAVE/USDT,92.2,93.83,90.29,91.69,7668077.57,83753.187537,4185936.67,45719.01187,110412,91.55
1700956800000,2023-11-26 00:00:00,AAVE/USDT,94.85,97.39,91.8,92.17,5268071.62,55820.20771,2861143.43,30320.376806,76309,94.39
1700870400000,2023-11-25 00:00:00,AAVE/USDT,95.71,97.43,92.89,95.23,6561044.68,68762.252763,3552012.26,37228.118729,96071,95.42
1700784000000,2023-11-24 00:00:00,AAVE/USDT,93.77,96.32,86.83,95.73,6310952.8,66906.782499,3332011.02,35324.600342,92675,94.32
1700697600000,2023-11-23 00:00:00,AAVE/USDT,93.81,96.69,78,93.69,7303540.94,77090.8748,3905961.58,41227.478236,105578,94.74
1700611200000,2023-11-22 00:00:00,AAVE/USDT,82.31,94.38,82.08,93.84,7528866.19,84623.409399,4091671.29,45981.686238,108102,89.12
1700524800000,2023-11-21 00:00:00,AAVE/USDT,87.74,89.72,82.16,82.21,7670491.72,89037.14968,4186581.36,48601.406916,110486,86.17
1700438400000,2023-11-20 00:00:00,AAVE/USDT,88.59,90.62,85.32,87.68,6416326.92,72766.36743,3471710.63,39373.442265,93563,88.18
1700352000000,2023-11-19 00:00:00,AAVE/USDT,85.5,89.27,84.12,88.79,5422749.28,62946.539502,2901962.64,33684.337024,78089,86.16
1700265600000,2023-11-18 00:00:00,AAVE/USDT,85.39,86.36,81.59,85.56,7912321.96,93192.573341,4338284.74,51098.327412,113720,84.9
1700179200000,2023-11-17 00:00:00,AAVE/USDT,88.92,91.33,82.64,85.52,8767012.58,100508.622381,4767271.14,54648.610173,126894,87.27
1700092800000,2023-11-16 00:00:00,AAVE/USDT,92.5,96.16,86.84,88.94,8312668.82,90095.344559,4563167.56,49457.216829,121478,92.3
1700006400000,2023-11-15 00:00:00,AAVE/USDT,87.92,95.45,85.96,92.38,7960677.26,87967.85977,4338212.53,47939.880028,115768,90.54
1699920000000,2023-11-14 00:00:00,AAVE/USDT,92.15,94.38,85.59,87.9,8843939.52,96611.330695,4785876.59,52275.92257,127354,91.58
1699833600000,2023-11-13 00:00:00,AAVE/USDT,95.65,97.85,91,92.18,2883218.21,31005.602202,1546685.98,16636.125586,41096,93.02
1699747200000,2023-11-12 00:00:00,AAVE/USDT,97.06,98.42,94.8,96.49,6303378.57,65366.653018,3418989.65,35456.245328,90394,96.43
1699660800000,2023-11-11 00:00:00,AAVE/USDT,97.88,97.88,97.88,97.88,0,0,0,0,0,98.58
1699574400000,2023-11-10 00:00:00,AAVE/USDT,100.65,100.74,95.92,97.88,3179273.38,32251.341876,1709807.94,17345.210471,44986,98.58
1699488000000,2023-11-09 00:00:00,AAVE/USDT,100.53,109.96,95.19,100.63,6222327.71,60738.525212,3381665.54,33020.741609,89733,102.63
1699401600000,2023-11-08 00:00:00,AAVE/USDT,97.75,101.17,95.66,100.43,4895404.79,49919.517342,2684221.54,27373.166769,71372,98.09
