https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1701648000000,2023-12-04 00:00:00,LINK/USDT,15.3563,15.7709,14.9795,15.3285,23057138.443,1501775.20932,11594979.519,755176.73372,109038,15.3567
1701561600000,2023-12-03 00:00:00,LINK/USDT,15.5369,15.8973,15.3113,15.3577,22273980.542,1431315.5403,11185328.209,718788.82642,104444,15.5628
1701475200000,2023-12-02 00:00:00,LINK/USDT,14.7592,15.7385,14.7091,15.5351,18368665.218,1200683.13833,9182622.103,600170.95015,87266,15.3033
1701388800000,2023-12-01 00:00:00,LINK/USDT,14.3765,14.7826,14.2436,14.7594,20373140.911,1396731.50476,10151396.235,695930.87802,95706,14.587
1701302400000,2023-11-30 00:00:00,LINK/USDT,14.4397,14.6354,14.1651,14.3799,21442241.489,1494441.54532,10624436.715,740471.66133,100748,14.3484
1701216000000,2023-11-29 00:00:00,LINK/USDT,14.43,14.8921,14.2731,14.4413,24475004.979,1682756.23328,12176489.603,837216.77814,114987,14.5452
1701129600000,2023-11-28 00:00:00,LINK/USDT,14.1707,14.5917,13.7587,14.4311,23936402.669,1683013.11219,11916683.09,837936.65954,112283,14.2248
1701043200000,2023-11-27 00:00:00,LINK/USDT,14.632,15.0999,13.8691,14.1724,24104318.559,1681196.99078,12104880.506,844256.84303,113303,14.343
1700956800000,2023-11-26 00:00:00,LINK/USDT,14.5532,15.1101,14.3865,14.6313,16264616.184,1106546.3712,8074914.775,549341.50934,76856,14.7002
1700870400000,2023-11-25 00:00:00,LINK/USDT,14.3645,14.7187,14.2782,14.5543,20788121.269,1430929.07335,10399293.774,715847.97606,97453,14.528
1700784000000,2023-11-24 00:00:00,LINK/USDT,14.3665,14.5121,14.1327,14.3641,20335435.098,1420120.17429,10152921.886,709026.37737,95469,14.3198
1700697600000,2023-11-23 00:00:00,LINK/USDT,14.1294,14.7442,14.0963,14.3659,23468164.389,1630823.8828,11770375.805,817930.13656,109999,14.3916
1700611200000,2023-11-22 00:00:00,LINK/USDT,13.3218,14.5184,13.2409,14.1285,24949908.868,1768672.98467,12501122.184,886237.44089,117052,14.1102
1700524800000,2023-11-21 00:00:00,LINK/USDT,14.4621,16.0816,12.38,13.3154,25653576.162,1813168.95135,12767763.336,902145.10728,117381,14.1535
1700438400000,2023-11-20 00:00:00,LINK/USDT,14.8797,15.3769,14.3621,14.4549,20591678.136,1380281.20521,10320107.383,691775.27458,96963,14.9219
1700352000000,2023-11-19 00:00:00,LINK/USDT,13.7471,15.0391,13.3653,14.8677,16610976.825,1172656.9578,8313678.522,586951.34192,78304,14.1767
1700265600000,2023-11-18 00:00:00,LINK/USDT,13.6626,13.7959,12.9213,13.7472,26177524.304,1944987.45671,13095573.135,973037.7648,121369,13.4612
1700179200000,2023-11-17 00:00:00,LINK/USDT,13.8442,14.2354,12.8455,13.6598,27361909.963,2007719.92626,13659212.826,1002238.29198,128067,13.6349
1700092800000,2023-11-16 00:00:00,LINK/USDT,14.9589,15.1635,13.5543,13.8467,24436943.056,1698089.74621,12208115.759,848317.96427,123470,14.4023
1700006400000,2023-11-15 00:00:00,LINK/USDT,13.9201,15.3108,13.9042,14.9609,8183378.101,558404.76502,4091547.419,279228.21537,117635,14.6617
1699920000000,2023-11-14 00:00:00,LINK/USDT,14.3337,14.8909,13.3933,13.9207,9125090.472,633743.94235,4586796.923,318568.3185,131421,14.4053
1699833600000,2023-11-13 00:00:00,LINK/USDT,15.9864,17.0938,14.2981,14.3352,4965037.363,322066.06393,2475510.01,160595.73031,73921,15.4242
1699747200000,2023-11-12 00:00:00,LINK/USDT,15.3,17.2,15.3,15.985,5035838.561,315600.57503,2544019.952,159424.11033,74039,15.9581
1699660800000,2023-11-11 00:00:00,LINK/USDT,14.7996,14.7996,14.7996,14.7996,0,0,0,0,0,14.4608
1699574400000,2023-11-10 00:00:00,LINK/USDT,14.5949,14.9582,14.1291,14.7996,3502480.555,242225.2948,1748801.793,120937.87217,49957,14.4608
1699488000000,2023-11-09 00:00:00,LINK/USDT,14.911,15.9666,13.6615,14.6037,6870008.544,467638.40082,3426184.789,233272.1658,95741,14.701
1699401600000,2023-11-08 00:00:00,LINK/USDT,13.0389,14.9751,12.8429,14.9054,5329755.669,388611.9203,2662861.829,194193.71273,76323,13.7355
1699315200000,2023-11-07 00:00:00,LINK/USDT,12.9764,13.3165,12.538,13.0455,5361719.294,414209.56921,2665648.611,205928.55779,77400,12.9461
1699228800000,2023-11-06 00:00:00,LINK/USDT,12.2264,13.259,12.1197,12.9923,5046336.401,402611.09097,2294663.155,183125.16101,72156,12.538
1699142400000,2023-11-05 00:00:00,LINK/USDT,11.4955,12.5356,11.3638,12.2234,4218134.081,350419.87919,1951916.452,162157.93497,61136,12.0417
