Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1602460800.0,2020-10-12,LTCUSD,49.98,50.46,48.62,49.78,10.06,501.63
1602374400.0,2020-10-11,LTCUSD,49.81,51.03,49.5,49.98,201.82,10041.67
1602288000.0,2020-10-10,LTCUSD,47.8,49.81,47.36,49.81,7.687,368.25
1602201600.0,2020-10-09,LTCUSD,47.08,48.6,47.08,47.8,10.16,484.29
1602115200.0,2020-10-08,LTCUSD,44.77,47.08,44.77,47.08,1.552,73.07
1602028800.0,2020-10-07,LTCUSD,44.77,44.77,44.77,44.77,0.0,0.0
1601942400.0,2020-10-06,LTCUSD,44.77,44.77,44.77,44.77,0.0,0.0
1601856000.0,2020-10-05,LTCUSD,44.77,44.77,44.77,44.77,0.0,0.0
1601769600.0,2020-10-04,LTCUSD,44.77,44.77,44.77,44.77,0.0,0.0
1601683200.0,2020-10-03,LTCUSD,44.77,44.77,44.77,44.77,0.0,0.0
1601596800.0,2020-10-02,LTCUSD,48.16,48.16,44.77,44.77,7.084,318.05
1601510400.0,2020-10-01,LTCUSD,46.19,48.16,46.19,48.16,0.179,8.62
1601424000.0,2020-09-30,LTCUSD,46.89,46.89,46.19,46.19,1.061,48.99
1601337600.0,2020-09-29,LTCUSD,46.89,46.89,46.89,46.89,0.0,0.0
1601251200.0,2020-09-28,LTCUSD,45,46.9,45,46.89,19.65,919.1
1601164800.0,2020-09-27,LTCUSD,45.9,46.61,45,45,1.815,83.86
1601078400.0,2020-09-26,LTCUSD,44.98,45.9,44.98,45.9,5.022,230.45
1600992000.0,2020-09-25,LTCUSD,55,55,44.89,44.98,2.128,95.71
1600905600.0,2020-09-24,LTCUSD,55,55,55,55,0.0,0.0
1600819200.0,2020-09-23,LTCUSD,52,55,43.18,55,17.61,778.93
1600732800.0,2020-09-22,LTCUSD,44,52,43,52,25.45,1240.05
1600646400.0,2020-09-21,LTCUSD,46.02,46.02,44,44,168.29,7411.84
1600560000.0,2020-09-20,LTCUSD,48.61,48.61,46.02,46.02,9.874,454.39
1600473600.0,2020-09-19,LTCUSD,47.38,48.61,47.38,48.61,3.271,158.99
1600387200.0,2020-09-18,LTCUSD,58.08,58.08,47.38,47.38,0.9356,44.33
1600300800.0,2020-09-17,LTCUSD,58.08,58.08,58.08,58.08,0.0,0.0
1600214400.0,2020-09-16,LTCUSD,45.01,58.08,45.01,58.08,0.756,43.91
1600128000.0,2020-09-15,LTCUSD,45.01,45.01,45.01,45.01,0.0,0.0
1600041600.0,2020-09-14,LTCUSD,45.01,63,45.01,45.01,2.401,129.72
1599955200.0,2020-09-13,LTCUSD,58.93,58.93,45.01,45.01,1.244,56.0
1599868800.0,2020-09-12,LTCUSD,58.93,58.93,58.93,58.93,0.0,0.0
1599782400.0,2020-09-11,LTCUSD,46,58.93,46,58.93,0.09452,5.57
1599696000.0,2020-09-10,LTCUSD,51.2,51.2,45.94,46,0.37,17.01
1599609600.0,2020-09-09,LTCUSD,51.2,51.2,45.01,51.2,1.036,50.7
1599523200.0,2020-09-08,LTCUSD,51.2,51.2,51.2,51.2,0.0,0.0
