https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATOM
1669680000000,2022-11-29 00:00:00,ATOM/USD,10.82843,10.904633,10.803463,10.824621,132.679746075643,12.25721862
1669593600000,2022-11-28 00:00:00,ATOM/USD,11.0,11.499996,10.230013,10.84681,2183.5549015244264,201.30848623
1669507200000,2022-11-27 00:00:00,ATOM/USD,11.143943,11.5,10.72,11.261343,2607.7485121786485,231.56638708
1669420800000,2022-11-26 00:00:00,ATOM/USD,10.907088,11.83565,10.790586,11.208895,2547.932869212834,227.31347463
1669334400000,2022-11-25 00:00:00,ATOM/USD,11.108317,11.141621,10.689553,10.952721,2370.531446539232,216.43310795
1669248000000,2022-11-24 00:00:00,ATOM/USD,10.648037,12.15452,10.447522,10.99149,2714.522819880934,246.96586358
1669161600000,2022-11-23 00:00:00,ATOM/USD,10.445289,10.999998,10.100006,10.71222,2703.544794012886,252.37950621
1669075200000,2022-11-22 00:00:00,ATOM/USD,9.951795,10.617494,9.600001,10.469003,2280.4571031430924,217.82944404
1668988800000,2022-11-21 00:00:00,ATOM/USD,10.350993,10.749478,9.6,9.905085,4350.3786882271015,439.20659825
1668902400000,2022-11-20 00:00:00,ATOM/USD,10.698838,10.99341,10.000112,10.28423,2685.7704658583084,261.15425908
1668816000000,2022-11-19 00:00:00,ATOM/USD,10.790884,10.993314,10.67033,10.77341,2385.0461308581043,221.38265701
1668729600000,2022-11-18 00:00:00,ATOM/USD,10.886446,11.556465,10.670392,10.855278,2532.0693428239647,233.25697811
1668643200000,2022-11-17 00:00:00,ATOM/USD,11.086256,11.274677,10.852385,10.914708,2621.6887208854337,240.19778824
1668556800000,2022-11-16 00:00:00,ATOM/USD,11.458854,11.69385,10.864935,11.026031,2395.2307790130926,217.23417783
1668470400000,2022-11-15 00:00:00,ATOM/USD,11.102476,12.829164,10.980398,11.453354,2789.879448160448,243.58624104
1668384000000,2022-11-14 00:00:00,ATOM/USD,11.013759,11.941067,10.571954,10.983211,3379.8970785837287,307.73305535
1668297600000,2022-11-13 00:00:00,ATOM/USD,11.704903,11.853371,10.6411,11.075412,2576.5576009471342,232.63763018
1668211200000,2022-11-12 00:00:00,ATOM/USD,12.289276,12.421632,10.935728,11.659423,3701.6745154124783,317.48350801
1668124800000,2022-11-11 00:00:00,ATOM/USD,12.905969,13.13,11.441768,12.274403,2726.8358309719415,222.15628988
1668038400000,2022-11-10 00:00:00,ATOM/USD,10.616318,13.137345,10.05,12.675053,5694.234006342696,449.24735276
