https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USD
1698278400000,2023-10-26 00:00:00,SHIB/USD,7.785e-06,8.225e-06,7.597e-06,7.906e-06,7559218855.709234,59763.18427323721
1698192000000,2023-10-25 00:00:00,SHIB/USD,7.392e-06,7.967e-06,7.276e-06,7.785e-06,7587207213.012693,59066.40815330381
1698105600000,2023-10-24 00:00:00,SHIB/USD,7.501e-06,7.743e-06,7.223e-06,7.392e-06,8468735216.131097,62600.890717641065
1698019200000,2023-10-23 00:00:00,SHIB/USD,7.137e-06,7.501e-06,7.086e-06,7.501e-06,12907547623.967083,96819.51472737709
1697932800000,2023-10-22 00:00:00,SHIB/USD,7.055e-06,7.137e-06,6.937e-06,7.137e-06,5836834540.45582,41657.48811523319
1697846400000,2023-10-21 00:00:00,SHIB/USD,6.911e-06,7.164e-06,6.875e-06,7.055e-06,5831676534.215421,41142.47794888979
1697760000000,2023-10-20 00:00:00,SHIB/USD,6.854e-06,7.028e-06,6.806e-06,6.911e-06,13074467650.546804,90357.64593292896
1697673600000,2023-10-19 00:00:00,SHIB/USD,6.769e-06,6.873e-06,6.683e-06,6.854e-06,4306568100.919221,29517.21776370034
1697587200000,2023-10-18 00:00:00,SHIB/USD,6.907e-06,6.951e-06,6.722e-06,6.769e-06,2719743524.727793,18409.943918882433
1697500800000,2023-10-17 00:00:00,SHIB/USD,7.105e-06,7.115e-06,6.852e-06,6.907e-06,2449786329.852978,16920.67418029452
1697414400000,2023-10-16 00:00:00,SHIB/USD,6.988e-06,7.29e-06,6.977e-06,7.105e-06,9495457152.923729,67465.2230715231
1697328000000,2023-10-15 00:00:00,SHIB/USD,7.03e-06,7.051e-06,6.945e-06,6.988e-06,1435493691.996954,10031.229919674714
1697241600000,2023-10-14 00:00:00,SHIB/USD,6.921e-06,7.133e-06,6.906e-06,7.03e-06,3595930054.345423,25279.388282048323
1697155200000,2023-10-13 00:00:00,SHIB/USD,6.816e-06,6.998e-06,6.758e-06,6.921e-06,3134097641.303455,21691.089775461212
1697068800000,2023-10-12 00:00:00,SHIB/USD,6.789e-06,6.885e-06,6.753e-06,6.816e-06,3226472559.150185,21991.63696316766
1696982400000,2023-10-11 00:00:00,SHIB/USD,6.917e-06,6.975e-06,6.731e-06,6.789e-06,3722265727.150103,25270.46202162205
1696896000000,2023-10-10 00:00:00,SHIB/USD,6.908e-06,7.01e-06,6.785e-06,6.917e-06,3440002290.179336,23794.49584117047
1696809600000,2023-10-09 00:00:00,SHIB/USD,7.209e-06,7.215e-06,6.841e-06,6.908e-06,6574319587.674402,45415.39971165477
1696723200000,2023-10-08 00:00:00,SHIB/USD,7.235e-06,7.283e-06,7.181e-06,7.209e-06,1885138691.191662,13589.964824800692
1696636800000,2023-10-07 00:00:00,SHIB/USD,7.254e-06,7.277e-06,7.157e-06,7.235e-06,4383110388.444255,31711.803660394184
1696550400000,2023-10-06 00:00:00,SHIB/USD,7.163e-06,7.268e-06,7.163e-06,7.254e-06,2087370766.228098,15141.787538218623
1696464000000,2023-10-05 00:00:00,SHIB/USD,7.284e-06,7.292e-06,7.163e-06,7.163e-06,2004461324.910201,14357.95647033177
1696377600000,2023-10-04 00:00:00,SHIB/USD,7.436e-06,7.436e-06,7.184e-06,7.284e-06,3461831252.002626,25215.97883958713
1696291200000,2023-10-03 00:00:00,SHIB/USD,7.35e-06,7.436e-06,7.256e-06,7.436e-06,1505500756.827367,11194.9036277683
1696204800000,2023-10-02 00:00:00,SHIB/USD,7.547e-06,7.619e-06,7.287e-06,7.35e-06,5008093934.632801,36809.49041955109
1696118400000,2023-10-01 00:00:00,SHIB/USD,7.364e-06,7.715e-06,7.348e-06,7.547e-06,4923116186.24339,37154.757857578865
1696032000000,2023-09-30 00:00:00,SHIB/USD,7.342e-06,7.436e-06,7.32e-06,7.364e-06,1932345154.835212,14229.789720206501
1695945600000,2023-09-29 00:00:00,SHIB/USD,7.343e-06,7.505e-06,7.288e-06,7.342e-06,3173569835.991991,23300.3497358532
1695859200000,2023-09-28 00:00:00,SHIB/USD,7.232e-06,7.44e-06,7.217e-06,7.343e-06,3918890874.804432,28776.41569368894
1695772800000,2023-09-27 00:00:00,SHIB/USD,7.211e-06,7.336e-06,7.178e-06,7.232e-06,2826523439.906779,20441.417517405825
1695686400000,2023-09-26 00:00:00,SHIB/USD,7.277e-06,7.352e-06,7.205e-06,7.211e-06,2679267760.322549,19320.1998196859
1695600000000,2023-09-25 00:00:00,SHIB/USD,7.276e-06,7.431e-06,7.177e-06,7.277e-06,1208442704.471959,8793.837560442447
1695513600000,2023-09-24 00:00:00,SHIB/USD,7.48e-06,7.51e-06,7.276e-06,7.276e-06,2335466514.338547,16992.85435832727
1695427200000,2023-09-23 00:00:00,SHIB/USD,7.314e-06,7.685e-06,7.314e-06,7.48e-06,3785489558.273926,28315.461895888966
1695340800000,2023-09-22 00:00:00,SHIB/USD,7.29e-06,7.378e-06,7.232e-06,7.314e-06,3735948827.359788,27324.729723309487
1695254400000,2023-09-21 00:00:00,SHIB/USD,7.491e-06,7.598e-06,7.26e-06,7.29e-06,2610586554.76857,19031.175984262874
1695168000000,2023-09-20 00:00:00,SHIB/USD,7.417e-06,7.57e-06,7.322e-06,7.491e-06,1752712177.831762,13129.566924137729
1695081600000,2023-09-19 00:00:00,SHIB/USD,7.295e-06,7.713e-06,7.271e-06,7.417e-06,3590295236.904149,26629.219772118075
1694995200000,2023-09-18 00:00:00,SHIB/USD,7.223e-06,7.888e-06,7.2e-06,7.295e-06,3628319731.075054,26468.592438192518
1694908800000,2023-09-17 00:00:00,SHIB/USD,7.424e-06,7.937e-06,7.15e-06,7.223e-06,4304347803.183819,31090.304182396725
1694822400000,2023-09-16 00:00:00,SHIB/USD,7.49e-06,7.596e-06,7.328e-06,7.424e-06,3672799062.339033,27266.860238804984
1694736000000,2023-09-15 00:00:00,SHIB/USD,7.416e-06,7.704e-06,7.352e-06,7.49e-06,4514794280.169866,33815.80915847229
1694649600000,2023-09-14 00:00:00,SHIB/USD,7.265e-06,7.561e-06,7.25e-06,7.416e-06,3547728743.477793,26309.956361631313
1694563200000,2023-09-13 00:00:00,SHIB/USD,7.217e-06,7.608e-06,7.166e-06,7.265e-06,3225291482.109843,23431.74261752801
1694476800000,2023-09-12 00:00:00,SHIB/USD,7.044e-06,7.353e-06,7.044e-06,7.217e-06,3726997545.706773,26897.741287365778
1694390400000,2023-09-11 00:00:00,SHIB/USD,7.394e-06,7.421e-06,7e-06,7.044e-06,6033136607.2538,42497.41426149577
1694304000000,2023-09-10 00:00:00,SHIB/USD,7.72e-06,7.936e-06,7.218e-06,7.394e-06,6688441361.638692,49454.33542795649
1694217600000,2023-09-09 00:00:00,SHIB/USD,7.813e-06,7.936e-06,7.582e-06,7.72e-06,3071290897.620603,23710.36572963106
1694131200000,2023-09-08 00:00:00,SHIB/USD,7.684e-06,8.05e-06,7.523e-06,7.813e-06,4707954343.024848,36783.24728205313
1694044800000,2023-09-07 00:00:00,SHIB/USD,7.713e-06,8.288e-06,7.601e-06,7.684e-06,4561039390.385982,35047.02667572588
1693958400000,2023-09-06 00:00:00,SHIB/USD,7.715e-06,8.065e-06,7.566e-06,7.713e-06,3651618511.366764,28164.933578171855
1693872000000,2023-09-05 00:00:00,SHIB/USD,7.5e-06,7.716e-06,7.449e-06,7.715e-06,3749181568.922151,28924.935804234396
1693785600000,2023-09-04 00:00:00,SHIB/USD,7.737e-06,7.798e-06,7.449e-06,7.5e-06,8095400321.974183,60715.502414806375
1693699200000,2023-09-03 00:00:00,SHIB/USD,8.029e-06,8.205e-06,7.663e-06,7.737e-06,3313339470.558093,25635.30748370797
1693612800000,2023-09-02 00:00:00,SHIB/USD,7.965e-06,8.261e-06,7.831e-06,8.029e-06,2391325959.069695,19199.956125370583
1693526400000,2023-09-01 00:00:00,SHIB/USD,7.991e-06,8.45e-06,7.806e-06,7.965e-06,6527146510.687629,51988.72195762697
1693440000000,2023-08-31 00:00:00,SHIB/USD,8.154e-06,8.286e-06,7.907e-06,7.991e-06,4243424153.158705,33909.202407891215
1693353600000,2023-08-30 00:00:00,SHIB/USD,8.389e-06,8.4e-06,8.101e-06,8.154e-06,3720392415.088515,30336.07975263175
1693267200000,2023-08-29 00:00:00,SHIB/USD,8.249e-06,8.447e-06,8.05e-06,8.389e-06,5119057135.347497,42943.770308430154
1693180800000,2023-08-28 00:00:00,SHIB/USD,8.036e-06,8.341e-06,7.988e-06,8.249e-06,4233835445.626009,34924.908590968946
1693094400000,2023-08-27 00:00:00,SHIB/USD,8.106e-06,8.154e-06,8.031e-06,8.036e-06,6252553313.151892,50245.518424488604
1693008000000,2023-08-26 00:00:00,SHIB/USD,8.154e-06,8.236e-06,8.075e-06,8.106e-06,2085641368.455911,16906.208932703616
1692921600000,2023-08-25 00:00:00,SHIB/USD,8.205e-06,8.248e-06,7.988e-06,8.154e-06,4490494394.373692,36615.49129172308
1692835200000,2023-08-24 00:00:00,SHIB/USD,8.346e-06,8.38e-06,8.051e-06,8.205e-06,4743716756.365817,38922.19598598153
1692748800000,2023-08-23 00:00:00,SHIB/USD,8.04e-06,8.517e-06,8.011e-06,8.346e-06,4976948104.95245,41537.60888393314
1692662400000,2023-08-22 00:00:00,SHIB/USD,7.995e-06,8.071e-06,7.8e-06,8.04e-06,7029495200.420346,56517.141411379576
1692576000000,2023-08-21 00:00:00,SHIB/USD,8.35e-06,8.394e-06,7.834e-06,7.995e-06,7722103054.378228,61738.213919753936
1692489600000,2023-08-20 00:00:00,SHIB/USD,8.456e-06,8.73e-06,8.249e-06,8.35e-06,4809675379.714878,40160.78942061923
1692403200000,2023-08-19 00:00:00,SHIB/USD,8.7e-06,9.129e-06,8.421e-06,8.456e-06,4918448187.397787,41590.39787263569
1692316800000,2023-08-18 00:00:00,SHIB/USD,8.446e-06,9.192e-06,8.098e-06,8.7e-06,12308686587.321684,107085.57330969865
1692230400000,2023-08-17 00:00:00,SHIB/USD,9.68e-06,1e-05,8e-06,8.446e-06,20923610898.48937,176720.8176486412
1692144000000,2023-08-16 00:00:00,SHIB/USD,1e-05,1.0658e-05,9.084e-06,9.68e-06,19209753529.988853,185950.41417029212
1692057600000,2023-08-15 00:00:00,SHIB/USD,1.034e-05,1.0762e-05,9.6e-06,1e-05,23059166849.712944,230591.66849712946
1691971200000,2023-08-14 00:00:00,SHIB/USD,1.0321e-05,1.0819e-05,1.0001e-05,1.034e-05,16157075029.62819,167064.15580635547
1691884800000,2023-08-13 00:00:00,SHIB/USD,1.0886e-05,1.1254e-05,1.019e-05,1.0321e-05,9197887557.899282,94931.39748507849
1691798400000,2023-08-12 00:00:00,SHIB/USD,1.0505e-05,1.196e-05,1.0505e-05,1.0886e-05,20179700256.347862,219676.21699060284
1691712000000,2023-08-11 00:00:00,SHIB/USD,9.923e-06,1.0585e-05,9.749e-06,1.0505e-05,11047861668.5284,116057.78682789084
1691625600000,2023-08-10 00:00:00,SHIB/USD,9.599e-06,1.0127e-05,9.575e-06,9.923e-06,8736171211.534733,86689.02693205915
1691539200000,2023-08-09 00:00:00,SHIB/USD,9.575e-06,1.003e-05,9.423e-06,9.599e-06,9794454805.914421,94016.97168197253
