https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1699401600,2023-11-08,XRP/USD,0.68602,0.69715,0.67363,0.68812,253413.161563,174378.66473473154
1699315200,2023-11-07,XRP/USD,0.71493,0.71493,0.65633,0.68648,781950.66513,536793.4925984424
1699228800,2023-11-06,XRP/USD,0.66104,0.73277,0.65989,0.71492,845009.219342,604113.9910919826
1699142400,2023-11-05,XRP/USD,0.61593,0.66179,0.61522,0.66134,524276.406475,346724.95865817653
1699056000,2023-11-04,XRP/USD,0.61229,0.6172,0.60976,0.61592,71399.606662,43976.44573525905
1698969600,2023-11-03,XRP/USD,0.60608,0.61444,0.59216,0.6123,190373.930193,116565.95745717389
1698883200,2023-11-02,XRP/USD,0.60917,0.62539,0.5871,0.60621,376507.198276,228242.42866689395
1698796800,2023-11-01,XRP/USD,0.59969,0.61661,0.58083,0.60944,349886.536864,213234.85102639618
1698710400,2023-10-31,XRP/USD,0.57895,0.61669,0.56286,0.59979,586257.01892,351631.0973780268
1698624000,2023-10-30,XRP/USD,0.55682,0.58321,0.55075,0.57869,242530.038691,140349.7080900948
1698537600,2023-10-29,XRP/USD,0.54539,0.56046,0.54185,0.55693,67058.15749,37346.6996509057
1698451200,2023-10-28,XRP/USD,0.5426,0.54968,0.54184,0.54549,33852.134386,18466.00078621914
1698364800,2023-10-27,XRP/USD,0.55344,0.55787,0.53896,0.54313,153082.792539,83143.85711170707
1698278400,2023-10-26,XRP/USD,0.55473,0.5687,0.54417,0.55345,246935.936113,136666.69384173985
1698192000,2023-10-25,XRP/USD,0.55805,0.56311,0.54177,0.55462,233223.760091,129350.56182167042
1698105600,2023-10-24,XRP/USD,0.54705,0.58558,0.53698,0.55794,824917.269297,460254.3412315682
1698019200,2023-10-23,XRP/USD,0.52238,0.55311,0.52058,0.5468,503083.925901,275086.29068266676
1697932800,2023-10-22,XRP/USD,0.52099,0.52317,0.51408,0.52273,72869.237582,38090.936561238865
1697846400,2023-10-21,XRP/USD,0.51519,0.53133,0.51279,0.52089,112930.674882,58824.45923928498
1697760000,2023-10-20,XRP/USD,0.52013,0.53,0.50919,0.51558,285197.634785,147042.1965424503
1697673600,2023-10-19,XRP/USD,0.48819,0.5236,0.47837,0.51978,435162.7425,226188.89029665
1697587200,2023-10-18,XRP/USD,0.49118,0.49292,0.48645,0.48828,76410.834193,37309.88211975804
1697500800,2023-10-17,XRP/USD,0.4982,0.4982,0.48791,0.49119,70052.518703,34409.096661726566
1697414400,2023-10-16,XRP/USD,0.48789,0.50886,0.4862,0.4983,173209.019172,86310.05425340761
1697328000,2023-10-15,XRP/USD,0.48642,0.48937,0.48612,0.48822,28485.740406,13907.30818101732
1697241600,2023-10-14,XRP/USD,0.48554,0.48749,0.48401,0.48645,17980.887839,8746.80288928155
1697155200,2023-10-13,XRP/USD,0.48327,0.48976,0.47913,0.48586,110707.133551,53788.167907088864
1697068800,2023-10-12,XRP/USD,0.48828,0.48828,0.47491,0.48359,113266.485707,54774.53982304813
1696982400,2023-10-11,XRP/USD,0.49715,0.49715,0.48022,0.48829,116499.014528,56885.30380387712
1696896000,2023-10-10,XRP/USD,0.50262,0.50262,0.49337,0.49725,99174.331255,49314.436216548755
1696809600,2023-10-09,XRP/USD,0.51755,0.51946,0.49479,0.50296,183302.320241,92193.73498841336
1696723200,2023-10-08,XRP/USD,0.52246,0.52246,0.51754,0.51754,23822.075685,12328.8770500149
1696636800,2023-10-07,XRP/USD,0.52612,0.52612,0.52057,0.52249,24140.655936,12613.25132000064
