https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1703030400000,2023-12-20 00:00:00,BTC/USD,42264.28,44303.39,42180.4,43666.66,778.50356337,33994650.41046625
1702944000000,2023-12-19 00:00:00,BTC/USD,42627.62,43444.0,41800.0,42264.28,717.82628373,30338411.046924163
1702857600000,2023-12-18 00:00:00,BTC/USD,41345.41,42736.86,40513.24,42627.62,556.98697739,23743029.217129514
1702771200000,2023-12-17 00:00:00,BTC/USD,42242.38,42365.97,41217.8,41345.41,225.79036006,9335395.010728326
1702684800000,2023-12-16 00:00:00,BTC/USD,41917.51,42672.28,41644.51,42242.38,90.78080523,3834797.271231647
1702598400000,2023-12-15 00:00:00,BTC/USD,43028.6,43097.7,41850.0,41917.51,329.29271632,13803130.729270764
1702512000000,2023-12-14 00:00:00,BTC/USD,42883.04,43442.93,41292.73,43028.6,656.24731185,28237403.082668908
1702425600000,2023-12-13 00:00:00,BTC/USD,41478.57,43486.4,40527.04,42883.04,762.54882164,32700411.620340988
1702339200000,2023-12-12 00:00:00,BTC/USD,41235.61,42081.08,40654.82,41478.57,575.29699946,23862496.862891573
1702252800000,2023-12-11 00:00:00,BTC/USD,43793.6,43809.05,40187.52,41235.61,1196.31287845,49330691.293741606
1702166400000,2023-12-10 00:00:00,BTC/USD,43735.17,44049.51,43565.1,43793.6,115.89909152,5075638.454390272
1702080000000,2023-12-09 00:00:00,BTC/USD,44201.96,44369.99,43626.0,43735.17,153.11884131,6696678.554895872
1701993600000,2023-12-08 00:00:00,BTC/USD,43296.33,44800.0,43092.04,44201.96,802.01738299,35450740.282228656
1701907200000,2023-12-07 00:00:00,BTC/USD,43782.0,44051.59,42854.49,43296.33,689.77954692,29864922.890698805
1701820800000,2023-12-06 00:00:00,BTC/USD,44100.05,44293.94,43407.34,43782.0,557.43937089,24405810.53630598
1701734400000,2023-12-05 00:00:00,BTC/USD,41975.51,44500.0,41393.24,44100.05,997.73966523,44000369.12362626
1701648000000,2023-12-04 00:00:00,BTC/USD,39986.11,42397.97,39986.11,41975.51,966.62220777,40574460.14847171
1701561600000,2023-12-03 00:00:00,BTC/USD,39472.74,40188.88,39300.01,39986.11,233.66131483,9343207.037537012
1701475200000,2023-12-02 00:00:00,BTC/USD,38700.73,39719.85,38662.31,39472.74,222.88645764,8797939.191944733
1701388800000,2023-12-01 00:00:00,BTC/USD,37722.36,38999.0,37600.0,38700.73,667.70166516,25840541.86390757
1701302400000,2023-11-30 00:00:00,BTC/USD,37866.08,38149.69,37509.1,37722.36,337.64412126,12736733.094053375
1701216000000,2023-11-29 00:00:00,BTC/USD,37837.23,38461.9,37591.81,37866.08,563.61443758,21341869.382559285
1701129600000,2023-11-28 00:00:00,BTC/USD,37238.89,38412.37,36878.08,37837.23,539.56866748,20415783.772234283
1701043200000,2023-11-27 00:00:00,BTC/USD,37456.89,37560.35,36729.0,37238.89,515.73128313,19205260.522036925
1700956800000,2023-11-26 00:00:00,BTC/USD,37799.99,37830.79,36421.89,37456.89,352.02514991,13185767.317412378
1700870400000,2023-11-25 00:00:00,BTC/USD,37740.08,37915.4,37621.29,37799.99,161.63556053,6109822.571678394
1700784000000,2023-11-24 00:00:00,BTC/USD,37301.01,38424.96,37266.44,37740.08,389.3675858,14694763.837498864
1700697600000,2023-11-23 00:00:00,BTC/USD,37440.61,37644.38,36898.81,37301.01,237.79281699,8869912.244472161
1700611200000,2023-11-22 00:00:00,BTC/USD,35758.0,37859.88,35620.0,37440.61,743.92953909,27853175.740548447
1700524800000,2023-11-21 00:00:00,BTC/USD,37485.48,37664.0,35758.0,35758.0,731.33234051,26150981.83195658
1700438400000,2023-11-20 00:00:00,BTC/USD,37395.71,37800.0,36700.0,37485.48,613.81000037,23008962.49266963
1700352000000,2023-11-19 00:00:00,BTC/USD,36581.65,37528.03,36420.65,37395.71,234.77883567,8779721.252852976
1700265600000,2023-11-18 00:00:00,BTC/USD,36639.1,36849.96,36212.95,36581.65,135.7626115,4966420.336978975
1700179200000,2023-11-17 00:00:00,BTC/USD,36178.08,36877.85,35878.92,36639.1,772.28075766,28295671.9079805
1700092800000,2023-11-16 00:00:00,BTC/USD,37888.54,37970.72,35531.21,36178.08,799.24125729,28915014.145538207
1700006400000,2023-11-15 00:00:00,BTC/USD,35575.42,37980.0,35378.59,37888.54,807.66778397,30601353.139658704
1699920000000,2023-11-14 00:00:00,BTC/USD,36483.39,36756.46,35000.0,35575.42,673.78791249,23970287.977754995
1699833600000,2023-11-13 00:00:00,BTC/USD,37077.81,37464.0,36368.36,36483.39,542.72426702,19800421.096154794
1699747200000,2023-11-12 00:00:00,BTC/USD,37144.6,37246.23,36750.0,37077.81,129.00638707,4783274.308567916
1699660800000,2023-11-11 00:00:00,BTC/USD,37323.81,37438.13,36750.0,37144.6,141.68387321,5262790.796836166
1699574400000,2023-11-10 00:00:00,BTC/USD,36703.57,37569.62,36358.71,37323.81,598.27463193,22329888.689975254
1699488000000,2023-11-09 00:00:00,BTC/USD,35657.7,38000.0,35585.57,36703.57,863.15579676,31680899.207286436
1699401600000,2023-11-08 00:00:00,BTC/USD,35438.61,36125.11,35109.52,35657.7,485.47614421,17310962.707396913
1699315200000,2023-11-07 00:00:00,BTC/USD,35048.65,35909.62,34560.0,35438.61,454.31603349,16100328.727599049
1699228800000,2023-11-06 00:00:00,BTC/USD,35039.81,35282.28,34764.23,35048.65,409.58803345,14355507.628577344
1699142400000,2023-11-05 00:00:00,BTC/USD,35088.54,35400.0,34500.0,35039.81,204.14232154,7153108.159720507
1699056000000,2023-11-04 00:00:00,BTC/USD,34738.08,35279.94,34620.0,35088.54,161.72575989,5674720.794930661
1698969600000,2023-11-03 00:00:00,BTC/USD,34954.37,34980.0,34134.55,34738.08,485.09441852,16851248.71810124
1698883200000,2023-11-02 00:00:00,BTC/USD,35442.33,35980.0,34337.64,34954.37,670.27832261,23429156.49148931
1698796800000,2023-11-01 00:00:00,BTC/USD,34666.46,35620.69,34105.0,35442.33,760.03739565,26937496.188967865
1698710400000,2023-10-31 00:00:00,BTC/USD,34489.88,34742.21,34064.22,34666.46,407.96337931,14142646.170314942
1698624000000,2023-10-30 00:00:00,BTC/USD,34540.94,34872.51,34100.0,34489.88,476.58642038,16437408.448535753
1698537600000,2023-10-29 00:00:00,BTC/USD,34091.77,34768.01,33950.0,34540.94,211.92055207,7319935.0738167465
1698451200000,2023-10-28 00:00:00,BTC/USD,33909.29,34490.0,33878.89,34091.77,105.63594948,3601316.493403779
1698364800000,2023-10-27 00:00:00,BTC/USD,34163.08,34247.76,33408.0,33909.29,564.57825604,19144447.811754614
1698278400000,2023-10-26 00:00:00,BTC/USD,34501.59,34864.4,33750.12,34163.08,647.58833951,22123612.24974729
1698192000000,2023-10-25 00:00:00,BTC/USD,33919.9,35147.33,33698.54,34501.59,745.03966974,25705053.219104886
1698105600000,2023-10-24 00:00:00,BTC/USD,33017.69,34894.31,32856.54,33919.9,1567.01814459,53153098.76267835
1698019200000,2023-10-23 00:00:00,BTC/USD,29999.63,34995.0,29897.08,33017.69,1255.69107901,41460018.782517694
1697932800000,2023-10-22 00:00:00,BTC/USD,29920.04,30240.56,29679.12,29999.63,198.96410597,5968849.562380791
1697846400000,2023-10-21 00:00:00,BTC/USD,29677.92,30333.0,29472.8,29920.04,148.07969175,4430550.30034767
1697760000000,2023-10-20 00:00:00,BTC/USD,28739.3,30256.35,28600.0,29677.92,757.81881099,22490486.04705634
1697673600000,2023-10-19 00:00:00,BTC/USD,28329.2,28937.63,28118.93,28739.3,599.09092687,17217453.87459499
1697587200000,2023-10-18 00:00:00,BTC/USD,28406.83,28974.05,28164.0,28329.2,475.43865626,13468796.780920792
1697500800000,2023-10-17 00:00:00,BTC/USD,28516.79,28633.02,28093.1,28406.83,495.65375366,14079951.919081498
1697414400000,2023-10-16 00:00:00,BTC/USD,27161.21,30300.0,27120.12,28516.79,1123.03710444,32025413.269523546
1697328000000,2023-10-15 00:00:00,BTC/USD,26858.45,27297.6,26813.58,27161.21,156.82893697,4259663.691118933
1697241600000,2023-10-14 00:00:00,BTC/USD,26849.0,26976.26,26820.0,26858.45,97.60698544,2621572.3380909683
1697155200000,2023-10-13 00:00:00,BTC/USD,26754.6,27116.72,26675.24,26849.0,704.47114665,18914345.81640585
1697068800000,2023-10-12 00:00:00,BTC/USD,26852.35,26926.76,26554.38,26754.6,426.0450436,11398664.72350056
1696982400000,2023-10-11 00:00:00,BTC/USD,27400.6,27477.41,26544.01,26852.35,463.89276468,12456610.879654998
1696896000000,2023-10-10 00:00:00,BTC/USD,27573.34,27736.6,27297.0,27400.6,325.70443689,8924496.993448135
1696809600000,2023-10-09 00:00:00,BTC/USD,27941.0,28000.0,27275.0,27573.34,208.59281131,5751600.507806475
1696723200000,2023-10-08 00:00:00,BTC/USD,27974.78,28107.03,27718.0,27941.0,111.4815017,3114904.6389997
1696636800000,2023-10-07 00:00:00,BTC/USD,27946.83,28038.27,27868.86,27974.78,81.56338277,2281717.6890465408
1696550400000,2023-10-06 00:00:00,BTC/USD,27416.47,28300.0,27200.0,27946.83,402.47787468,11247980.742443265
1696464000000,2023-10-05 00:00:00,BTC/USD,27787.76,28112.23,27358.23,27416.47,348.76904896,9562016.167740373
1696377600000,2023-10-04 00:00:00,BTC/USD,27426.2,27822.14,27220.42,27787.76,593.64469215,16496056.230738083
1696291200000,2023-10-03 00:00:00,BTC/USD,27507.84,27674.01,27175.52,27426.2,352.28754721,9661908.727290902
1696204800000,2023-10-02 00:00:00,BTC/USD,27950.85,28599.99,27311.0,27507.84,774.74445863,21311546.60888066
1696118400000,2023-10-01 00:00:00,BTC/USD,26973.7,28052.54,26963.32,27950.85,250.20877842,6993548.034300656
1696032000000,2023-09-30 00:00:00,BTC/USD,26907.5,27093.52,26887.29,26973.7,119.93141081,3234993.895765697
1695945600000,2023-09-29 00:00:00,BTC/USD,27023.93,27235.7,26683.28,26907.5,355.66496658,9570055.08825135
1695859200000,2023-09-28 00:00:00,BTC/USD,26354.35,27304.14,26324.73,27023.93,264.73216195,7154103.413285463
1695772800000,2023-09-27 00:00:00,BTC/USD,26143.85,26824.15,26091.6,26354.35,529.72643984,13960595.999797303
1695686400000,2023-09-26 00:00:00,BTC/USD,26294.87,26424.99,26082.66,26143.85,194.69372653,5090043.58234134
1695600000000,2023-09-25 00:00:00,BTC/USD,26250.63,26438.6,25998.53,26294.87,340.109663,8943139.37432881
1695513600000,2023-09-24 00:00:00,BTC/USD,26582.2,26733.34,26148.0,26250.63,145.89365618,3829800.3877283935
1695427200000,2023-09-23 00:00:00,BTC/USD,26581.05,26636.88,26518.14,26582.2,70.06160535,1862391.60573477
