https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FIL
1705017600000,2024-01-12 00:00:00,FIL/USD,6.4084,6.4306,6.3261,6.3461,8380.396720452174,1320.55856675
1704931200000,2024-01-11 00:00:00,FIL/USD,5.9141,6.4897,5.9011,6.4629,270080.8831472794,41789.42628654
1704844800000,2024-01-10 00:00:00,FIL/USD,5.4782,6.066,5.2841,5.9263,177977.51926948328,30031.81061868
1704758400000,2024-01-09 00:00:00,FIL/USD,5.8497,5.8796,5.22,5.4834,238723.70874843633,43535.70936799
1704672000000,2024-01-08 00:00:00,FIL/USD,5.6428,5.8855,5.1,5.8749,287806.7515430225,48989.21710038
1704585600000,2024-01-07 00:00:00,FIL/USD,5.9044,6.1421,5.5171,5.61,146113.950047802,26045.2673882
1704499200000,2024-01-06 00:00:00,FIL/USD,6.1354,6.2592,5.7513,5.9138,123666.63319949969,20911.53458005
1704412800000,2024-01-05 00:00:00,FIL/USD,6.4986,6.5403,5.77,6.1334,382145.22735419957,62305.60983373
1704326400000,2024-01-04 00:00:00,FIL/USD,6.3059,6.6466,6.1728,6.51,468820.0927317411,72015.37522761
1704240000000,2024-01-03 00:00:00,FIL/USD,7.1845,7.6976,5.6,6.2914,888486.6315352707,141222.40384259
1704153600000,2024-01-02 00:00:00,FIL/USD,7.5283,7.8443,7.12,7.1603,234073.49252821482,32690.45885343
1704067200000,2024-01-01 00:00:00,FIL/USD,6.8439,8.1167,6.7431,7.6162,919463.1898365684,120724.66450941
1703980800000,2023-12-31 00:00:00,FIL/USD,6.0107,7.449,5.9357,6.9168,1722852.4825465141,249082.30432375
1703894400000,2023-12-30 00:00:00,FIL/USD,5.8208,6.1,5.7389,6.0244,126536.75223054357,21004.04226654
1703808000000,2023-12-29 00:00:00,FIL/USD,6.2663,6.2663,5.6811,5.8116,344958.1295998941,59356.82593432
1703721600000,2023-12-28 00:00:00,FIL/USD,5.9241,6.296,5.8347,6.2433,391875.7068462513,62767.39974793
1703635200000,2023-12-27 00:00:00,FIL/USD,5.7647,6.0925,5.5086,5.9421,305123.4445846881,51349.42942473
1703548800000,2023-12-26 00:00:00,FIL/USD,5.7995,5.8179,5.2625,5.7846,364387.3440866245,62992.66052737
1703462400000,2023-12-25 00:00:00,FIL/USD,5.6804,5.8863,5.5863,5.8086,140094.1994596816,24118.41053949
1703376000000,2023-12-24 00:00:00,FIL/USD,5.6618,5.7676,5.4628,5.6376,290896.69932874053,51599.38614459
1703289600000,2023-12-23 00:00:00,FIL/USD,5.5223,5.6465,5.2949,5.6411,77010.79010815457,13651.73283724
1703203200000,2023-12-22 00:00:00,FIL/USD,5.5296,5.7816,5.4544,5.5415,529925.984394214,95628.61759347
1703116800000,2023-12-21 00:00:00,FIL/USD,5.3181,5.5353,5.2843,5.508,405975.19963718165,73706.4632602
1703030400000,2023-12-20 00:00:00,FIL/USD,5.1303,5.3882,5.08,5.3281,157421.9597169831,29545.60907584
1702944000000,2023-12-19 00:00:00,FIL/USD,5.3088,5.4423,5.0449,5.1118,190458.07680089847,37258.51496555
1702857600000,2023-12-18 00:00:00,FIL/USD,5.2901,5.4018,4.8669,5.3079,550005.6836725051,103620.20453899
1702771200000,2023-12-17 00:00:00,FIL/USD,5.6987,5.7914,5.2645,5.2885,534469.5089007093,101062.59031875
1702684800000,2023-12-16 00:00:00,FIL/USD,4.8155,6.1859,4.7102,5.6986,2382522.187941425,418089.03729713
1702598400000,2023-12-15 00:00:00,FIL/USD,4.8444,4.9812,4.6826,4.807,505352.38206879364,105128.4339648
1702512000000,2023-12-14 00:00:00,FIL/USD,4.7306,4.8913,4.5789,4.8667,566853.0976316038,116475.866117
1702425600000,2023-12-13 00:00:00,FIL/USD,4.6557,4.7762,4.4303,4.7274,103808.21850132475,21958.83963729
