https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1705017600000,2024-01-12 00:00:00,ETH/USD,2618.5,2624.3,2592.2,2610.2,1547929.866958676,593.03113438
1704931200000,2024-01-11 00:00:00,ETH/USD,2583.3,2685.9,2562.3,2620.0,68541995.41306101,26161.06695155
1704844800000,2024-01-10 00:00:00,ETH/USD,2344.5,2635.1,2340.4,2580.4,88572652.94115871,34325.16390527
1704758400000,2024-01-09 00:00:00,ETH/USD,2333.0,2371.5,2226.7,2344.1,29532658.713867042,12598.71964245
1704672000000,2024-01-08 00:00:00,ETH/USD,2223.6,2359.6,2168.4,2333.0,16860267.76250005,7226.86144985
1704585600000,2024-01-07 00:00:00,ETH/USD,2242.9,2260.0,2206.6,2224.1,4244351.477984505,1908.34561305
1704499200000,2024-01-06 00:00:00,ETH/USD,2271.6,2272.9,2218.5,2242.0,7471393.2469199,3332.46799595
1704412800000,2024-01-05 00:00:00,ETH/USD,2271.0,2279.5,2209.5,2270.1,9349167.260672169,4118.39445869
1704326400000,2024-01-04 00:00:00,ETH/USD,2211.3,2298.4,2204.7,2270.8,14136977.710770544,6225.54945868
1704240000000,2024-01-03 00:00:00,ETH/USD,2358.2,2387.1,2097.4,2211.8,48286611.15110526,21831.3641157
1704153600000,2024-01-02 00:00:00,ETH/USD,2352.7,2431.9,2340.0,2356.7,30413792.232391596,12905.24556897
1704067200000,2024-01-01 00:00:00,ETH/USD,2286.5,2352.6,2269.5,2352.5,12327856.103545176,5240.32140427
1703980800000,2023-12-31 00:00:00,ETH/USD,2294.0,2323.7,2260.0,2284.9,4852120.6467635045,2123.55930096
1703894400000,2023-12-30 00:00:00,ETH/USD,2299.7,2324.7,2271.3,2293.5,6334852.153597934,2762.08945001
1703808000000,2023-12-29 00:00:00,ETH/USD,2346.5,2388.6,2258.1,2302.7,13958383.237547152,6061.74631413
1703721600000,2023-12-28 00:00:00,ETH/USD,2380.7,2447.1,2337.1,2348.0,46217694.9314512,19683.8564444
1703635200000,2023-12-27 00:00:00,ETH/USD,2233.1,2393.5,2215.3,2379.6,35744898.98518395,15021.38972314
1703548800000,2023-12-26 00:00:00,ETH/USD,2274.2,2277.0,2182.0,2234.0,10435532.30033168,4671.23200552
1703462400000,2023-12-25 00:00:00,ETH/USD,2267.1,2308.4,2257.3,2275.0,3948464.3498755,1735.58872522
1703376000000,2023-12-24 00:00:00,ETH/USD,2312.6,2325.2,2248.1,2267.1,5932006.185983328,2616.56132768
1703289600000,2023-12-23 00:00:00,ETH/USD,2329.7,2337.1,2269.2,2312.8,4374634.298157984,1891.48836828
1703203200000,2023-12-22 00:00:00,ETH/USD,2242.3,2346.9,2233.1,2330.0,15095071.7829378,6478.57158066
1703116800000,2023-12-21 00:00:00,ETH/USD,2201.6,2281.8,2187.0,2241.5,11783633.86409129,5257.03049926
1703030400000,2023-12-20 00:00:00,ETH/USD,2180.1,2268.0,2160.2,2203.7,11607645.687597144,5267.34387058
1702944000000,2023-12-19 00:00:00,ETH/USD,2220.7,2257.2,2138.0,2180.5,9245255.512453869,4239.97042534
1702857600000,2023-12-18 00:00:00,ETH/USD,2198.1,2224.7,2118.2,2219.4,11300506.314394662,5091.69429323
1702771200000,2023-12-17 00:00:00,ETH/USD,2232.3,2250.0,2192.0,2197.7,4943596.551301345,2249.44102985
1702684800000,2023-12-16 00:00:00,ETH/USD,2223.9,2265.6,2213.5,2231.7,5137698.664271726,2302.14574731
1702598400000,2023-12-15 00:00:00,ETH/USD,2317.5,2319.8,2201.6,2220.8,6817843.512241729,3069.99437691
1702512000000,2023-12-14 00:00:00,ETH/USD,2262.1,2334.1,2229.5,2319.1,9753767.184940618,4205.84156998
1702425600000,2023-12-13 00:00:00,ETH/USD,2204.5,2285.1,2147.8,2262.5,12136352.318575876,5364.13362147
1702339200000,2023-12-12 00:00:00,ETH/USD,2226.3,2245.0,2166.7,2204.4,10222795.018031113,4637.45010798
1702252800000,2023-12-11 00:00:00,ETH/USD,2353.6,2356.4,2137.8,2226.9,25062970.646150738,11254.64576144
1702166400000,2023-12-10 00:00:00,ETH/USD,2342.5,2378.9,2324.5,2354.6,4845544.6517311,2057.9056535
1702080000000,2023-12-09 00:00:00,ETH/USD,2359.2,2404.1,2330.5,2341.9,15076601.267462945,6437.76474976
1701993600000,2023-12-08 00:00:00,ETH/USD,2356.5,2392.2,2336.4,2358.3,9821490.503403433,4164.64847704
1701907200000,2023-12-07 00:00:00,ETH/USD,2235.3,2382.7,2224.2,2357.5,38785520.3742551,16451.97046628
1701820800000,2023-12-06 00:00:00,ETH/USD,2295.5,2312.5,2222.4,2235.7,23855324.37486594,10670.18131899
1701734400000,2023-12-05 00:00:00,ETH/USD,2241.4,2307.8,2186.1,2294.7,28580324.477322277,12454.92852108
1701648000000,2023-12-04 00:00:00,ETH/USD,2192.1,2269.0,2191.0,2241.2,41530426.5241138,18530.4419615
1701561600000,2023-12-03 00:00:00,ETH/USD,2163.9,2214.7,2146.8,2191.5,25811973.786367707,11778.22212474
1701475200000,2023-12-02 00:00:00,ETH/USD,2087.2,2184.0,2087.1,2163.9,23781247.323719222,10989.9936798
1701388800000,2023-12-01 00:00:00,ETH/USD,2052.7,2109.5,2046.1,2087.1,28341201.987418078,13579.22571387
1701302400000,2023-11-30 00:00:00,ETH/USD,2028.2,2054.9,2021.5,2052.0,2512227.8896596,1224.2825973
1701216000000,2023-11-29 00:00:00,ETH/USD,2045.8,2074.9,2018.3,2028.5,9039824.964517795,4456.40865887
1701129600000,2023-11-28 00:00:00,ETH/USD,2027.3,2074.5,1996.5,2046.0,28139032.797837723,13753.19296082
1701043200000,2023-11-27 00:00:00,ETH/USD,2062.5,2070.4,1987.6,2029.1,35257070.23064142,17375.71841242
1700956800000,2023-11-26 00:00:00,ETH/USD,2083.3,2094.1,2036.8,2061.7,11592218.369718213,5622.65041942
1700870400000,2023-11-25 00:00:00,ETH/USD,2080.9,2090.0,2065.4,2084.5,3848701.951836445,1846.34298481
1700784000000,2023-11-24 00:00:00,ETH/USD,2061.6,2132.8,2059.9,2079.7,28847964.286477048,13871.21425517
1700697600000,2023-11-23 00:00:00,ETH/USD,2064.2,2089.3,2040.4,2062.5,5000094.219841875,2424.28810659
1700611200000,2023-11-22 00:00:00,ETH/USD,1933.2,2092.4,1930.5,2063.9,13228169.619348135,6409.30743706
1700524800000,2023-11-21 00:00:00,ETH/USD,2021.6,2034.9,1931.4,1934.1,10940803.463419074,5656.79306314
1700438400000,2023-11-20 00:00:00,ETH/USD,2013.1,2066.3,1991.5,2021.6,9742573.954731911,4819.23919407
1700352000000,2023-11-19 00:00:00,ETH/USD,1963.4,2015.9,1945.2,2012.6,4907753.217571702,2438.51397077
1700265600000,2023-11-18 00:00:00,ETH/USD,1961.5,1973.0,1919.5,1962.9,14164911.474552019,7216.31844442
1700179200000,2023-11-17 00:00:00,ETH/USD,1962.1,1991.4,1906.2,1961.8,11959830.130441919,6096.3554544
1700092800000,2023-11-16 00:00:00,ETH/USD,2059.8,2090.8,1940.0,1962.0,10173753.36314892,5185.39926766
1700006400000,2023-11-15 00:00:00,ETH/USD,1980.0,2063.2,1968.2,2059.5,11030598.934207095,5355.95966701
1699920000000,2023-11-14 00:00:00,ETH/USD,2054.9,2065.2,1933.0,1980.0,18622629.5575914,9405.36846343
1699833600000,2023-11-13 00:00:00,ETH/USD,2042.9,2118.8,2029.9,2055.2,17872037.018029094,8696.00866973
1699747200000,2023-11-12 00:00:00,ETH/USD,2053.5,2064.6,2013.5,2044.2,110118186.26398025,53868.5971353
1699660800000,2023-11-11 00:00:00,ETH/USD,2078.4,2089.0,2031.1,2053.3,29196015.93948105,14219.069760620001
1699574400000,2023-11-10 00:00:00,ETH/USD,2120.9,2134.7,2066.2,2077.4,101530843.13483644,48873.9978506
1699488000000,2023-11-09 00:00:00,ETH/USD,1888.6,2131.5,1883.4,2120.9,66493853.483186826,31351.71553736
1699401600000,2023-11-08 00:00:00,ETH/USD,1887.3,1904.4,1875.0,1889.1,6505880.445127422,3443.90474042
1699315200000,2023-11-07 00:00:00,ETH/USD,1902.1,1908.6,1853.5,1888.9,18491261.883072224,9789.43400025
1699228800000,2023-11-06 00:00:00,ETH/USD,1894.3,1916.5,1872.0,1902.1,9162786.975711312,4817.19519253
1699142400000,2023-11-05 00:00:00,ETH/USD,1858.8,1915.8,1848.9,1895.3,21101597.683100846,11133.64516599
1699056000000,2023-11-04 00:00:00,ETH/USD,1835.2,1872.5,1826.9,1859.1,5152797.887921247,2771.66257217
1698969600000,2023-11-03 00:00:00,ETH/USD,1801.3,1835.9,1777.6,1834.6,9736711.662272114,5307.26679509
1698883200000,2023-11-02 00:00:00,ETH/USD,1848.4,1876.0,1785.7,1801.1,12728451.812716395,7067.04336945
1698796800000,2023-11-01 00:00:00,ETH/USD,1815.8,1859.4,1784.5,1848.4,14138992.778456582,7649.31442245
1698710400000,2023-10-31 00:00:00,ETH/USD,1810.1,1820.3,1783.8,1817.2,5225552.477722192,2875.60669036
1698624000000,2023-10-30 00:00:00,ETH/USD,1796.9,1831.5,1779.1,1810.1,9740943.54826399,5381.4394499
1698537600000,2023-10-29 00:00:00,ETH/USD,1777.2,1812.9,1764.5,1796.0,5535175.52978172,3081.94628607
1698451200000,2023-10-28 00:00:00,ETH/USD,1780.8,1805.0,1771.1,1777.6,3442116.46121816,1936.38414785
1698364800000,2023-10-27 00:00:00,ETH/USD,1804.3,1804.8,1743.8,1780.6,8466652.893012043,4754.94377907
1698278400000,2023-10-26 00:00:00,ETH/USD,1787.5,1866.1,1761.9,1804.9,11280200.672738839,6249.76490262
1698192000000,2023-10-25 00:00:00,ETH/USD,1786.5,1818.2,1762.3,1787.4,8694709.668565704,4864.44537796
1698105600000,2023-10-24 00:00:00,ETH/USD,1766.3,1855.6,1756.8,1786.5,37367766.67735229,20916.74597109
1698019200000,2023-10-23 00:00:00,ETH/USD,1665.1,1799.0,1659.6,1766.3,23158013.28307364,13111.0305628
1697932800000,2023-10-22 00:00:00,ETH/USD,1629.4,1669.2,1621.9,1665.0,5796331.09165845,3481.27993493
1697846400000,2023-10-21 00:00:00,ETH/USD,1604.6,1645.7,1593.8,1628.9,3506504.8710590997,2152.68271291
1697760000000,2023-10-20 00:00:00,ETH/USD,1568.5,1631.9,1563.4,1604.9,6027243.346806649,3755.52579401
1697673600000,2023-10-19 00:00:00,ETH/USD,1563.5,1575.7,1542.3,1568.8,13640261.148042377,8694.71006377
1697587200000,2023-10-18 00:00:00,ETH/USD,1565.6,1586.1,1556.4,1564.2,4949622.268920055,3164.31547687
1697500800000,2023-10-17 00:00:00,ETH/USD,1600.8,1601.6,1552.4,1565.5,5455172.615025255,3484.62000321
1697414400000,2023-10-16 00:00:00,ETH/USD,1558.2,1656.0,1556.5,1600.9,10189461.553254873,6364.83325208
1697328000000,2023-10-15 00:00:00,ETH/USD,1555.8,1567.9,1549.5,1558.7,2925009.7710393565,1876.5700718800001
1697241600000,2023-10-14 00:00:00,ETH/USD,1552.9,1563.0,1545.8,1555.8,4445760.863869607,2857.54008476
1697155200000,2023-10-13 00:00:00,ETH/USD,1541.6,1575.4,1539.1,1552.9,5583799.364601652,3595.72371988
1697068800000,2023-10-12 00:00:00,ETH/USD,1567.4,1570.0,1521.8,1542.0,16585333.08245448,10755.72832844
1696982400000,2023-10-11 00:00:00,ETH/USD,1568.8,1579.3,1545.4,1567.4,8758723.587132808,5588.05894292
1696896000000,2023-10-10 00:00:00,ETH/USD,1581.7,1596.0,1551.3,1568.9,4406208.220709612,2808.46976908
1696809600000,2023-10-09 00:00:00,ETH/USD,1633.6,1636.0,1549.3,1581.3,13696859.859517422,8661.77187094
1696723200000,2023-10-08 00:00:00,ETH/USD,1634.5,1641.2,1617.0,1633.2,2529267.0283433762,1548.65725468
1696636800000,2023-10-07 00:00:00,ETH/USD,1645.5,1647.9,1630.5,1634.5,1558600.86034723,953.56430734
1696550400000,2023-10-06 00:00:00,ETH/USD,1612.4,1663.5,1612.4,1645.7,7300918.434283496,4436.36047535
1696464000000,2023-10-05 00:00:00,ETH/USD,1648.2,1656.1,1607.1,1611.5,4732394.27626625,2936.6393275
1696377600000,2023-10-04 00:00:00,ETH/USD,1656.7,1658.1,1623.1,1648.4,5459382.876661897,3311.92846194
1696291200000,2023-10-03 00:00:00,ETH/USD,1664.7,1672.2,1644.9,1656.7,6118463.649199303,3693.16330609
1696204800000,2023-10-02 00:00:00,ETH/USD,1736.2,1746.0,1637.9,1664.9,17339243.221388415,10414.58539335
1696118400000,2023-10-01 00:00:00,ETH/USD,1671.9,1765.0,1669.2,1735.5,6930988.465359075,3993.65512265
1696032000000,2023-09-30 00:00:00,ETH/USD,1668.8,1695.0,1667.7,1671.8,4271086.92632063,2554.78342285
1695945600000,2023-09-29 00:00:00,ETH/USD,1655.4,1691.0,1650.9,1668.9,10681309.767327685,6400.20957956
1695859200000,2023-09-28 00:00:00,ETH/USD,1599.8,1669.3,1599.5,1654.6,8216486.108202812,4965.84437822
1695772800000,2023-09-27 00:00:00,ETH/USD,1595.5,1635.6,1585.8,1599.7,5812487.136390354,3633.48573882
1695686400000,2023-09-26 00:00:00,ETH/USD,1590.0,1602.4,1582.3,1594.8,3140812.256415444,1969.40823703
1695600000000,2023-09-25 00:00:00,ETH/USD,1582.8,1599.3,1566.1,1590.4,5345516.11862688,3361.1142597
1695513600000,2023-09-24 00:00:00,ETH/USD,1595.4,1603.5,1573.1,1583.5,2855503.18952318,1803.28587908
1695427200000,2023-09-23 00:00:00,ETH/USD,1595.9,1600.0,1590.5,1595.6,2194174.459003588,1375.1406737300001
1695340800000,2023-09-22 00:00:00,ETH/USD,1587.1,1603.8,1579.4,1595.4,3135465.91689843,1965.31648295
1695254400000,2023-09-21 00:00:00,ETH/USD,1623.1,1626.4,1570.1,1586.0,12213284.7125835,7700.68392975
1695168000000,2023-09-20 00:00:00,ETH/USD,1644.8,1651.1,1605.6,1623.1,6911084.790884381,4257.95378651
1695081600000,2023-09-19 00:00:00,ETH/USD,1638.1,1662.6,1628.9,1645.6,5452208.420547856,3313.20395026
1694995200000,2023-09-18 00:00:00,ETH/USD,1624.1,1671.3,1605.0,1638.4,7490020.821385217,4571.54591149
1694908800000,2023-09-17 00:00:00,ETH/USD,1635.9,1636.0,1613.8,1624.3,2246554.6514607877,1383.09096316
1694822400000,2023-09-16 00:00:00,ETH/USD,1643.0,1653.6,1633.1,1635.8,2498539.6896435823,1527.4114742900001
1694736000000,2023-09-15 00:00:00,ETH/USD,1627.1,1654.8,1613.6,1642.8,4271356.454433479,2600.0465391
1694649600000,2023-09-14 00:00:00,ETH/USD,1609.0,1645.0,1608.7,1627.6,6287359.408257511,3862.96350962
1694563200000,2023-09-13 00:00:00,ETH/USD,1593.6,1620.2,1583.8,1609.2,5291655.397066476,3288.37645853
1694476800000,2023-09-12 00:00:00,ETH/USD,1552.8,1626.9,1551.1,1593.7,8527303.34418968,5350.6327064
1694390400000,2023-09-11 00:00:00,ETH/USD,1618.0,1619.6,1532.2,1552.4,10708781.213562785,6898.21000616
1694304000000,2023-09-10 00:00:00,ETH/USD,1636.3,1636.3,1597.9,1618.8,7604217.396877225,4697.44094198
1694217600000,2023-09-09 00:00:00,ETH/USD,1637.2,1638.0,1630.6,1636.3,3391997.8491170066,2072.96818989
1694131200000,2023-09-08 00:00:00,ETH/USD,1649.4,1659.7,1617.0,1637.4,7538729.344787196,4604.08534554
1694044800000,2023-09-07 00:00:00,ETH/USD,1634.3,1661.7,1625.0,1649.7,5473003.660220772,3317.57511076
1693958400000,2023-09-06 00:00:00,ETH/USD,1634.8,1672.0,1609.8,1634.3,14419993.440220349,8823.34543243
1693872000000,2023-09-05 00:00:00,ETH/USD,1631.0,1649.5,1610.6,1634.6,10998481.212223824,6728.54595144
1693785600000,2023-09-04 00:00:00,ETH/USD,1636.7,1644.8,1617.1,1630.8,4604338.283158584,2823.36171398
1693699200000,2023-09-03 00:00:00,ETH/USD,1637.4,1648.2,1626.4,1636.6,2928870.05452636,1789.6065346
1693612800000,2023-09-02 00:00:00,ETH/USD,1630.1,1646.3,1628.4,1637.4,3850217.26347336,2351.4213164
1693526400000,2023-09-01 00:00:00,ETH/USD,1647.7,1655.6,1602.4,1629.9,7290803.6633215975,4473.16011002
1693440000000,2023-08-31 00:00:00,ETH/USD,1707.3,1728.4,1632.1,1648.2,10727625.229067557,6508.69143858
1693353600000,2023-08-30 00:00:00,ETH/USD,1731.1,1732.2,1697.3,1706.9,6380214.386560093,3737.89582668
1693267200000,2023-08-29 00:00:00,ETH/USD,1654.8,1748.5,1642.3,1729.8,13438116.293271229,7768.59538286
1693180800000,2023-08-28 00:00:00,ETH/USD,1658.8,1665.7,1624.6,1655.4,5022242.431494924,3033.85431406
1693094400000,2023-08-27 00:00:00,ETH/USD,1648.4,1661.2,1647.9,1659.6,1541538.832245264,928.86167284
1693008000000,2023-08-26 00:00:00,ETH/USD,1654.7,1656.5,1645.6,1648.1,1597286.225852924,969.16827004
1692921600000,2023-08-25 00:00:00,ETH/USD,1663.2,1677.9,1637.3,1655.1,5733430.104021084,3464.09890884
1692835200000,2023-08-24 00:00:00,ETH/USD,1681.1,1684.7,1637.9,1662.2,7119112.277198919,4282.94566069
1692748800000,2023-08-23 00:00:00,ETH/USD,1636.0,1702.9,1630.6,1680.4,16008243.067947198,9526.44790999
1692662400000,2023-08-22 00:00:00,ETH/USD,1669.0,1670.2,1582.9,1636.0,11726346.12977696,7167.69323336
1692576000000,2023-08-21 00:00:00,ETH/USD,1686.4,1689.5,1647.7,1670.1,9253149.521555468,5540.47633169
1692489600000,2023-08-20 00:00:00,ETH/USD,1670.5,1695.6,1662.9,1686.4,4873161.980747872,2889.68333773
1692403200000,2023-08-19 00:00:00,ETH/USD,1662.3,1697.0,1655.2,1670.0,5866463.096228099,3512.85215343
1692316800000,2023-08-18 00:00:00,ETH/USD,1682.4,1699.3,1643.1,1662.3,17745035.00578857,10674.9894759
1692230400000,2023-08-17 00:00:00,ETH/USD,1807.9,1809.4,1517.0,1682.4,30730635.814601164,18265.95091215
1692144000000,2023-08-16 00:00:00,ETH/USD,1829.4,1831.2,1798.3,1808.0,6163529.71213744,3409.03192043
1692057600000,2023-08-15 00:00:00,ETH/USD,1845.6,1847.1,1810.8,1829.1,3834622.628015088,2096.45324368
1691971200000,2023-08-14 00:00:00,ETH/USD,1841.5,1856.1,1836.0,1845.3,2372452.5222158493,1285.67307333
1691884800000,2023-08-13 00:00:00,ETH/USD,1850.5,1862.5,1835.0,1841.7,1787794.456752801,970.73055153
1691798400000,2023-08-12 00:00:00,ETH/USD,1849.4,1854.3,1847.7,1850.5,1252755.053156255,676.98192551
1691712000000,2023-08-11 00:00:00,ETH/USD,1852.4,1857.2,1838.6,1849.6,5066191.522186048,2739.07413613
1691625600000,2023-08-10 00:00:00,ETH/USD,1856.4,1866.3,1846.3,1853.1,2440525.922879742,1316.99634282
1691539200000,2023-08-09 00:00:00,ETH/USD,1857.3,1872.7,1847.1,1856.5,3660451.08375105,1971.6946317
1691452800000,2023-08-08 00:00:00,ETH/USD,1829.3,1877.4,1828.0,1857.6,11830210.158825072,6368.54552047
1691366400000,2023-08-07 00:00:00,ETH/USD,1830.2,1846.5,1802.6,1829.3,17477212.602527767,9554.04395262
1691280000000,2023-08-06 00:00:00,ETH/USD,1836.8,1838.5,1826.6,1830.2,10868546.60571504,5938.4474952
1691193600000,2023-08-05 00:00:00,ETH/USD,1830.4,1839.4,1828.0,1836.8,6429885.736833216,3500.59110237
1691107200000,2023-08-04 00:00:00,ETH/USD,1836.8,1852.0,1816.0,1830.4,5285548.202398464,2887.64652666
1691020800000,2023-08-03 00:00:00,ETH/USD,1841.3,1859.8,1827.4,1836.9,4274919.11477007,2327.2465103
1690934400000,2023-08-02 00:00:00,ETH/USD,1876.0,1881.1,1823.2,1842.0,4315344.6901462795,2342.74956034
1690848000000,2023-08-01 00:00:00,ETH/USD,1858.2,1877.2,1815.2,1873.9,13411679.665272126,7157.09465034
