https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1703548800000,2023-12-26 00:00:00,DOGE/USDT,0.088291,0.088695,0.086,0.088695,12358285.97492,141127949.629,6256356.33022,71445030.125,296546,0.087573
1703462400000,2023-12-25 00:00:00,DOGE/USDT,0.088529,0.088695,0.088,0.088314,8900109.18156,100566623.635,4441636.15406,50188052.257,193997,0.088499
1703376000000,2023-12-24 00:00:00,DOGE/USDT,0.088696,0.088963,0.087236,0.088529,5410505.02669,60996820.263,2711614.69058,30569696.904,126176,0.088701
1703289600000,2023-12-23 00:00:00,DOGE/USDT,0.089748,0.090113,0.088626,0.088696,12090074.6914,135906795.452,6074693.53003,68285917.805,285704,0.088959
1703203200000,2023-12-22 00:00:00,DOGE/USDT,0.091331,0.091498,0.0871,0.089749,11772503.19013,132055102.318,5866220.95771,65807332.685,294246,0.089155
1703116800000,2023-12-21 00:00:00,DOGE/USDT,0.086899,0.091537,0.085,0.091285,11807582.37644,136445533.19,5904846.45369,68231622.85,285693,0.086546
1703030400000,2023-12-20 00:00:00,DOGE/USDT,0.087441,0.088923,0.0855,0.086899,13363359.25299,152952409.533,6724618.75515,76967232.818,323251,0.087375
1702944000000,2023-12-19 00:00:00,DOGE/USDT,0.0869,0.089585,0.084512,0.087462,11421648.69171,130266562.702,5741792.43267,65489055.581,264789,0.087689
1702857600000,2023-12-18 00:00:00,DOGE/USDT,0.089998,0.090735,0.084955,0.086904,13741349.60806,157489655.65,6881679.90668,78869319.444,325837,0.087287
1702771200000,2023-12-17 00:00:00,DOGE/USDT,0.091335,0.093481,0.088142,0.089999,11830162.59315,130854411.787,5947256.61213,65785833.009,281897,0.090423
1702684800000,2023-12-16 00:00:00,DOGE/USDT,0.08883,0.092528,0.088016,0.091335,11962957.01694,132600159.649,6013453.2147,66656212.774,292102,0.090228
1702598400000,2023-12-15 00:00:00,DOGE/USDT,0.091947,0.093,0.08585,0.08883,8530233.01449,95849584.766,4269671.52066,47972204.666,194428,0.08901
1702512000000,2023-12-14 00:00:00,DOGE/USDT,0.089916,0.09195,0.08928,0.091947,6847065.70035,75870216.325,3595853.87667,39844639.775,174226,0.090253
1702425600000,2023-12-13 00:00:00,DOGE/USDT,0.089818,0.091219,0.086,0.089797,10491111.90623,118123694.26,5387599.08464,60661491.561,250778,0.088829
1702339200000,2023-12-12 00:00:00,DOGE/USDT,0.091026,0.097168,0.089048,0.089713,16499805.48731,179787224.169,8630947.87246,94028881.605,421062,0.091795
1702252800000,2023-12-11 00:00:00,DOGE/USDT,0.097091,0.098723,0.08895,0.091034,10622402.5847,115312562.611,5553185.44,60283416.354,238991,0.092179
1702166400000,2023-12-10 00:00:00,DOGE/USDT,0.094711,0.10052,0.092,0.097091,8192848.3754,85086002.028,4176975.14576,43384507.691,201281,0.096303
