https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1702166400,2023-12-10,XLM/USD,0.13653,0.13653,0.13368,0.13368,6628.1604204,886.0524849990719
1701993600,2023-12-08,XLM/USD,0.1265,0.1295,0.1265,0.1295,1039.9937811,134.67919465245
1701820800,2023-12-06,XLM/USD,0.12309,0.124,0.12309,0.124,3159.7003994,391.80284952560004
1701734400,2023-12-05,XLM/USD,0.12197,0.12197,0.12197,0.12197,120.0,14.6364
1701648000,2023-12-04,XLM/USD,0.123,0.123,0.12279,0.12279,14468.3320488,1776.5664922721521
1701475200,2023-12-02,XLM/USD,0.12064,0.12064,0.12064,0.12064,189.8464,22.903069696
1701216000,2023-11-29,XLM/USD,0.11885,0.11885,0.11885,0.11885,2303.445628,273.7645128878
1701129600,2023-11-28,XLM/USD,0.11604,0.11604,0.11603,0.11603,4988.0723,578.766028969
1701043200,2023-11-27,XLM/USD,0.11657,0.11657,0.11599,0.11603,17853.5495291,2071.547351861473
1700870400,2023-11-25,XLM/USD,0.11955,0.11955,0.11955,0.11955,19420.6359271,2321.7370250848053
1700524800,2023-11-21,XLM/USD,0.1146,0.1146,0.114,0.114,1273.4,145.16760000000002
1700438400,2023-11-20,XLM/USD,0.121,0.121,0.121,0.121,3868.7967674,468.1244088554
1700352000,2023-11-19,XLM/USD,0.119,0.12,0.119,0.12,5685.0950389,682.211404668
1700265600,2023-11-18,XLM/USD,0.117,0.117,0.117,0.117,5000.0,585.0
1700092800,2023-11-16,XLM/USD,0.117,0.117,0.117,0.117,6852.4880917,801.7411067289
1699920000,2023-11-14,XLM/USD,0.12243,0.12243,0.1158,0.1158,5977.3922203,692.18201911074
1699833600,2023-11-13,XLM/USD,0.124,0.1365,0.124,0.1365,13729.3018451,1874.0497018561503
1699747200,2023-11-12,XLM/USD,0.12506,0.12506,0.12506,0.12506,781.7035012,97.759839860072
1699660800,2023-11-11,XLM/USD,0.1258,0.1258,0.1258,0.1258,889.0,111.83619999999999
1699574400,2023-11-10,XLM/USD,0.12154,0.12154,0.12154,0.12154,3692.0211751,448.728253621654
1699488000,2023-11-09,XLM/USD,0.12542,0.12542,0.11101,0.1202,12165.4118095,1462.2824995019
1699315200,2023-11-07,XLM/USD,0.1284,0.1284,0.1245,0.1245,6798.0,846.351
1699228800,2023-11-06,XLM/USD,0.12998,0.13321,0.12925,0.12935,166338.2794772,21515.85645037582
1699142400,2023-11-05,XLM/USD,0.12499,0.12601,0.12468,0.126,31639.9595599,3986.6349045474
1698969600,2023-11-03,XLM/USD,0.11921,0.11921,0.1192,0.1192,12719.3663954,1516.14847433168
1698796800,2023-11-01,XLM/USD,0.12098,0.1228,0.12098,0.1228,22129.7281549,2717.5306174217203
