https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1702944000000,2023-12-19 00:00:00,MATIC/USD,0.79976,0.82152,0.752,0.76466,342069.080953,261566.54344152097
1702857600000,2023-12-18 00:00:00,MATIC/USD,0.8175,0.82463,0.75664,0.79976,247200.279307,197700.89537856632
1702771200000,2023-12-17 00:00:00,MATIC/USD,0.84894,0.85096,0.81383,0.8175,102711.392146,83966.563079355
1702684800000,2023-12-16 00:00:00,MATIC/USD,0.83517,0.865,0.83073,0.84894,95318.606125,80919.77748375751
1702598400000,2023-12-15 00:00:00,MATIC/USD,0.88399,0.88468,0.83514,0.83517,159628.868799,133317.24235486082
1702512000000,2023-12-14 00:00:00,MATIC/USD,0.89033,0.90228,0.85694,0.88399,260680.556789,230439.0053959081
1702425600000,2023-12-13 00:00:00,MATIC/USD,0.88568,0.89747,0.82724,0.89033,413189.675883,367875.1641289114
1702339200000,2023-12-12 00:00:00,MATIC/USD,0.84186,0.9,0.83883,0.88568,239721.855066,212316.85259485486
1702252800000,2023-12-11 00:00:00,MATIC/USD,0.92261,0.93824,0.81187,0.84186,368765.323332,310448.77510027756
1702166400000,2023-12-10 00:00:00,MATIC/USD,0.88125,0.9319,0.88,0.92261,155450.223347,143419.93056217566
1702080000000,2023-12-09 00:00:00,MATIC/USD,0.90547,0.9449,0.87825,0.88125,323803.432846,285351.7751955375
1701993600000,2023-12-08 00:00:00,MATIC/USD,0.84268,0.91117,0.84268,0.90547,430967.107168,390227.786527409
1701907200000,2023-12-07 00:00:00,MATIC/USD,0.8195,0.85745,0.81187,0.84268,266846.340758,224866.0744299514
1701820800000,2023-12-06 00:00:00,MATIC/USD,0.81417,0.8472,0.80257,0.8195,488465.521642,400297.49498561904
1701734400000,2023-12-05 00:00:00,MATIC/USD,0.80987,0.85,0.78434,0.81417,452743.072069,368609.8269864177
1701648000000,2023-12-04 00:00:00,MATIC/USD,0.81411,0.83679,0.78578,0.80987,395368.927537,320197.4333443902
1701561600000,2023-12-03 00:00:00,MATIC/USD,0.81694,0.82354,0.79803,0.81411,153231.186029,124747.04085806919
1701475200000,2023-12-02 00:00:00,MATIC/USD,0.79862,0.82646,0.79703,0.81694,137988.740237,112728.52144921478
1701388800000,2023-12-01 00:00:00,MATIC/USD,0.76071,0.79942,0.7553,0.79862,322741.597326,257747.89445649012
1701302400000,2023-11-30 00:00:00,MATIC/USD,0.75798,0.78086,0.75244,0.76071,152066.590321,115678.5759230879
1701216000000,2023-11-29 00:00:00,MATIC/USD,0.74748,0.77191,0.74224,0.75798,148494.922167,112556.18110414267
1701129600000,2023-11-28 00:00:00,MATIC/USD,0.74306,0.75911,0.72784,0.74748,193313.910987,144498.28218456276
1701043200000,2023-11-27 00:00:00,MATIC/USD,0.76323,0.76669,0.72631,0.74306,115946.340464,86155.08774517984
1700956800000,2023-11-26 00:00:00,MATIC/USD,0.7774,0.78667,0.74339,0.76323,161968.306762,123619.07076996125
1700870400000,2023-11-25 00:00:00,MATIC/USD,0.75682,0.7787,0.75682,0.7774,73476.274925,57120.456126695004
1700784000000,2023-11-24 00:00:00,MATIC/USD,0.77217,0.79518,0.75469,0.75682,193859.630282,146716.84539002326
1700697600000,2023-11-23 00:00:00,MATIC/USD,0.7746,0.78512,0.76555,0.77217,157919.594052,121940.77293913285
1700611200000,2023-11-22 00:00:00,MATIC/USD,0.72895,0.78726,0.72784,0.7746,375415.376952,290796.7509870192
1700524800000,2023-11-21 00:00:00,MATIC/USD,0.81081,0.82255,0.72895,0.72895,401728.427257,292839.93704899016
1700438400000,2023-11-20 00:00:00,MATIC/USD,0.85491,0.86723,0.80988,0.81081,235787.99513,191179.2643313553
1700352000000,2023-11-19 00:00:00,MATIC/USD,0.83209,0.85654,0.81299,0.85491,98673.183548,84356.69134702068
1700265600000,2023-11-18 00:00:00,MATIC/USD,0.83411,0.83524,0.78,0.83209,153615.733956,127822.11606744805
1700179200000,2023-11-17 00:00:00,MATIC/USD,0.846,0.88013,0.79,0.83411,488493.07837,407456.96159920073
1700092800000,2023-11-16 00:00:00,MATIC/USD,0.92301,0.94403,0.83577,0.846,525232.567659,444346.752239514
1700006400000,2023-11-15 00:00:00,MATIC/USD,0.91474,0.96169,0.887,0.92301,623408.755025,575412.5149756252
