https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRP
1700697600000,2023-11-23 00:00:00,XRP/USD,0.61138,0.62363,0.60623,0.6207,1447338.7635669252,2331784.70044615
1700611200000,2023-11-22 00:00:00,XRP/USD,0.57842,0.61622,0.57813,0.61132,1646289.9594142325,2693008.50522514
1700524800000,2023-11-21 00:00:00,XRP/USD,0.61257,0.61772,0.57346,0.57871,2482717.1434061504,4290088.54764243
1700438400000,2023-11-20 00:00:00,XRP/USD,0.62615,0.6288,0.6067,0.61247,1194864.9445248228,1950895.4634918
1700352000000,2023-11-19 00:00:00,XRP/USD,0.61041,0.62886,0.60196,0.62591,986869.7989184812,1576696.00888064
1700265600000,2023-11-18 00:00:00,XRP/USD,0.61315,0.61467,0.58955,0.61122,777489.398940375,1272028.72769277
1700179200000,2023-11-17 00:00:00,XRP/USD,0.61219,0.62459,0.5861,0.61362,1326022.578427051,2160983.30958419
1700092800000,2023-11-16 00:00:00,XRP/USD,0.64834,0.65363,0.60316,0.61179,1960344.1451394756,3204276.21428836
1700006400000,2023-11-15 00:00:00,XRP/USD,0.62981,0.65059,0.62545,0.64793,1473553.878689557,2274248.57421258
1699920000000,2023-11-14 00:00:00,XRP/USD,0.67062,0.67257,0.58977,0.6297,4021479.839175335,6386342.44747552
1699833600000,2023-11-13 00:00:00,XRP/USD,0.66092,0.75,0.6403,0.67133,6822642.482392879,10162874.41704211
1699747200000,2023-11-12 00:00:00,XRP/USD,0.66249,0.6705,0.64579,0.66137,1365204.7813559526,2064207.29902468
1699660800000,2023-11-11 00:00:00,XRP/USD,0.65966,0.68757,0.64045,0.66273,2354341.3795804344,3552489.51998617
1699574400000,2023-11-10 00:00:00,XRP/USD,0.66681,0.67097,0.63677,0.65958,2888665.9303579032,4379553.54977092
1699488000000,2023-11-09 00:00:00,XRP/USD,0.6871,0.70797,0.61897,0.66687,5978692.0191297345,8965303.61109322
1699401600000,2023-11-08 00:00:00,XRP/USD,0.68593,0.69888,0.67303,0.68729,2691509.975793934,3916119.79774758
1699315200000,2023-11-07 00:00:00,XRP/USD,0.71496,0.71496,0.65032,0.68605,6037336.29945272,8800140.36798006
1699228800000,2023-11-06 00:00:00,XRP/USD,0.6619,0.733,0.6595,0.71519,5903985.223888287,8255128.32098923
