https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume SHIB
1665964800000,2022-10-17 00:00:00,SHIB/USDT,1.021e-05,1.041e-05,1.017e-05,1.033e-05,877.5739443121902,84953915.22867282
1665878400000,2022-10-16 00:00:00,SHIB/USDT,1.031e-05,1.049e-05,1.015e-05,1.027e-05,916.5598152971993,89246330.6034274
1665792000000,2022-10-15 00:00:00,SHIB/USDT,1.012e-05,1.399e-05,1.002e-05,1.014e-05,1552.8787707114163,153143862.98929155
1665705600000,2022-10-14 00:00:00,SHIB/USDT,1.043e-05,1.07e-05,1.007e-05,1.023e-05,1341.5384191724065,131137675.38342194
1665619200000,2022-10-13 00:00:00,SHIB/USDT,1.008e-05,1.073e-05,9.1e-06,1.045e-05,4483.659018467609,429058279.27919704
1665532800000,2022-10-12 00:00:00,SHIB/USDT,1.027e-05,1.038e-05,9.78e-06,1.013e-05,598.673839149824,59099095.67125607
1665446400000,2022-10-11 00:00:00,SHIB/USDT,1.02e-05,1.044e-05,9.78e-06,1.029e-05,1037.2667446959767,100803376.54965761
1665360000000,2022-10-10 00:00:00,SHIB/USDT,1.105e-05,1.105e-05,1.001e-05,1.034e-05,3138.1537950467273,303496498.5538421
1665273600000,2022-10-09 00:00:00,SHIB/USDT,1.106e-05,1.108e-05,1.094e-05,1.106e-05,791.4461296919168,71559324.56527276
1665187200000,2022-10-08 00:00:00,SHIB/USDT,1.117e-05,1.118e-05,1.09e-05,1.093e-05,923.326065643216,84476309.75692736
1665100800000,2022-10-07 00:00:00,SHIB/USDT,1.129e-05,1.148e-05,1.094e-05,1.103e-05,1173.8591753687754,106424222.60822988
1665014400000,2022-10-06 00:00:00,SHIB/USDT,1.146e-05,1.175e-05,1.11e-05,1.121e-05,1106.6076130854094,98716111.78281976
1664928000000,2022-10-05 00:00:00,SHIB/USDT,1.155e-05,1.177e-05,1.102e-05,1.149e-05,1752.1853603640434,152496550.0751996
1664841600000,2022-10-04 00:00:00,SHIB/USDT,1.088e-05,1.177e-05,1.088e-05,1.155e-05,2558.1336484443714,221483432.76574644
1664755200000,2022-10-03 00:00:00,SHIB/USDT,1.092e-05,1.119e-05,1.089e-05,1.113e-05,771.9063553557068,69353670.74175262
1664668800000,2022-10-02 00:00:00,SHIB/USDT,1.121e-05,1.147e-05,1.043e-05,1.093e-05,1223.8194836399443,111968845.7127122
1664582400000,2022-10-01 00:00:00,SHIB/USDT,1.123e-05,1.145e-05,1.108e-05,1.121e-05,983.2962505527728,87715990.23664343
1664496000000,2022-09-30 00:00:00,SHIB/USDT,1.119e-05,1.129e-05,1.086e-05,1.1e-05,3011.571490727068,273779226.42973346
1664409600000,2022-09-29 00:00:00,SHIB/USDT,1.118e-05,1.123e-05,1.075e-05,1.114e-05,937.1352480875272,84123451.35435612
1664323200000,2022-09-28 00:00:00,SHIB/USDT,1.119e-05,1.15e-05,1.074e-05,1.116e-05,1646.1574112972266,147505144.38147193
1664236800000,2022-09-27 00:00:00,SHIB/USDT,1.125e-05,1.151e-05,1.07e-05,1.118e-05,1344.5925312217482,120267668.26670378
1664150400000,2022-09-26 00:00:00,SHIB/USDT,1.106e-05,1.12e-05,1.078e-05,1.116e-05,735.9031747531685,65941144.69114413
