https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
1702166400000,2023-12-10,UNIUSDT,6.843,6.884,6.4,6.605,3319257.05,22048562.63436,80614
1702080000000,2023-12-09,UNIUSDT,6.513,7.13,6.51,6.842,6533876.43,43999476.80479,165995
1701993600000,2023-12-08,UNIUSDT,6.294,6.55,6.258,6.512,3957069.47,25291547.60855,84613
1701907200000,2023-12-07,UNIUSDT,6.0,6.361,5.984,6.293,3148267.98,19432698.28001,74033
1701820800000,2023-12-06,UNIUSDT,6.258,6.291,5.94,6.0,4718671.72,28817614.08496,103084
1701734400000,2023-12-05,UNIUSDT,6.108,6.348,5.975,6.256,3576667.35,22041247.58288,80165
1701648000000,2023-12-04,UNIUSDT,6.056,6.326,5.88,6.111,5265170.08,32172898.47627,113444
1701561600000,2023-12-03,UNIUSDT,6.172,6.25,5.933,6.057,2571740.75,15711087.14733,55872
1701475200000,2023-12-02,UNIUSDT,6.016,6.2,6.003,6.172,1781371.09,10872055.48309,46408
1701388800000,2023-12-01,UNIUSDT,5.96,6.1,5.89,6.016,1993746.49,12020034.36978,47750
1701302400000,2023-11-30,UNIUSDT,6.008,6.033,5.85,5.959,2825999.62,16756589.68106,64205
1701216000000,2023-11-29,UNIUSDT,6.168,6.387,5.982,6.008,2884857.08,17868085.20738,68560
1701129600000,2023-11-28,UNIUSDT,6.293,6.572,6.064,6.167,6398678.58,40146214.96385,132805
1701043200000,2023-11-27,UNIUSDT,6.182,6.367,5.915,6.294,5518941.96,33833294.46018,127063
1700956800000,2023-11-26,UNIUSDT,6.167,6.216,5.812,6.18,3026679.09,18337445.04441,67876
1700870400000,2023-11-25,UNIUSDT,6.165,6.318,6.067,6.167,2493801.36,15431469.99573,56963
1700784000000,2023-11-24,UNIUSDT,6.33,6.605,6.075,6.167,7163308.55,44842368.68386,135923
1700697600000,2023-11-23,UNIUSDT,6.109,6.443,6.052,6.331,7992474.48,49941349.25833,173614
1700611200000,2023-11-22,UNIUSDT,4.85,6.294,4.834,6.109,12928534.78,73080746.18792,255318
1700524800000,2023-11-21,UNIUSDT,5.186,5.269,4.824,4.85,4294268.54,21610631.21777,99649
1700438400000,2023-11-20,UNIUSDT,5.235,5.359,5.1,5.187,2294451.13,11995514.72503,57849
1700352000000,2023-11-19,UNIUSDT,5.063,5.248,4.944,5.234,1909325.3,9709731.64697,39936
1700265600000,2023-11-18,UNIUSDT,5.107,5.2,4.81,5.064,2423826.88,12127495.6258,56689
1700179200000,2023-11-17,UNIUSDT,5.196,5.4,4.849,5.108,4238834.56,21711063.79448,96817
1700092800000,2023-11-16,UNIUSDT,5.388,5.587,5.105,5.196,4575351.84,24704548.21908,113553
1700006400000,2023-11-15,UNIUSDT,5.061,5.388,5.054,5.382,3571039.3,18716128.62618,71240
1699920000000,2023-11-14,UNIUSDT,5.223,5.309,4.82,5.061,4331371.41,22201700.45122,97609
1699833600000,2023-11-13,UNIUSDT,5.418,5.628,5.17,5.222,5831907.75,31568378.33853,149623
1699747200000,2023-11-12,UNIUSDT,5.393,5.523,5.201,5.417,3192385.45,17160524.66145,81940
1699660800000,2023-11-11,UNIUSDT,5.284,5.534,5.156,5.393,4771396.65,25641124.57786,124375
1699574400000,2023-11-10,UNIUSDT,5.121,5.376,5.053,5.28,4731239.07,24702351.78035,109130
1699488000000,2023-11-09,UNIUSDT,5.179,5.388,4.697,5.123,7523756.22,38444835.72132,184681
1699401600000,2023-11-08,UNIUSDT,4.931,5.273,4.89,5.179,3751132.16,19237584.79463,83595
1699315200000,2023-11-07,UNIUSDT,5.111,5.113,4.768,4.928,3502387.66,17319997.81597,86804
1699228800000,2023-11-06,UNIUSDT,4.776,5.158,4.661,5.109,5265692.54,26199131.45282,121258
1699142400000,2023-11-05,UNIUSDT,4.71,4.91,4.615,4.772,5112903.54,24387131.50303,99490
1699056000000,2023-11-04,UNIUSDT,4.653,4.787,4.606,4.711,2756485.68,12971967.94952,53986
1698969600000,2023-11-03,UNIUSDT,4.693,4.781,4.466,4.653,5197366.53,24057191.84533,115581
1698883200000,2023-11-02,UNIUSDT,4.796,4.922,4.472,4.693,10652663.84,49823226.81884,206257
1698796800000,2023-11-01,UNIUSDT,4.147,4.863,4.01,4.795,11823889.41,53153188.38552,196743
1698710400000,2023-10-31,UNIUSDT,4.179,4.249,3.993,4.148,4638843.55,19193642.14407,79150
1698624000000,2023-10-30,UNIUSDT,4.155,4.235,4.076,4.179,2961053.77,12337406.57336,47330
1698537600000,2023-10-29,UNIUSDT,4.083,4.214,4.025,4.153,2560865.22,10632554.4176,45394
1698451200000,2023-10-28,UNIUSDT,4.023,4.138,4.019,4.084,1471834.65,6023790.86897,24613
1698364800000,2023-10-27,UNIUSDT,4.11,4.146,3.956,4.024,2584228.66,10497945.03106,45699
1698278400000,2023-10-26,UNIUSDT,4.167,4.378,4.002,4.111,4090855.9,17111114.24283,73343
1698192000000,2023-10-25,UNIUSDT,4.221,4.341,4.126,4.167,3532357.88,14922655.2947,60157
1698105600000,2023-10-24,UNIUSDT,4.378,4.5,4.116,4.22,5390801.72,23321375.58036,89060
1698019200000,2023-10-23,UNIUSDT,4.214,4.428,4.19,4.378,3799710.0,16354684.58347,87267
1697932800000,2023-10-22,UNIUSDT,4.143,4.252,4.068,4.213,1714216.01,7127136.32414,38361
1697846400000,2023-10-21,UNIUSDT,3.998,4.16,3.959,4.141,1317695.99,5376205.44432,25885
1697760000000,2023-10-20,UNIUSDT,3.93,4.114,3.917,3.998,1825940.08,7332451.90476,35324
1697673600000,2023-10-19,UNIUSDT,3.932,3.958,3.86,3.929,1025501.84,4003956.52516,18108
1697587200000,2023-10-18,UNIUSDT,3.888,3.972,3.845,3.931,1563112.25,6107123.83898,30449
1697500800000,2023-10-17,UNIUSDT,4.12,4.127,3.832,3.888,1896656.93,7533055.65817,37869
1697414400000,2023-10-16,UNIUSDT,4.103,4.279,4.1,4.119,1343113.78,5592170.5036,28948
1697328000000,2023-10-15,UNIUSDT,4.085,4.148,4.064,4.102,587981.15,2420383.34575,11198
1697241600000,2023-10-14,UNIUSDT,4.029,4.1,4.022,4.084,470639.95,1914794.26009,8905
1697155200000,2023-10-13,UNIUSDT,4.0,4.096,3.978,4.031,656753.37,2639249.84282,15916
1697068800000,2023-10-12,UNIUSDT,4.129,4.149,3.97,4.002,1025801.34,4157506.99085,21037
1696982400000,2023-10-11,UNIUSDT,4.121,4.152,4.046,4.129,625801.96,2566111.35209,16973
1696896000000,2023-10-10,UNIUSDT,4.141,4.172,4.056,4.12,812922.68,3349229.68841,19813
1696809600000,2023-10-09,UNIUSDT,4.337,4.368,4.05,4.144,1397384.77,5839264.74324,27499
1696723200000,2023-10-08,UNIUSDT,4.376,4.384,4.279,4.337,335210.54,1451987.84529,9951
1696636800000,2023-10-07,UNIUSDT,4.396,4.422,4.341,4.374,295192.93,1292776.06931,7804
1696550400000,2023-10-06,UNIUSDT,4.307,4.426,4.289,4.395,507588.8,2214072.29638,13966
1696464000000,2023-10-05,UNIUSDT,4.308,4.344,4.253,4.306,699964.78,3005330.72781,14405
1696377600000,2023-10-04,UNIUSDT,4.363,4.363,4.23,4.307,776739.4,3346549.46889,20950
1696291200000,2023-10-03,UNIUSDT,4.456,4.521,4.335,4.362,629249.75,2781682.54786,17221
1696204800000,2023-10-02,UNIUSDT,4.656,4.688,4.42,4.457,1391768.39,6373475.03043,29299
1696118400000,2023-10-01,UNIUSDT,4.456,4.676,4.444,4.653,1486824.57,6777579.56718,31884
1696032000000,2023-09-30,UNIUSDT,4.402,4.479,4.389,4.456,616058.11,2736605.21438,14999
1695945600000,2023-09-29,UNIUSDT,4.42,4.502,4.323,4.402,1367262.29,6027485.71255,27858
1695859200000,2023-09-28,UNIUSDT,4.25,4.5,4.241,4.419,1042786.16,4559600.56438,22879
1695772800000,2023-09-27,UNIUSDT,4.259,4.425,4.202,4.25,1328987.15,5727053.26448,27855
1695686400000,2023-09-26,UNIUSDT,4.271,4.317,4.2,4.26,502808.08,2146667.42669,12030
1695600000000,2023-09-25,UNIUSDT,4.236,4.304,4.2,4.271,474845.42,2018687.15233,10411
1695513600000,2023-09-24,UNIUSDT,4.28,4.309,4.21,4.235,467255.34,1993526.75583,9679
1695427200000,2023-09-23,UNIUSDT,4.261,4.315,4.236,4.28,476222.09,2030809.94697,8963
1695340800000,2023-09-22,UNIUSDT,4.241,4.275,4.198,4.261,599992.82,2545677.13004,14401
1695254400000,2023-09-21,UNIUSDT,4.363,4.395,4.211,4.243,877544.1,3759525.33216,20985
1695168000000,2023-09-20,UNIUSDT,4.41,4.43,4.314,4.363,1077780.93,4716208.15439,19473
1695081600000,2023-09-19,UNIUSDT,4.363,4.482,4.337,4.407,995121.07,4397922.19686,20904
1694995200000,2023-09-18,UNIUSDT,4.281,4.461,4.239,4.363,1447375.01,6335140.71878,26575
