https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1692921600,2023-08-25 00:00:00,LINK/USD,6.07,6.07,5.91,6.01,26810.63752249,161131.9315101649
1692835200,2023-08-24 00:00:00,LINK/USD,6.34,6.36,5.99,6.08,13807.17029060,83947.59536684799
1692748800,2023-08-23 00:00:00,LINK/USD,6.12,6.42,6.11,6.35,16909.11757084,107372.896574834
1692662400,2023-08-22 00:00:00,LINK/USD,6.18,6.24,5.87,6.11,33897.78908053,207115.4912820383
1692576000,2023-08-21 00:00:00,LINK/USD,6.22,6.25,6.02,6.17,20326.41183770,125413.961038609
1692489600,2023-08-20 00:00:00,LINK/USD,6.18,6.23,6.12,6.21,7940.38309993,49309.779050565296
1692403200,2023-08-19 00:00:00,LINK/USD,6.16,6.26,6.12,6.18,22424.09145647,138580.8852009846
1692316800,2023-08-18 00:00:00,LINK/USD,6.19,6.26,6.08,6.18,15554.99839805,96129.890099949
1692230400,2023-08-17 00:00:00,LINK/USD,6.74,6.85,5.68,6.20,67195.48377156,416611.999383672
1692144000,2023-08-16 00:00:00,LINK/USD,7.03,7.03,6.60,6.75,25068.57470186,169212.879237555
1692057600,2023-08-15 00:00:00,LINK/USD,7.40,7.42,6.78,7.05,31853.32334086,224565.92955306298
1691971200,2023-08-14 00:00:00,LINK/USD,7.36,7.61,7.31,7.41,24390.50436817,180733.63736813972
1691884800,2023-08-13 00:00:00,LINK/USD,7.44,7.54,7.31,7.35,11918.35794594,87599.930902659
1691798400,2023-08-12 00:00:00,LINK/USD,7.47,7.53,7.39,7.43,18083.68446534,134361.7755774762
1691712000,2023-08-11 00:00:00,LINK/USD,7.61,7.63,7.40,7.49,10490.91891723,78576.9826900527
1691625600,2023-08-10 00:00:00,LINK/USD,7.68,7.73,7.56,7.61,24869.07603006,189253.6685887566
1691539200,2023-08-09 00:00:00,LINK/USD,7.45,7.89,7.38,7.72,25375.21042016,195896.6244436352
1691452800,2023-08-08 00:00:00,LINK/USD,7.31,7.55,7.28,7.46,49256.86060397,367456.1801056162
1691366400,2023-08-07 00:00:00,LINK/USD,7.09,7.38,6.94,7.32,34549.82695675,252904.73332341004
1691280000,2023-08-06 00:00:00,LINK/USD,7.22,7.26,7.08,7.10,14410.21607927,102312.534162817
1691193600,2023-08-05 00:00:00,LINK/USD,7.13,7.23,7.10,7.22,10538.58911679,76088.6134232238
1691107200,2023-08-04 00:00:00,LINK/USD,7.11,7.25,7.01,7.14,17706.32655946,126423.1716345444
1691020800,2023-08-03 00:00:00,LINK/USD,7.34,7.40,7.08,7.12,15364.19744967,109393.0858416504
1690934400,2023-08-02 00:00:00,LINK/USD,7.64,7.71,7.33,7.33,15655.50041842,114754.81806701861
1690848000,2023-08-01 00:00:00,LINK/USD,7.58,7.64,7.27,7.64,22514.25247094,172008.88887798158
1690761600,2023-07-31 00:00:00,LINK/USD,7.56,7.71,7.45,7.54,36466.64501245,274958.503393873
1690675200,2023-07-30 00:00:00,LINK/USD,7.83,7.85,7.37,7.56,33442.42435043,252824.7280892508
1690588800,2023-07-29 00:00:00,LINK/USD,7.75,7.88,7.73,7.86,28671.32752559,225356.6343511374
1690502400,2023-07-28 00:00:00,LINK/USD,7.98,8.06,7.78,7.78,11361.09780046,88389.3408875788
1690416000,2023-07-27 00:00:00,LINK/USD,7.76,8.12,7.72,7.99,39626.22287010,316613.520732099
1690329600,2023-07-26 00:00:00,LINK/USD,7.38,7.83,7.28,7.75,46698.84040326,361916.013125265
1690243200,2023-07-25 00:00:00,LINK/USD,7.57,7.64,7.35,7.40,17244.23942797,127607.37176697799
1690156800,2023-07-24 00:00:00,LINK/USD,7.88,7.88,7.47,7.61,18889.25381640,143747.221542804
1690070400,2023-07-23 00:00:00,LINK/USD,7.87,8.09,7.82,7.89,9508.80009945,75024.4327846605
1689984000,2023-07-22 00:00:00,LINK/USD,8.13,8.36,7.77,7.87,38280.75446809,301269.53766386834
1689897600,2023-07-21 00:00:00,LINK/USD,8.36,8.42,8.06,8.13,25469.81549281,207069.59995654534
1689811200,2023-07-20 00:00:00,LINK/USD,6.91,8.45,6.91,8.35,110100.76544537,919341.3914688394
1689724800,2023-07-19 00:00:00,LINK/USD,6.91,7.04,6.78,6.91,33866.84468126,234019.8967475066
1689638400,2023-07-18 00:00:00,LINK/USD,7.20,7.30,6.81,6.93,51503.73161698,356920.8601056714
1689552000,2023-07-17 00:00:00,LINK/USD,6.59,7.26,6.46,7.19,42162.43862157,303147.9336890883
1689465600,2023-07-16 00:00:00,LINK/USD,6.89,6.90,6.59,6.61,26193.53343320,173139.255993452
1689379200,2023-07-15 00:00:00,LINK/USD,6.91,7.02,6.84,6.92,21498.34541969,148768.55030425478
1689292800,2023-07-14 00:00:00,LINK/USD,7.14,7.33,6.71,6.96,48089.14927545,334700.47895713197
1689206400,2023-07-13 00:00:00,LINK/USD,6.27,7.17,6.22,7.17,122077.18137302,875293.3904445533
1689120000,2023-07-12 00:00:00,LINK/USD,6.21,6.33,6.20,6.25,25906.77037624,161917.3148515
1689033600,2023-07-11 00:00:00,LINK/USD,6.16,6.23,6.13,6.21,13542.82142436,84100.9210452756
1688947200,2023-07-10 00:00:00,LINK/USD,6.14,6.30,6.02,6.16,27751.64666770,170950.143473032
1688860800,2023-07-09 00:00:00,LINK/USD,6.20,6.24,6.13,6.15,5763.76929799,35447.1811826385
1688774400,2023-07-08 00:00:00,LINK/USD,6.14,6.21,6.10,6.19,5908.90512861,36576.122746095905
1688688000,2023-07-07 00:00:00,LINK/USD,6.09,6.22,6.03,6.15,9643.08996009,59305.0032545535
1688601600,2023-07-06 00:00:00,LINK/USD,6.29,6.51,6.08,6.09,34440.53099353,209742.83375059773
1688515200,2023-07-05 00:00:00,LINK/USD,6.53,6.56,6.22,6.31,25415.10592244,160369.3183705964
1688428800,2023-07-04 00:00:00,LINK/USD,6.61,6.61,6.40,6.52,37283.60358172,243089.0953528144
1688342400,2023-07-03 00:00:00,LINK/USD,6.54,6.69,6.48,6.63,26929.62149376,178543.39050362882
1688256000,2023-07-02 00:00:00,LINK/USD,6.48,6.56,6.34,6.53,35758.52246604,233503.1517032412
