https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT,tradecount
1698451200000,2023-10-28,LTCUSDT,66.99,68.44,66.93,67.73,393365.01,26715311.15139,67026
1698364800000,2023-10-27,LTCUSDT,68.75,68.81,65.58,66.99,430964.8,29057303.90903,93186
1698278400000,2023-10-26,LTCUSDT,68.7,70.63,66.13,68.76,594733.362,41004144.83722,119979
1698192000000,2023-10-25,LTCUSDT,69.14,70.42,67.69,68.71,555761.144,38380881.9194,106633
1698105600000,2023-10-24,LTCUSDT,69.02,72.89,67.07,69.15,927287.448,64631191.72936,178778
1698019200000,2023-10-23,LTCUSDT,65.26,69.9,64.86,69.02,788986.444,52919035.31362,136129
1697932800000,2023-10-22,LTCUSDT,64.75,66.32,63.12,65.26,569753.647,36853276.77414,98542
1697846400000,2023-10-21,LTCUSDT,63.37,65.39,63.35,64.75,336999.659,21734086.11024,58901
1697760000000,2023-10-20,LTCUSDT,61.77,64.27,61.57,63.38,437547.959,27666271.69709,71319
1697673600000,2023-10-19,LTCUSDT,60.23,61.92,59.7,61.78,277475.09,16911885.34498,53789
1697587200000,2023-10-18,LTCUSDT,62.06,62.85,60.04,60.23,320321.652,19738027.75008,55006
1697500800000,2023-10-17,LTCUSDT,63.2,63.33,61.37,62.07,285933.96,17877584.95326,53198
1697414400000,2023-10-16,LTCUSDT,61.63,66.33,61.57,63.19,679996.392,43319022.26987,97043
1697328000000,2023-10-15,LTCUSDT,61.62,62.18,61.38,61.63,140207.935,8646176.63411,33396
1697241600000,2023-10-14,LTCUSDT,61.58,61.97,61.39,61.62,121555.639,7495466.8411,29813
1697155200000,2023-10-13,LTCUSDT,61.12,62.15,61.06,61.58,358112.195,21993740.85628,52933
1697068800000,2023-10-12,LTCUSDT,61.55,61.55,60.33,61.12,285371.231,17412164.04642,56562
1696982400000,2023-10-11,LTCUSDT,63.6,63.75,61.08,61.55,287049.191,17832401.71148,63336
1696896000000,2023-10-10,LTCUSDT,63.07,63.82,62.57,63.61,234743.163,14839255.67518,51778
