https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SOL
1699401600000,2023-11-08 00:00:00,SOL/USD,42.966,43.901,42.279,43.128,2098707.6888608183,48662.3003353
1699315200000,2023-11-07 00:00:00,SOL/USD,42.153,44.82,40.172,42.976,3178105.275293705,73950.69981603
1699228800000,2023-11-06 00:00:00,SOL/USD,41.206,42.23,39.738,42.184,2069497.887522111,49058.83480756
1699142400000,2023-11-05 00:00:00,SOL/USD,42.476,42.89,40.162,41.208,1563024.2949893372,37930.11781667
1699056000000,2023-11-04 00:00:00,SOL/USD,39.487,42.734,39.05,42.476,2734167.3634670842,64369.69967669
1698969600000,2023-11-03 00:00:00,SOL/USD,40.158,40.227,38.033,39.529,3904839.4606102337,98784.1701184
1698883200000,2023-11-02 00:00:00,SOL/USD,41.173,44.569,38.708,40.237,4952928.801293345,123093.88874154
1698796800000,2023-11-01 00:00:00,SOL/USD,38.433,46.776,37.863,41.152,5331728.606376555,129561.83433069
1698710400000,2023-10-31 00:00:00,SOL/USD,34.978,38.65,34.854,38.435,2670208.4178073076,69473.35547827
1698624000000,2023-10-30 00:00:00,SOL/USD,32.915,35.352,32.36,34.954,2473189.1107505835,70755.53901558
1698537600000,2023-10-29 00:00:00,SOL/USD,31.652,33.208,31.314,32.834,1090918.6076356191,33225.27281585
1698451200000,2023-10-28 00:00:00,SOL/USD,31.733,32.561,31.388,31.647,455227.10444017884,14384.52631972
1698364800000,2023-10-27 00:00:00,SOL/USD,32.808,33.372,31.25,31.744,1214890.1367950542,38271.48868432
1698278400000,2023-10-26 00:00:00,SOL/USD,32.48,33.281,30.721,32.811,1362074.5105588378,41512.73995181
1698192000000,2023-10-25 00:00:00,SOL/USD,30.2,33.92,30.058,32.472,2601704.428450111,80121.47168176
1698105600000,2023-10-24 00:00:00,SOL/USD,31.938,32.608,29.553,30.2,1877734.875748772,62176.65151486
1698019200000,2023-10-23 00:00:00,SOL/USD,29.066,32.819,28.782,31.931,5038632.787382313,157797.5255201
1697932800000,2023-10-22 00:00:00,SOL/USD,29.293,30.021,28.099,29.069,1034827.4876252253,35599.00538805
1697846400000,2023-10-21 00:00:00,SOL/USD,27.088,30.35,26.668,29.379,2098895.2996894033,71442.02660708
1697760000000,2023-10-20 00:00:00,SOL/USD,25.023,27.553,24.77,27.052,1976985.2609835195,73080.92787903
1697673600000,2023-10-19 00:00:00,SOL/USD,23.399,25.785,23.145,24.969,1082645.677361567,43359.59298977
1697587200000,2023-10-18 00:00:00,SOL/USD,23.933,24.424,23.374,23.428,126148.51340732737,5384.51909712
1697500800000,2023-10-17 00:00:00,SOL/USD,24.001,24.563,23.467,23.945,640568.6831464194,26751.66770292
1697414400000,2023-10-16 00:00:00,SOL/USD,21.94,24.898,21.915,23.991,1198073.8050398177,49938.46880246
1697328000000,2023-10-15 00:00:00,SOL/USD,22.009,22.219,21.686,21.933,830054.0792184485,37844.98605838
1697241600000,2023-10-14 00:00:00,SOL/USD,21.864,22.328,21.811,22.025,485556.6473061827,22045.70475851
1697155200000,2023-10-13 00:00:00,SOL/USD,21.304,22.236,21.15,21.864,410631.7357736976,18781.1807434
1697068800000,2023-10-12 00:00:00,SOL/USD,22.02,22.03,20.965,21.33,358885.3818176316,16825.38123852
1696982400000,2023-10-11 00:00:00,SOL/USD,22.166,22.417,21.639,22.028,191849.12929674098,8709.33036575
1696896000000,2023-10-10 00:00:00,SOL/USD,22.092,22.492,21.711,22.127,358312.30362424895,16193.44256448
1696809600000,2023-10-09 00:00:00,SOL/USD,23.223,23.377,21.637,22.15,575038.991126011,25961.12826754
1696723200000,2023-10-08 00:00:00,SOL/USD,23.295,23.636,23.062,23.247,112808.70575297883,4852.61348789
1696636800000,2023-10-07 00:00:00,SOL/USD,23.443,24.226,23.1,23.31,251186.1436763091,10775.89633961
1696550400000,2023-10-06 00:00:00,SOL/USD,22.745,23.769,22.701,23.427,225098.25594952787,9608.49686044
1696464000000,2023-10-05 00:00:00,SOL/USD,23.132,23.76,22.524,22.697,223670.57096598003,9854.63149165
1696377600000,2023-10-04 00:00:00,SOL/USD,23.625,23.835,22.596,23.15,578508.3517967735,24989.56163269
1696291200000,2023-10-03 00:00:00,SOL/USD,23.46,24.808,23.19,23.616,590635.1576866579,25009.95755787
1696204800000,2023-10-02 00:00:00,SOL/USD,23.972,24.798,22.953,23.406,948292.4756163234,40514.93102693
1696118400000,2023-10-01 00:00:00,SOL/USD,21.339,24.506,21.177,23.901,1221993.5738772592,51127.29902001
1696032000000,2023-09-30 00:00:00,SOL/USD,20.304,21.827,20.09,21.38,861256.7667409182,40283.29124139
1695945600000,2023-09-29 00:00:00,SOL/USD,19.983,20.463,19.88,20.295,203815.2953323476,10042.63588728
1695859200000,2023-09-28 00:00:00,SOL/USD,19.141,20.005,19.121,19.974,190367.02727188967,9530.74132732
1695772800000,2023-09-27 00:00:00,SOL/USD,19.081,19.499,18.745,19.151,192863.08508944785,10070.65349535
1695686400000,2023-09-26 00:00:00,SOL/USD,19.404,19.544,18.852,19.046,204196.5172824905,10721.22846175
1695600000000,2023-09-25 00:00:00,SOL/USD,19.372,19.794,19.18,19.424,183642.50109890685,9454.41212412
1695513600000,2023-09-24 00:00:00,SOL/USD,19.516,19.701,19.215,19.376,150453.53409038624,7764.94292374
1695427200000,2023-09-23 00:00:00,SOL/USD,19.441,19.593,19.302,19.506,195282.2117837902,10011.39197087
1695340800000,2023-09-22 00:00:00,SOL/USD,19.469,19.785,19.197,19.45,116610.84535743749,5995.41621375
1695254400000,2023-09-21 00:00:00,SOL/USD,20.261,20.263,19.316,19.479,121078.48349425083,6215.84698877
1695168000000,2023-09-20 00:00:00,SOL/USD,20.123,20.534,19.819,20.311,174590.35651336066,8595.85232206
1695081600000,2023-09-19 00:00:00,SOL/USD,19.66,20.422,19.592,20.05,658509.8695597725,32843.38501545
1694995200000,2023-09-18 00:00:00,SOL/USD,18.81,20.15,18.617,19.684,295196.4515571098,14996.77156864
1694908800000,2023-09-17 00:00:00,SOL/USD,19.065,19.123,18.651,18.849,99158.25450591426,5260.66393474
1694822400000,2023-09-16 00:00:00,SOL/USD,19.18,19.473,18.896,19.135,92447.01323244421,4831.30458492
1694736000000,2023-09-15 00:00:00,SOL/USD,18.867,19.523,18.577,19.154,248784.31295542986,12988.63490422
1694649600000,2023-09-14 00:00:00,SOL/USD,18.435,19.348,18.435,18.862,322733.92477489903,17110.27063805
1694563200000,2023-09-13 00:00:00,SOL/USD,17.954,18.611,17.724,18.408,899115.6692196213,48843.74561167
1694476800000,2023-09-12 00:00:00,SOL/USD,17.741,18.806,17.577,17.922,680750.4867767049,37984.069120449996
1694390400000,2023-09-11 00:00:00,SOL/USD,18.29,18.474,17.366,17.75,548602.0230837425,30907.15623007
1694304000000,2023-09-10 00:00:00,SOL/USD,19.404,19.425,17.802,18.231,553891.4073863277,30381.84451683
1694217600000,2023-09-09 00:00:00,SOL/USD,19.596,19.617,19.391,19.44,62685.369058932,3224.55602155
1694131200000,2023-09-08 00:00:00,SOL/USD,19.893,20.288,19.396,19.607,215020.15785366215,10966.49961002
1694044800000,2023-09-07 00:00:00,SOL/USD,19.641,20.012,19.351,19.934,207052.35476166662,10386.8944899
1693958400000,2023-09-06 00:00:00,SOL/USD,20.27,20.38,19.168,19.644,876335.3379173408,44610.83984511
1693872000000,2023-09-05 00:00:00,SOL/USD,19.5,20.605,19.04,20.262,482782.432233816,23826.988068
1693785600000,2023-09-04 00:00:00,SOL/USD,19.599,20.02,19.18,19.519,146077.43680157722,7483.85864038
1693699200000,2023-09-03 00:00:00,SOL/USD,19.499,19.675,19.247,19.59,38564.0657093517,1968.55873963
1693612800000,2023-09-02 00:00:00,SOL/USD,19.336,19.717,19.131,19.461,146501.73378299628,7527.96535548
1693526400000,2023-09-01 00:00:00,SOL/USD,19.802,19.936,19.037,19.354,486866.65139161353,25155.86707614
1693440000000,2023-08-31 00:00:00,SOL/USD,20.835,21.07,19.448,19.744,278552.09157006786,14108.18940286
1693353600000,2023-08-30 00:00:00,SOL/USD,21.859,22.004,20.612,20.835,545814.4471359629,26196.99770271
1693267200000,2023-08-29 00:00:00,SOL/USD,20.6,22.059,20.138,21.814,841076.5923675051,38556.7338575
1693180800000,2023-08-28 00:00:00,SOL/USD,20.773,20.81,20.07,20.577,304256.5398319082,14786.24385634
1693094400000,2023-08-27 00:00:00,SOL/USD,20.283,20.934,20.264,20.815,65729.1808815645,3157.7795283
1693008000000,2023-08-26 00:00:00,SOL/USD,20.332,20.468,20.21,20.28,50376.3570503076,2484.04127467
1692921600000,2023-08-25 00:00:00,SOL/USD,21.047,21.062,20.105,20.4,486783.3432311039,23861.92858976
1692835200000,2023-08-24 00:00:00,SOL/USD,21.763,22.038,20.695,21.076,251403.01311603587,11928.40259613
1692748800000,2023-08-23 00:00:00,SOL/USD,20.56,21.844,20.399,21.763,470008.0771563748,21596.65841825
1692662400000,2023-08-22 00:00:00,SOL/USD,21.228,21.28,19.366,20.588,796540.2183827088,38689.5384876
