https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1701302400000,2023-11-30 00:00:00,XRP/USDT,0.6047,0.6047,0.588,0.59,11872991.3436,19837187.7683,6271596.0936,10481249.3112,295571,0.5985
1701216000000,2023-11-29 00:00:00,XRP/USDT,0.6077,0.6117,0.5971,0.6046,13974166.9947,23052690.5936,7315826.6805,12068652.1365,357946,0.6061
1701129600000,2023-11-28 00:00:00,XRP/USDT,0.6038,0.6115,0.5958,0.6078,12648100.8549,20911518.0633,6550845.3633,10831224.2171,314428,0.6048
1701043200000,2023-11-27 00:00:00,XRP/USDT,0.6121,0.613,0.5938,0.6039,13489367.2074,22325398.0313,7206654.1259,11927126.8108,349072,0.6042
1700956800000,2023-11-26 00:00:00,XRP/USDT,0.6173,0.63,0.6051,0.612,10916761.6506,17708830.2389,5798000.5753,9405288.6392,286026,0.6164
1700870400000,2023-11-25 00:00:00,XRP/USDT,0.6154,0.6174,0.6085,0.6171,14405478.6825,23506753.1042,7603034.2526,12406811.9703,376748,0.6128
1700784000000,2023-11-24 00:00:00,XRP/USDT,0.6185,0.6234,0.5825,0.6158,12958670.0671,21048252.9003,6714941.7436,10906966.049,330662,0.6156
1700697600000,2023-11-23 00:00:00,XRP/USDT,0.6085,0.6203,0.6047,0.6185,14729327.8802,24051105.7194,7699738.2792,12572409.0357,376321,0.6124
1700611200000,2023-11-22 00:00:00,XRP/USDT,0.579,0.6125,0.579,0.6085,14100502.5986,23618027.7151,7402853.5732,12398579.6495,362508,0.5971
1700524800000,2023-11-21 00:00:00,XRP/USDT,0.6121,0.6176,0.5746,0.5791,15521892.5577,25652506.0015,8144685.5688,13460531.9968,392886,0.6052
1700438400000,2023-11-20 00:00:00,XRP/USDT,0.6251,0.6277,0.6068,0.612,12781966.8675,20634971.7546,6710456.7114,10832960.736,333922,0.6194
1700352000000,2023-11-19 00:00:00,XRP/USDT,0.6102,0.6279,0.58,0.6251,11650841.8064,19009852.4113,6068947.7704,9902353.1884,303604,0.6129
1700265600000,2023-11-18 00:00:00,XRP/USDT,0.6131,0.6142,0.5887,0.6101,16262258.6374,26839213.7217,8628104.7245,14239594.3549,412873,0.6059
1700179200000,2023-11-17 00:00:00,XRP/USDT,0.6115,0.6236,0.585,0.6131,18421182.5482,30115683.2219,9710358.7095,15873389.8728,473196,0.6117
1700092800000,2023-11-16 00:00:00,XRP/USDT,0.6465,0.6508,0.6031,0.6117,16972139.2167,26837446.1061,8922620.7515,14108976.8874,437370,0.6326
1700006400000,2023-11-15 00:00:00,XRP/USDT,0.627,0.6494,0.6239,0.6466,15319415.6495,24191576.7002,8115039.6649,12814888.8628,378095,0.6333
1699920000000,2023-11-14 00:00:00,XRP/USDT,0.6696,0.6709,0.5959,0.6272,13869226.1431,21337245.6739,7252957.8341,11152918.8344,350705,0.6503
1699833600000,2023-11-13 00:00:00,XRP/USDT,0.661,0.735,0.6409,0.6702,10594689.8707,16124821.0129,5637972.9247,8566967.4158,277397,0.6572
1699747200000,2023-11-12 00:00:00,XRP/USDT,0.6612,0.6709,0.6481,0.6614,16993014.9316,25666600.1968,8847799.4883,13363552.7315,438276,0.662
1699660800000,2023-11-11 00:00:00,XRP/USDT,0.6596,0.6846,0.6442,0.6614,15809504.5219,23783288.4725,8255569.8969,12418375.4037,414226,0.6648
1699574400000,2023-11-10 00:00:00,XRP/USDT,0.6664,0.6709,0.63,0.6598,14900664.9495,22645740.5677,7651129.9148,11627599.3124,374399,0.658
1699488000000,2023-11-09 00:00:00,XRP/USDT,0.6869,0.7061,0.639,0.6665,12229997.0055,18004918.9002,6244885.0478,9192095.7965,311772,0.6797
1699401600000,2023-11-08 00:00:00,XRP/USDT,0.6851,0.6975,0.6731,0.6869,9496277.7981,13847875.1944,4990326.7582,7276842.2153,243568,0.6857
1699315200000,2023-11-07 00:00:00,XRP/USDT,0.7147,0.7148,0.6551,0.6851,8137712.5658,11910964.5827,4217674.4587,6174982.4425,201366,0.6833
1699228800000,2023-11-06 00:00:00,XRP/USDT,0.6604,0.731,0.659,0.7148,664392.1397,945759.9023,458249.9717,652312.9441,3267,0.7028
1699142400000,2023-11-05 00:00:00,XRP/USDT,0.6152,0.6618,0.6139,0.6605,412995.936,641460.7041,259484.182,401745.0834,2757,0.6439
1699056000000,2023-11-04 00:00:00,XRP/USDT,0.6119,0.618,0.6087,0.6152,4706614.3062,7682468.62,2482878.2361,4052577.5544,119242,0.6126
1698969600000,2023-11-03 00:00:00,XRP/USDT,0.6053,0.615,0.5911,0.612,10682331.2807,17707836.926,5673777.2368,9405346.0625,274030,0.6033
1698883200000,2023-11-02 00:00:00,XRP/USDT,0.6085,0.625,0.5873,0.6052,12234492.2516,20131557.2918,6498309.2982,10692826.945,344285,0.6077
1698796800000,2023-11-01 00:00:00,XRP/USDT,0.5993,0.616,0.5804,0.6086,10667301.0742,17830954.1326,5749217.6048,9609778.4681,276025,0.5983
