https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume NEAR
1666396800000,2022-10-22 00:00:00,NEAR/USDT,2.8664,2.9413,2.8248,2.9203,1376.892657740195,471.49014065
1666310400000,2022-10-21 00:00:00,NEAR/USDT,2.8652,2.9264,2.7334,2.8863,1301.5871320762799,450.9535156
1666224000000,2022-10-20 00:00:00,NEAR/USDT,2.8019,2.9435,2.8009,2.8711,1916.4292787880772,667.48956107
1666137600000,2022-10-19 00:00:00,NEAR/USDT,2.967,2.9836,2.8184,2.8272,1545.8784430827359,546.78779113
1666051200000,2022-10-18 00:00:00,NEAR/USDT,3.0621,3.0988,2.8982,2.9637,1513.1623008348538,510.56527342
1665964800000,2022-10-17 00:00:00,NEAR/USDT,3.0005,3.0689,2.969,3.0597,3468.631530100212,1133.65085796
1665878400000,2022-10-16 00:00:00,NEAR/USDT,2.9224,3.0376,2.9182,3.0045,1516.23889335216,504.65598048
1665792000000,2022-10-15 00:00:00,NEAR/USDT,3.0056,3.0156,2.901,2.9204,3010.2449556252354,1030.76460609
1665705600000,2022-10-14 00:00:00,NEAR/USDT,3.0569,3.1893,2.9566,3.0031,14835.90294454782,4940.1961122
1665619200000,2022-10-13 00:00:00,NEAR/USDT,3.1858,3.2341,2.7629,3.0395,18149.57763133556,5971.23791128
1665532800000,2022-10-12 00:00:00,NEAR/USDT,3.1797,3.238,3.1395,3.1556,1088.867055207708,345.05864343
1665446400000,2022-10-11 00:00:00,NEAR/USDT,3.22,3.3494,3.1235,3.1715,2593.20482749358,817.65878212
1665360000000,2022-10-10 00:00:00,NEAR/USDT,3.5419,3.5765,3.2214,3.2214,8264.748159424302,2565.57650693
1665273600000,2022-10-09 00:00:00,NEAR/USDT,3.493,3.5385,3.4749,3.5172,1262.035955101428,358.81836549
1665187200000,2022-10-08 00:00:00,NEAR/USDT,3.5529,3.577,3.4629,3.4903,1514.478339112178,433.91064926
1665100800000,2022-10-07 00:00:00,NEAR/USDT,3.6226,3.6387,3.5177,3.5514,1778.0504356339559,500.66183354
1665014400000,2022-10-06 00:00:00,NEAR/USDT,3.6778,3.7585,3.5807,3.6236,2906.939037830244,802.22404179
1664928000000,2022-10-05 00:00:00,NEAR/USDT,3.6187,3.7248,3.5507,3.694,2648.0531783306196,716.85251173
1664841600000,2022-10-04 00:00:00,NEAR/USDT,3.5568,3.648,3.5316,3.6204,1576.751239019208,435.51851702
1664755200000,2022-10-03 00:00:00,NEAR/USDT,3.5489,3.5918,3.4251,3.542,3612.67020434782,1019.95206221
