https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TRX
1669680000000,2022-11-29 00:00:00,TRX/USD,0.05839914,0.05875077,0.05826003,0.05870005,5084.598331,86620.0
1669593600000,2022-11-28 00:00:00,TRX/USD,0.05859588,0.05932445,0.05756071,0.05846306,75974.13738920969,1299523.79141991
1669507200000,2022-11-27 00:00:00,TRX/USD,0.05800066,0.05945669,0.0579825,0.05885448,103289.72632777978,1755001.93575374
1669420800000,2022-11-26 00:00:00,TRX/USD,0.05824788,0.05878689,0.05782978,0.05804506,113545.69526778723,1956164.663587
1669334400000,2022-11-25 00:00:00,TRX/USD,0.05802515,0.05865219,0.05729537,0.05828281,112509.17507173754,1930400.66310697
1669248000000,2022-11-24 00:00:00,TRX/USD,0.05672764,0.05906253,0.05652121,0.05803913,111346.70323922229,1918476.4354535
1669161600000,2022-11-23 00:00:00,TRX/USD,0.05591723,0.0570485,0.05557911,0.05673259,114940.08558666734,2025997.50137738
1669075200000,2022-11-22 00:00:00,TRX/USD,0.05645152,0.05741743,0.05393465,0.05586828,108324.10786113267,1938919.68503653
1668988800000,2022-11-21 00:00:00,TRX/USD,0.05461525,0.05648135,0.05386911,0.05647191,113678.3751811621,2013007.44354427
1668902400000,2022-11-20 00:00:00,TRX/USD,0.05689204,0.05713913,0.05451247,0.05462676,105771.06483425837,1936250.01435667
1668816000000,2022-11-19 00:00:00,TRX/USD,0.05524367,0.05740918,0.05506096,0.0569415,113786.06179565877,1998297.58253047
1668729600000,2022-11-18 00:00:00,TRX/USD,0.05457387,0.05547725,0.05450314,0.0552065,106032.40697972968,1920650.77445101
1668643200000,2022-11-17 00:00:00,TRX/USD,0.05481258,0.05494214,0.05356461,0.0545544,106384.77596031428,1950067.74816173
1668556800000,2022-11-16 00:00:00,TRX/USD,0.05517877,0.05591199,0.05410063,0.0548639,97162.16327579993,1770967.12548324
1668470400000,2022-11-15 00:00:00,TRX/USD,0.05439,0.05607768,0.05361037,0.05520334,107250.43433215944,1942825.09594817
1668384000000,2022-11-14 00:00:00,TRX/USD,0.05528923,0.05813878,0.04936555,0.05446553,109892.92285910458,2017660.02936361
1668297600000,2022-11-13 00:00:00,TRX/USD,0.05914969,0.06019043,0.0545464,0.05507417,113461.42902960855,2060156.85809897
1668211200000,2022-11-12 00:00:00,TRX/USD,0.05861919,0.05943997,0.05652043,0.05898588,116162.04981780045,1969319.60356954
