https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1699747200000,2023-11-12 00:00:00,GALA/USD,0.02563,0.0257,0.02336,0.02456,2100034.791486,51576.85447889616
1699660800000,2023-11-11 00:00:00,GALA/USD,0.02511,0.02705,0.02353,0.02563,3267782.598729,83753.26800542427
1699574400000,2023-11-10 00:00:00,GALA/USD,0.0245,0.02577,0.02321,0.02511,3968985.697237,99661.23085762106
1699488000000,2023-11-09 00:00:00,GALA/USD,0.02281,0.02681,0.02191,0.0245,11287229.82477,276537.130706865
1699401600000,2023-11-08 00:00:00,GALA/USD,0.0211,0.02318,0.02069,0.02281,3063577.47212,69880.2021390572
1699315200000,2023-11-07 00:00:00,GALA/USD,0.02198,0.022,0.01964,0.0211,1635277.637874,34504.358159141404
1699228800000,2023-11-06 00:00:00,GALA/USD,0.0208,0.023,0.01993,0.02198,4486625.183345,98616.0215299231
1699142400000,2023-11-05 00:00:00,GALA/USD,0.02001,0.02132,0.01935,0.0208,1940688.04734,40366.311384672
1699056000000,2023-11-04 00:00:00,GALA/USD,0.0188,0.021,0.01879,0.02001,1516189.855609,30338.95901073609
1698969600000,2023-11-03 00:00:00,GALA/USD,0.01835,0.01949,0.01795,0.0188,1242560.328658,23360.134178770404
1698883200000,2023-11-02 00:00:00,GALA/USD,0.01972,0.02101,0.0181,0.01835,2872657.652931,52713.26793128386
1698796800000,2023-11-01 00:00:00,GALA/USD,0.01968,0.02101,0.01816,0.01972,3177678.201267,62663.81412898524
1698710400000,2023-10-31 00:00:00,GALA/USD,0.02041,0.02178,0.01881,0.01968,2773110.154001,54574.80783073968
1698624000000,2023-10-30 00:00:00,GALA/USD,0.02066,0.02193,0.02001,0.02041,5009226.391861,102238.31065788302
1698537600000,2023-10-29 00:00:00,GALA/USD,0.0185,0.02225,0.01801,0.02066,3958421.00336,81780.97792941761
1698451200000,2023-10-28 00:00:00,GALA/USD,0.01779,0.01865,0.01757,0.0185,1493439.66694,27628.633838389997
1698364800000,2023-10-27 00:00:00,GALA/USD,0.01855,0.01855,0.01701,0.01779,2146096.605633,38179.05861421107
1698278400000,2023-10-26 00:00:00,GALA/USD,0.0164,0.02062,0.01638,0.01855,4533137.265796,84089.69628051581
1698192000000,2023-10-25 00:00:00,GALA/USD,0.01524,0.01701,0.0149,0.0164,1325258.527296,21734.2398476544
1698105600000,2023-10-24 00:00:00,GALA/USD,0.01481,0.01582,0.01458,0.01524,2802544.286448,42710.77492546752
1698019200000,2023-10-23 00:00:00,GALA/USD,0.01421,0.015,0.01401,0.01481,1590321.950282,23552.66808367642
1697932800000,2023-10-22 00:00:00,GALA/USD,0.01388,0.0145,0.01342,0.01421,738091.446822,10488.27945934062
1697846400000,2023-10-21 00:00:00,GALA/USD,0.01318,0.0141,0.01286,0.01388,320719.314603,4451.58408668964
1697760000000,2023-10-20 00:00:00,GALA/USD,0.01285,0.01395,0.01264,0.01318,1249356.705613,16466.521379979342
1697673600000,2023-10-19 00:00:00,GALA/USD,0.01292,0.01324,0.01255,0.01285,963482.176839,12380.74597238115
1697587200000,2023-10-18 00:00:00,GALA/USD,0.01369,0.01369,0.01286,0.01292,937469.099021,12112.100759351319
1697500800000,2023-10-17 00:00:00,GALA/USD,0.01389,0.01425,0.01319,0.01369,2442196.153111,33433.665336089594
1697414400000,2023-10-16 00:00:00,GALA/USD,0.0138,0.01475,0.01365,0.01389,704443.896577,9784.72572345453
1697328000000,2023-10-15 00:00:00,GALA/USD,0.01386,0.01388,0.01352,0.0138,257173.411513,3548.9930788794
1697241600000,2023-10-14 00:00:00,GALA/USD,0.01412,0.01432,0.01366,0.01386,262691.741536,3640.90753768896
1697155200000,2023-10-13 00:00:00,GALA/USD,0.01391,0.01482,0.0135,0.01412,575808.598882,8130.41741621384
1697068800000,2023-10-12 00:00:00,GALA/USD,0.01331,0.01482,0.01322,0.01391,1057457.338959,14709.231584919691
1696982400000,2023-10-11 00:00:00,GALA/USD,0.01345,0.01471,0.0126,0.01331,615983.797942,8198.74435060802
1696896000000,2023-10-10 00:00:00,GALA/USD,0.01356,0.01389,0.01312,0.01345,809844.242224,10892.405057912802
1696809600000,2023-10-09 00:00:00,GALA/USD,0.01469,0.015,0.01322,0.01356,696867.573563,9449.52429751428
1696723200000,2023-10-08 00:00:00,GALA/USD,0.015,0.015,0.01431,0.01469,581853.550119,8547.42865124811
1696636800000,2023-10-07 00:00:00,GALA/USD,0.015,0.015,0.0148,0.015,369542.970769,5543.144561535
1696550400000,2023-10-06 00:00:00,GALA/USD,0.01441,0.015,0.01439,0.015,589362.265988,8840.43398982
1696464000000,2023-10-05 00:00:00,GALA/USD,0.01572,0.01575,0.01425,0.01441,1570219.10801,22626.8573464241
1696377600000,2023-10-04 00:00:00,GALA/USD,0.01534,0.01631,0.01509,0.01572,1532419.386564,24089.632756786083
1696291200000,2023-10-03 00:00:00,GALA/USD,0.01501,0.01655,0.01488,0.01534,1798929.434575,27595.5775263805
1696204800000,2023-10-02 00:00:00,GALA/USD,0.01524,0.01562,0.0146,0.01501,655565.562649,9840.03909536149
1696118400000,2023-10-01 00:00:00,GALA/USD,0.01418,0.01537,0.01418,0.01524,860273.039768,13110.56112606432
1696032000000,2023-09-30 00:00:00,GALA/USD,0.01445,0.01503,0.014,0.01418,2764486.58464,39200.4197701952
1695945600000,2023-09-29 00:00:00,GALA/USD,0.01346,0.0155,0.01346,0.01445,1704918.210361,24636.068139716448
1695859200000,2023-09-28 00:00:00,GALA/USD,0.0135,0.01447,0.01326,0.01346,518838.933148,6983.57204017208
1695772800000,2023-09-27 00:00:00,GALA/USD,0.01346,0.01414,0.0133,0.0135,360829.675025,4871.2006128375
