https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1703376000000,2023-12-24 00:00:00,SOL/USDT,106.364,116.543,105.647,112.3,8193142.45,73278.396305,4395387.64,39316.490832,114532,111.851
1703289600000,2023-12-23 00:00:00,SOL/USDT,97.547,108.947,89.424,106.335,9145173.09,93615.266599,4670976.17,47844.559391,117297,97.836
1703203200000,2023-12-22 00:00:00,SOL/USDT,93.324,99.295,90.211,97.685,9006140.64,94632.86218,4841343.86,50847.460955,123247,95.216
1703116800000,2023-12-21 00:00:00,SOL/USDT,74.356,95,74.146,93.41,7679289.17,91540.439161,4230305.66,50445.769856,100418,84.547
1703030400000,2023-12-20 00:00:00,SOL/USDT,69.795,80,68.858,74.354,5029595.73,69050.164655,2638423.75,36247.683433,66767,72.946
1702944000000,2023-12-19 00:00:00,SOL/USDT,69.98,72.5,67.02,69.839,4146304.68,59371.982941,2218446.13,31770.22473,55986,69.847
1702857600000,2023-12-18 00:00:00,SOL/USDT,67.99,69.98,62.344,69.98,5190690.56,78311.915594,2794750.58,42148.105712,70971,66.308
1702771200000,2023-12-17 00:00:00,SOL/USDT,65.941,70.86,64.02,67.887,6721646.88,99966.90957,3642660.69,54196.015856,90077,67.296
1702684800000,2023-12-16 00:00:00,SOL/USDT,67.663,68.9,63,65.962,6781356.37,100878.803069,3636693.11,54102.3454,93159,67.236
1702598400000,2023-12-15 00:00:00,SOL/USDT,65.745,69.113,65.02,67.671,6019370.92,89117.93056,3206686.98,47475.766315,82342,67.552
1702512000000,2023-12-14 00:00:00,SOL/USDT,66.05,69.9,62,65.785,5429866.54,80403.976978,2901860.05,42961.215033,76304,67.543
1702425600000,2023-12-13 00:00:00,SOL/USDT,63.986,66.994,60.005,66.049,6563769.73,104299.057231,3470227.07,55144.793638,92035,62.945
1702339200000,2023-12-12 00:00:00,SOL/USDT,67.96,69,58.346,63.992,7331538.19,109622.144597,3842101.56,57444.036524,100377,66.924
1702252800000,2023-12-11 00:00:00,SOL/USDT,73.019,73.199,58.954,67.946,6597491.3,97262.71102,3469125.25,51149.218042,90123,67.899
1702166400000,2023-12-10 00:00:00,SOL/USDT,71.624,73.321,64.781,73.02,5047955.27,70292.896283,2677522.84,37277.37221,68073,71.822
1702080000000,2023-12-09 00:00:00,SOL/USDT,67.199,73.494,65.4,71.714,4499787.93,64070.109828,2406080.88,34265.380825,60400,70.288
1701993600000,2023-12-08 00:00:00,SOL/USDT,62.769,67.2,60.35,67.199,6873075.76,105637.178203,3639372.6,55935.489679,97374,65.076
1701907200000,2023-12-07 00:00:00,SOL/USDT,59.762,63.28,58.701,63,4003955.32,64969.306891,2138030.57,34691.840654,53293,61.638
1701820800000,2023-12-06 00:00:00,SOL/USDT,57.847,62.844,48.877,59.766,7280867.96,119471.498699,3804243.1,62416.343614,99268,60.954
1701734400000,2023-12-05 00:00:00,SOL/USDT,61.032,61.299,52.837,57.858,8121726.08,136565.99813,4326461.45,72743.362937,110677,59.49
1701648000000,2023-12-04 00:00:00,SOL/USDT,61.453,64.247,59.075,61.052,7646587.27,124222.792976,4050707.68,65811.172859,104084,61.584
1701561600000,2023-12-03 00:00:00,SOL/USDT,61.05,62.97,60.606,61.442,6461476.12,104981.152936,3487545.05,56660.900791,86003,61.552
1701475200000,2023-12-02 00:00:00,SOL/USDT,58.872,61.294,58.001,61.05,6143131.8,103383.611293,3233773.54,54420.110132,82070,59.43
1701388800000,2023-12-01 00:00:00,SOL/USDT,59.165,60.491,58.559,58.886,6166291.4,103338.404875,3214582.35,53873.276909,82609,59.675
1701302400000,2023-11-30 00:00:00,SOL/USDT,58.921,60.826,58.596,59.088,7176883.07,120919.35435,3735524.61,62933.314489,96181,59.354
1701216000000,2023-11-29 00:00:00,SOL/USDT,57.967,61.106,57.633,58.922,8365205.88,141201.710946,4521349.45,76309.15098,112877,59.255
1701129600000,2023-11-28 00:00:00,SOL/USDT,55.025,58.036,54.013,57.955,7243482.79,129898.769055,3875106.76,69508.365047,98404,55.784
1701043200000,2023-11-27 00:00:00,SOL/USDT,56.916,57.417,53.537,55.025,8226224.67,148738.433715,4483242.18,81076.797541,108719,55.324
1700956800000,2023-11-26 00:00:00,SOL/USDT,57.77,57.954,55.866,56.922,5662562.33,99245.152479,2959801.53,51874.895906,74270,57.058
1700870400000,2023-11-25 00:00:00,SOL/USDT,56.067,58.276,55.454,57.783,7105623.98,124069.771153,3822880.71,66748.69296,95473,57.276
1700784000000,2023-11-24 00:00:00,SOL/USDT,56.391,57.948,55.749,56.065,6762952.88,119146.266274,3596195.8,63360.438187,90454,56.765
1700697600000,2023-11-23 00:00:00,SOL/USDT,57.187,59,56.038,56.365,7766080.05,135567.632852,4131068.54,72109.758609,107394,57.291
1700611200000,2023-11-22 00:00:00,SOL/USDT,51.726,58.629,51.59,57.209,8038686.43,145908.999967,4289977.3,77867.708999,109624,55.128
1700524800000,2023-11-21 00:00:00,SOL/USDT,56.517,57.143,51.343,51.872,8445968.32,152802.940645,4531903.47,81995.08791,116315,55.304
1700438400000,2023-11-20 00:00:00,SOL/USDT,61.117,61.26,56.076,56.519,7183894.8,122037.013118,3813019.31,64784.718046,95543,58.901
1700352000000,2023-11-19 00:00:00,SOL/USDT,58.569,61.873,57.1,61.13,5810470.33,97546.980147,3046920.47,51158.550434,77394,59.595
1700265600000,2023-11-18 00:00:00,SOL/USDT,58.718,59.309,55.022,58.524,8114902.72,140956.743239,4338690.2,75372.831851,112337,57.584
1700179200000,2023-11-17 00:00:00,SOL/USDT,57.749,60.5,54.07,58.742,9679724.56,167003.669848,5075485.61,87542.161168,126609,57.987
1700092800000,2023-11-16 00:00:00,SOL/USDT,65.386,67.686,56.42,57.815,8801541.75,139195.795517,4663217.23,73707.869114,119306,63.333
1700006400000,2023-11-15 00:00:00,SOL/USDT,56.735,66.1,56.273,65.37,7147222.52,118085.968125,3827254.07,63241.746233,96811,60.68
1699920000000,2023-11-14 00:00:00,SOL/USDT,51.048,57.818,51.044,56.729,7279436.75,132862.213332,3991508.92,72872.27907,93752,54.811
1699833600000,2023-11-13 00:00:00,SOL/USDT,56.227,59.728,45.345,50.941,5965000.99,105109.880038,3047549.28,53449.357495,72434,56.847
1699747200000,2023-11-12 00:00:00,SOL/USDT,56.268,62.129,54.365,56.224,8341599.4,144295.037421,4463533.2,77200.776431,114691,57.848
1699660800000,2023-11-11 00:00:00,SOL/USDT,56.65,63.904,53.667,56.267,8536961.17,149586.220162,4455542.61,78042.299283,116125,57.171
1699574400000,2023-11-10 00:00:00,SOL/USDT,45.284,57.903,45.048,56.685,8524807.68,170656.182966,4512866.75,90446.470691,112832,50.157
1699488000000,2023-11-09 00:00:00,SOL/USDT,43.101,48.809,42.26,45.257,7235741.91,160192.652705,3862580.93,85476.269425,92981,45.217
1699401600000,2023-11-08 00:00:00,SOL/USDT,42.905,43.859,42.268,43.113,5621878.2,130235.471764,2891086.33,66963.631585,72252,43.169
