https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USD
1697846400,2023-10-21,TRX/USD,0.090828,0.09185,0.090828,0.091722,6512.336082,597.324490113204
1697760000,2023-10-20,TRX/USD,0.090117,0.091798,0.090117,0.090716,17066.492445,1548.20392864062
1697673600,2023-10-19,TRX/USD,0.089189,0.090034,0.088734,0.090005,11420.527838,1027.90460805919
1697587200,2023-10-18,TRX/USD,0.08854,0.089383,0.08854,0.089217,4980.377134,444.33430676407806
1697500800,2023-10-17,TRX/USD,0.088985,0.088985,0.087635,0.08843,13013.62785,1150.7951107755
1697414400,2023-10-16,TRX/USD,0.086713,0.09027,0.086713,0.089013,41166.639629,3664.3660932961766
1697328000,2023-10-15,TRX/USD,0.085128,0.086685,0.084903,0.086685,13126.192611,1137.844006484535
1697241600,2023-10-14,TRX/USD,0.085627,0.085733,0.085154,0.085154,9536.984203,812.112352822262
1697155200,2023-10-13,TRX/USD,0.08516,0.085575,0.08516,0.085575,5503.694384,470.9786469108
1697068800,2023-10-12,TRX/USD,0.086191,0.086191,0.084896,0.085056,18209.067925,1548.7904814288001
1696982400,2023-10-11,TRX/USD,0.086348,0.086529,0.085696,0.086095,22619.632046,1947.43722100037
1696896000,2023-10-10,TRX/USD,0.086346,0.086592,0.086346,0.086374,5169.70528,446.52812385472004
1696809600,2023-10-09,TRX/USD,0.088204,0.088204,0.085764,0.086241,28047.232177,2418.8213501766572
1696723200,2023-10-08,TRX/USD,0.08819,0.088342,0.087512,0.088233,10103.45145,891.4578317878501
1696636800,2023-10-07,TRX/USD,0.087249,0.088202,0.087249,0.088081,14591.63675,1285.2459565767501
1696550400,2023-10-06,TRX/USD,0.088373,0.088734,0.085549,0.08714,40730.055559,3549.2170414112597
1696464000,2023-10-05,TRX/USD,0.088975,0.089583,0.088263,0.088263,15160.487008,1338.110064787104
1696377600,2023-10-04,TRX/USD,0.090649,0.090649,0.088365,0.089003,19026.235203,1693.392011772609
1696291200,2023-10-03,TRX/USD,0.087674,0.090762,0.087571,0.090762,31504.32577,2859.39561553674
1696204800,2023-10-02,TRX/USD,0.090105,0.090241,0.087539,0.087539,19664.146919,1721.379757142341
1696118400,2023-10-01,TRX/USD,0.088738,0.090217,0.08831,0.090217,19746.478559,1781.468056157303
1696032000,2023-09-30,TRX/USD,0.089121,0.089121,0.088765,0.088765,3439.722599,305.326976500235
1695945600,2023-09-29,TRX/USD,0.086642,0.089696,0.086642,0.089149,48679.477072,4339.726701491729
1695859200,2023-09-28,TRX/USD,0.085344,0.086535,0.084643,0.086535,20101.979853,1739.524826579355
1695772800,2023-09-27,TRX/USD,0.084491,0.085836,0.084491,0.085318,18172.29824,1550.42414124032
1695686400,2023-09-26,TRX/USD,0.08462,0.084838,0.084248,0.084404,9224.432994,778.5790424255762
1695600000,2023-09-25,TRX/USD,0.083685,0.084639,0.083685,0.084639,7624.857902,645.3603479673781
1695513600,2023-09-24,TRX/USD,0.083867,0.084292,0.083555,0.083555,7154.242147,597.772702592585
1695427200,2023-09-23,TRX/USD,0.083357,0.083867,0.083255,0.083762,4994.041841,418.31093268584203
1695340800,2023-09-22,TRX/USD,0.083216,0.08407,0.083216,0.083383,10068.357219,839.5298299918769
1695254400,2023-09-21,TRX/USD,0.084517,0.084517,0.082866,0.083112,19132.863674,1590.1705656734882
1695168000,2023-09-20,TRX/USD,0.08464,0.084954,0.084413,0.084517,14886.101582,1258.1286474058938
1695081600,2023-09-19,TRX/USD,0.084201,0.084609,0.083978,0.084609,12142.276098,1027.345838375682
1694995200,2023-09-18,TRX/USD,0.083459,0.084683,0.083356,0.084201,20365.111966,1714.762792649166
1694908800,2023-09-17,TRX/USD,0.083593,0.083844,0.083371,0.083484,12962.546362,1082.165220485208
1694822400,2023-09-16,TRX/USD,0.084128,0.084231,0.083516,0.083618,7366.828383,615.999455729694
1694736000,2023-09-15,TRX/USD,0.08376,0.084071,0.083132,0.084032,58799.245346,4941.018184915072
