https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1700697600000,2023-11-23 00:00:00,DOT/USD,5.1682,5.2071,5.0867,5.1287,72133.82999021267,14064.73960072
1700611200000,2023-11-22 00:00:00,DOT/USD,4.8488,5.2763,4.8488,5.175,131306.76043381123,25373.28704035
1700524800000,2023-11-21 00:00:00,DOT/USD,5.299,5.317,4.8287,4.9062,380641.1856159547,77583.70747543
1700438400000,2023-11-20 00:00:00,DOT/USD,5.4312,5.574,5.2822,5.2966,143650.49727886313,27121.26595908
1700352000000,2023-11-19 00:00:00,DOT/USD,5.2781,5.4914,5.1876,5.4462,103028.52162455088,18917.50608214
1700265600000,2023-11-18 00:00:00,DOT/USD,5.2304,5.2917,5.0,5.2917,60243.83010919605,11384.58909409
1700179200000,2023-11-17 00:00:00,DOT/USD,5.3565,5.48,5.09,5.2432,96680.82001010195,18439.27754236
1700092800000,2023-11-16 00:00:00,DOT/USD,5.5575,5.8,5.281,5.348,163714.28805195435,30612.24533507
1700006400000,2023-11-15 00:00:00,DOT/USD,5.2097,5.6449,5.2004,5.5439,200602.36981639484,36184.341315030004
1699920000000,2023-11-14 00:00:00,DOT/USD,5.3404,5.5245,5.01,5.2119,189386.65111889679,36337.35319536
1699833600000,2023-11-13 00:00:00,DOT/USD,5.6766,5.8763,5.3542,5.3584,232214.3011662375,43336.49991905
1699747200000,2023-11-12 00:00:00,DOT/USD,5.5701,5.8637,5.36,5.71,1078046.3687705118,188799.71432058
1699660800000,2023-11-11 00:00:00,DOT/USD,5.3179,5.6726,5.0798,5.5572,616827.5823219497,110996.1099694
1699574400000,2023-11-10 00:00:00,DOT/USD,5.0787,5.321,4.9778,5.3054,188779.963644463,35582.60708796
1699488000000,2023-11-09 00:00:00,DOT/USD,5.045,5.2632,4.4401,5.0896,674189.5331458111,132464.14907769
1699401600000,2023-11-08 00:00:00,DOT/USD,4.9299,5.0866,4.8672,5.0493,133976.19851889287,26533.61822805
1699315200000,2023-11-07 00:00:00,DOT/USD,4.9675,5.0073,4.7297,4.9346,147606.8851368888,29912.63428381
