https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1701216000000,2023-11-29 00:00:00,DOGE/USD,0.08103,0.08307,0.07968,0.08066,3519841.417892,283910.4087671687
1701129600000,2023-11-28 00:00:00,DOGE/USD,0.07878,0.08116,0.07684,0.08103,1305683.001246,105799.49359096338
1701043200000,2023-11-27 00:00:00,DOGE/USD,0.07859,0.08153,0.07684,0.07878,2575223.812517,202876.13195008927
1700956800000,2023-11-26 00:00:00,DOGE/USD,0.07902,0.07902,0.07581,0.07859,823007.41005,64680.152355829494
1700870400000,2023-11-25 00:00:00,DOGE/USD,0.07829,0.07927,0.07794,0.07902,1317771.118739,104130.2738027558
1700784000000,2023-11-24 00:00:00,DOGE/USD,0.07625,0.07868,0.07625,0.07829,3863073.606045,302440.03261726303
1700697600000,2023-11-23 00:00:00,DOGE/USD,0.07583,0.07637,0.07511,0.07625,1222853.915737,93242.61107494625
1700611200000,2023-11-22 00:00:00,DOGE/USD,0.07175,0.07661,0.07175,0.07583,1549661.41634,117510.8252010622
1700524800000,2023-11-21 00:00:00,DOGE/USD,0.07771,0.07847,0.07092,0.07175,3293181.072182,236285.74192905848
1700438400000,2023-11-20 00:00:00,DOGE/USD,0.08056,0.08217,0.07703,0.07771,2274391.010528,176742.9254281309
1700352000000,2023-11-19 00:00:00,DOGE/USD,0.08024,0.08063,0.0777,0.08056,8906905.639387,717540.3183090168
1700265600000,2023-11-18 00:00:00,DOGE/USD,0.08637,0.08665,0.0794,0.08024,7075571.983417,567743.8959493801
1700179200000,2023-11-17 00:00:00,DOGE/USD,0.07946,0.08742,0.07917,0.08637,8021914.678014,692852.7707400692
1700092800000,2023-11-16 00:00:00,DOGE/USD,0.07635,0.08329,0.07601,0.07946,12230995.100231,971874.8706643552
1700006400000,2023-11-15 00:00:00,DOGE/USD,0.07254,0.07653,0.07239,0.07635,3433815.061603,262171.779953389
1699920000000,2023-11-14 00:00:00,DOGE/USD,0.0748,0.07556,0.06909,0.07254,3553079.567388,257740.3918183255
1699833600000,2023-11-13 00:00:00,DOGE/USD,0.07764,0.07962,0.0735,0.0748,4202789.702614,314368.6697555272
1699747200000,2023-11-12 00:00:00,DOGE/USD,0.07814,0.08029,0.07532,0.07764,3284435.878167,255003.60158088588
1699660800000,2023-11-11 00:00:00,DOGE/USD,0.07558,0.08194,0.07464,0.07814,7077026.358686,552998.8396677241
1699574400000,2023-11-10 00:00:00,DOGE/USD,0.07351,0.07779,0.07249,0.07558,6759327.05614,510869.93890306115
1699488000000,2023-11-09 00:00:00,DOGE/USD,0.07541,0.07789,0.0677,0.07351,5364783.344232,394365.2236344944
1699401600000,2023-11-08 00:00:00,DOGE/USD,0.07365,0.07713,0.07291,0.07541,1579578.969133,119116.05006231953
1699315200000,2023-11-07 00:00:00,DOGE/USD,0.07645,0.07645,0.07183,0.07365,5421806.993422,399316.08506553026
1699228800000,2023-11-06 00:00:00,DOGE/USD,0.07121,0.07667,0.07038,0.07645,8126033.704452,621235.2767053554
1699142400000,2023-11-05 00:00:00,DOGE/USD,0.06909,0.07167,0.06895,0.07121,1853223.23913,131968.0268584473
1699056000000,2023-11-04 00:00:00,DOGE/USD,0.06826,0.06934,0.06798,0.06909,840547.67998,58073.4392098182
1698969600000,2023-11-03 00:00:00,DOGE/USD,0.0676,0.06826,0.06632,0.06826,1352038.528798,92290.14997575148
1698883200000,2023-11-02 00:00:00,DOGE/USD,0.06892,0.07081,0.0667,0.0676,2061218.941544,139338.4004483744
1698796800000,2023-11-01 00:00:00,DOGE/USD,0.0682,0.06967,0.0658,0.06892,2279694.062213,157116.51476771996
1698710400000,2023-10-31 00:00:00,DOGE/USD,0.06966,0.0709,0.06593,0.0682,2826892.464351,192794.06606873818
1698624000000,2023-10-30 00:00:00,DOGE/USD,0.0693,0.07038,0.06792,0.06966,1130507.664234,78751.16389054044
1698537600000,2023-10-29 00:00:00,DOGE/USD,0.06901,0.07014,0.06726,0.0693,932878.296904,64648.4659754472
1698451200000,2023-10-28 00:00:00,DOGE/USD,0.06779,0.0697,0.06766,0.06901,974464.35758,67247.7853165958
1698364800000,2023-10-27 00:00:00,DOGE/USD,0.07181,0.07227,0.06743,0.06779,2315758.354164,156985.2588287776
1698278400000,2023-10-26 00:00:00,DOGE/USD,0.06824,0.07513,0.06792,0.07181,4306496.675609,309249.52627548226
1698192000000,2023-10-25 00:00:00,DOGE/USD,0.06652,0.06978,0.06469,0.06824,3876524.901539,264534.05928102136
1698105600000,2023-10-24 00:00:00,DOGE/USD,0.06748,0.07,0.06433,0.06652,4983082.849138,331474.67112465977
1698019200000,2023-10-23 00:00:00,DOGE/USD,0.06162,0.06786,0.06141,0.06748,3686624.803825,248773.44176211098
1697932800000,2023-10-22 00:00:00,DOGE/USD,0.06116,0.06175,0.05991,0.06162,509481.57523,31394.2546656726
1697846400000,2023-10-21 00:00:00,DOGE/USD,0.05995,0.06143,0.0595,0.06116,567952.915559,34736.00031558844
1697760000000,2023-10-20 00:00:00,DOGE/USD,0.05889,0.06044,0.05866,0.05995,4525924.156461,271329.153179837
1697673600000,2023-10-19 00:00:00,DOGE/USD,0.05872,0.05889,0.05755,0.05889,915560.053282,53917.331537776976
1697587200000,2023-10-18 00:00:00,DOGE/USD,0.05905,0.05941,0.05828,0.05872,1211504.004226,71139.51512815073
1697500800000,2023-10-17 00:00:00,DOGE/USD,0.06003,0.06013,0.05821,0.05905,748066.201235,44173.30918292675
1697414400000,2023-10-16 00:00:00,DOGE/USD,0.05926,0.06177,0.05926,0.06003,1863250.749242,111850.94247699727
1697328000000,2023-10-15 00:00:00,DOGE/USD,0.05985,0.05985,0.05908,0.05926,176675.279702,10469.77707514052
1697241600000,2023-10-14 00:00:00,DOGE/USD,0.05837,0.05995,0.05837,0.05985,2821125.227902,168844.3448899347
1697155200000,2023-10-13 00:00:00,DOGE/USD,0.05788,0.05882,0.05779,0.05837,722704.430231,42184.25759258347
1697068800000,2023-10-12 00:00:00,DOGE/USD,0.05843,0.05849,0.05736,0.05788,635621.116407,36789.75021763716
1696982400000,2023-10-11 00:00:00,DOGE/USD,0.05915,0.05947,0.05768,0.05843,811776.834092,47432.12041599557
1696896000000,2023-10-10 00:00:00,DOGE/USD,0.0587,0.05945,0.05846,0.05915,1396300.000885,82591.14505234775
1696809600000,2023-10-09 00:00:00,DOGE/USD,0.06092,0.061,0.05678,0.0587,2040134.277713,119755.88210175312
1696723200000,2023-10-08 00:00:00,DOGE/USD,0.06149,0.06163,0.06077,0.06092,1340582.798464,81668.30408242688
1696636800000,2023-10-07 00:00:00,DOGE/USD,0.06138,0.06168,0.06112,0.06149,292581.944909,17990.863792454413
1696550400000,2023-10-06 00:00:00,DOGE/USD,0.06098,0.06153,0.06075,0.06138,291496.519915,17892.0563923827
1696464000000,2023-10-05 00:00:00,DOGE/USD,0.06133,0.0616,0.06072,0.06098,710971.9473,43355.069346354
1696377600000,2023-10-04 00:00:00,DOGE/USD,0.06134,0.06153,0.06017,0.06133,882633.037498,54131.88418975234
1696291200000,2023-10-03 00:00:00,DOGE/USD,0.0621,0.06226,0.06107,0.06134,656656.903154,40279.334439466365
1696204800000,2023-10-02 00:00:00,DOGE/USD,0.06309,0.06413,0.06118,0.0621,2343818.701247,145551.1413474387
1696118400000,2023-10-01 00:00:00,DOGE/USD,0.06209,0.0635,0.06173,0.06309,1470049.440285,92745.41918758064
1696032000000,2023-09-30 00:00:00,DOGE/USD,0.06217,0.06268,0.06171,0.06209,1427885.90628,88657.4359209252
1695945600000,2023-09-29 00:00:00,DOGE/USD,0.06143,0.06246,0.06131,0.06217,1298982.392513,80757.73534253321
1695859200000,2023-09-28 00:00:00,DOGE/USD,0.06054,0.06197,0.06042,0.06143,674151.079531,41413.10081558933
1695772800000,2023-09-27 00:00:00,DOGE/USD,0.06037,0.06133,0.06015,0.06054,806521.040633,48826.78379992182
1695686400000,2023-09-26 00:00:00,DOGE/USD,0.06088,0.0611,0.0594,0.06037,1207235.534284,72880.80920472508
