https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume USDT,tradecount
1688169600000,2023-07-01,BNBUSDT,240.4,249.0,240.0,247.9,723099.401,176868834.7547,256708
1688083200000,2023-06-30,BNBUSDT,233.2,241.7,230.7,240.3,843439.594,200483756.0175,350192
1687996800000,2023-06-29,BNBUSDT,230.6,236.7,230.4,233.1,352025.974,82245042.8293,158038
1687910400000,2023-06-28,BNBUSDT,237.5,237.6,224.6,230.6,643304.047,149305878.0527,257544
1687824000000,2023-06-27,BNBUSDT,236.1,240.8,234.5,237.5,360259.85,85834675.0653,161086
1687737600000,2023-06-26,BNBUSDT,238.9,241.3,233.6,236.1,526248.09,124675274.7049,225519
1687651200000,2023-06-25,BNBUSDT,236.4,244.0,235.0,238.8,513198.598,122634105.4772,217281
1687564800000,2023-06-24,BNBUSDT,244.4,248.7,230.4,236.4,791496.05,189462664.4101,284687
1687478400000,2023-06-23,BNBUSDT,240.8,249.8,239.7,244.3,638290.193,156124995.5926,254147
1687392000000,2023-06-22,BNBUSDT,248.9,257.0,239.4,240.8,1032630.471,256876559.6921,347973
1687305600000,2023-06-21,BNBUSDT,247.8,254.7,245.0,248.8,1006328.557,250959168.5731,351390
1687219200000,2023-06-20,BNBUSDT,243.0,248.1,238.7,247.7,639069.672,154968378.054,212388
1687132800000,2023-06-19,BNBUSDT,244.1,245.0,238.3,243.1,425074.269,102961755.5535,160308
1687046400000,2023-06-18,BNBUSDT,244.5,248.7,242.3,244.1,359878.981,88378391.2806,156387
1686960000000,2023-06-17,BNBUSDT,239.4,249.8,237.2,244.5,491313.272,120377348.1879,199901
1686873600000,2023-06-16,BNBUSDT,236.5,243.8,232.2,239.3,562586.529,133825112.4104,220946
1686787200000,2023-06-15,BNBUSDT,237.9,240.8,230.6,236.4,602141.969,141722725.8756,270067
1686700800000,2023-06-14,BNBUSDT,244.1,252.8,232.9,237.9,970411.718,237940592.4737,395122
1686614400000,2023-06-13,BNBUSDT,231.3,247.0,228.7,244.2,1230681.021,294375872.3018,405087
1686528000000,2023-06-12,BNBUSDT,235.4,239.3,220.4,231.3,1579141.84,362057778.294,496137
1686441600000,2023-06-11,BNBUSDT,238.8,239.3,233.4,235.4,402562.359,95102654.1768,171910
1686355200000,2023-06-10,BNBUSDT,260.6,260.7,228.4,238.7,1603602.202,384973615.933,607880
1686268800000,2023-06-09,BNBUSDT,261.9,264.4,255.7,260.5,509660.501,132789115.8495,199563
1686182400000,2023-06-08,BNBUSDT,259.3,267.5,257.1,262.0,579854.02,152323676.7111,212359
1686096000000,2023-06-07,BNBUSDT,281.2,281.8,253.4,259.3,1188263.837,313838020.5865,380071
1686009600000,2023-06-06,BNBUSDT,277.0,285.8,273.2,281.2,708685.58,197599700.3864,255103
1685923200000,2023-06-05,BNBUSDT,305.1,305.1,272.0,276.9,1096020.019,314258039.4391,437688
1685836800000,2023-06-04,BNBUSDT,306.6,307.6,304.5,305.0,187805.427,57537980.8857,102322
1685750400000,2023-06-03,BNBUSDT,307.3,308.2,303.0,306.6,158805.926,48684741.5621,97573
1685664000000,2023-06-02,BNBUSDT,304.9,308.4,303.1,307.2,300583.675,92203727.6039,132865
1685577600000,2023-06-01,BNBUSDT,306.8,307.7,303.1,304.9,255618.722,77928559.171,129905
1685491200000,2023-05-31,BNBUSDT,311.4,311.9,305.0,306.8,437132.418,134239500.3593,178902
1685404800000,2023-05-30,BNBUSDT,311.7,314.2,310.8,311.5,291304.59,91013362.1095,172794
1685318400000,2023-05-29,BNBUSDT,314.2,317.3,310.4,311.6,461485.115,145062337.2295,222698
1685232000000,2023-05-28,BNBUSDT,307.4,314.6,306.7,314.1,257233.179,79600097.6225,145064
1685145600000,2023-05-27,BNBUSDT,306.9,307.7,304.0,307.4,144742.086,44281243.2841,95235
1685059200000,2023-05-26,BNBUSDT,304.6,308.5,301.4,306.8,398588.895,121756770.7794,159790
1684972800000,2023-05-25,BNBUSDT,305.9,306.9,302.2,304.5,287322.502,87562770.5034,154669
1684886400000,2023-05-24,BNBUSDT,313.5,313.6,303.6,306.0,292692.62,90018222.503,180354
1684800000000,2023-05-23,BNBUSDT,309.1,315.4,309.0,313.5,225830.19,70763611.1608,152082
1684713600000,2023-05-22,BNBUSDT,306.4,311.1,304.4,309.0,222082.435,68557813.5485,139171
1684627200000,2023-05-21,BNBUSDT,310.7,311.6,305.7,306.4,143182.429,44293374.5127,119687
1684540800000,2023-05-20,BNBUSDT,308.9,312.0,307.8,310.6,104485.905,32347642.8651,99906
1684454400000,2023-05-19,BNBUSDT,309.3,311.5,307.5,308.9,191704.812,59286887.5964,132472
1684368000000,2023-05-18,BNBUSDT,314.3,314.9,306.1,309.3,236575.286,73619131.9768,186767
1684281600000,2023-05-17,BNBUSDT,311.4,314.4,307.0,314.3,221274.514,68799773.1488,195941
1684195200000,2023-05-16,BNBUSDT,313.4,314.0,309.3,311.4,182668.214,56874167.0213,151812
1684108800000,2023-05-15,BNBUSDT,312.1,316.3,310.5,313.4,202895.171,63792308.8934,160410
1684022400000,2023-05-14,BNBUSDT,310.8,314.8,309.5,312.1,192884.821,60226626.9218,145453
1683936000000,2023-05-13,BNBUSDT,308.6,311.8,307.5,310.7,151642.554,47001910.5018,152139
1683849600000,2023-05-12,BNBUSDT,307.5,309.1,301.2,308.5,327008.927,99784360.6959,243015
1683763200000,2023-05-11,BNBUSDT,314.3,314.5,304.4,307.5,291854.667,90369005.2504,224468
1683676800000,2023-05-10,BNBUSDT,312.2,316.7,308.0,314.3,360146.811,112722393.2851,275137
1683590400000,2023-05-09,BNBUSDT,313.8,315.8,311.2,312.1,260672.045,81747989.2856,197989
1683504000000,2023-05-08,BNBUSDT,321.0,322.1,311.1,313.8,379192.119,119876329.8087,289748
1683417600000,2023-05-07,BNBUSDT,322.0,325.4,320.4,321.0,203577.219,65809878.4767,171930
1683331200000,2023-05-06,BNBUSDT,326.6,328.5,319.5,321.9,275367.716,89101595.9636,220414
1683244800000,2023-05-05,BNBUSDT,323.9,329.1,322.8,326.5,284536.108,92825871.0679,231130
1683158400000,2023-05-04,BNBUSDT,325.9,327.5,323.2,323.8,195370.268,63593785.5551,159089
1683072000000,2023-05-03,BNBUSDT,321.4,327.6,320.4,325.9,608765.389,196905763.1719,347629
1682985600000,2023-05-02,BNBUSDT,328.4,328.5,321.4,321.5,437446.281,141881359.3589,262049
1682899200000,2023-05-01,BNBUSDT,337.5,339.6,326.1,328.5,719404.912,239751288.9926,383022
1682812800000,2023-04-30,BNBUSDT,321.9,338.3,320.4,337.5,711720.726,236115558.3166,351564
1682726400000,2023-04-29,BNBUSDT,324.1,325.0,320.6,321.9,226488.689,73126327.3959,164539
1682640000000,2023-04-28,BNBUSDT,330.9,330.9,318.7,324.1,991210.156,320507877.1316,476247
1682553600000,2023-04-27,BNBUSDT,330.6,336.6,328.2,330.9,482850.957,160502346.0046,309196
1682467200000,2023-04-26,BNBUSDT,338.4,345.0,321.5,330.6,679551.584,228450745.9855,420823
1682380800000,2023-04-25,BNBUSDT,331.2,340.0,328.6,338.4,436704.883,145152623.7318,281066
1682294400000,2023-04-24,BNBUSDT,330.6,334.0,327.7,331.2,442775.294,146556327.1712,293748
1682208000000,2023-04-23,BNBUSDT,332.2,332.5,327.4,330.7,384622.154,126958680.0237,253287
1682121600000,2023-04-22,BNBUSDT,321.3,333.1,319.9,332.2,381882.032,124850258.756,242770
1682035200000,2023-04-21,BNBUSDT,318.0,334.6,315.3,321.2,910773.894,296370164.1481,464111
1681948800000,2023-04-20,BNBUSDT,322.5,326.8,315.3,318.1,367453.933,118367527.8226,282354
1681862400000,2023-04-19,BNBUSDT,343.1,343.7,320.1,322.4,537444.082,177241467.3572,377615
1681776000000,2023-04-18,BNBUSDT,340.0,346.7,337.0,343.1,391677.437,134225841.056,248408
1681689600000,2023-04-17,BNBUSDT,347.7,350.0,337.5,340.0,556356.468,191176774.9373,311025
1681603200000,2023-04-16,BNBUSDT,333.1,350.0,330.1,347.7,632598.777,216486510.2014,350958
1681516800000,2023-04-15,BNBUSDT,328.8,336.0,326.9,333.0,418311.143,138970386.8544,241027
1681430400000,2023-04-14,BNBUSDT,324.6,335.5,323.2,328.9,679955.061,224793151.2458,376483
1681344000000,2023-04-13,BNBUSDT,319.9,325.1,317.7,324.7,348151.945,112173084.698,200762
1681257600000,2023-04-12,BNBUSDT,322.3,323.3,316.7,319.9,354216.724,113135820.0564,213232
1681171200000,2023-04-11,BNBUSDT,318.6,333.0,317.8,322.3,661117.672,215980918.4731,317339
1681084800000,2023-04-10,BNBUSDT,312.8,318.7,311.5,318.5,271539.24,85205066.9365,175548
1680998400000,2023-04-09,BNBUSDT,310.6,313.7,309.5,312.8,163948.725,50986008.2501,144294
1680912000000,2023-04-08,BNBUSDT,310.4,312.7,310.1,310.5,165372.944,51514644.4441,141077
1680825600000,2023-04-07,BNBUSDT,312.3,312.8,309.7,310.3,179863.362,55926512.0497,147735
1680739200000,2023-04-06,BNBUSDT,314.0,315.2,310.6,312.3,232647.147,72725957.587,184035
1680652800000,2023-04-05,BNBUSDT,310.8,316.8,310.2,313.9,320350.363,100571771.7011,220568
1680566400000,2023-04-04,BNBUSDT,308.8,312.7,308.2,310.8,305980.475,95018482.4739,220230
1680480000000,2023-04-03,BNBUSDT,313.8,314.1,299.5,308.8,450976.973,138921574.7271,327217
1680393600000,2023-04-02,BNBUSDT,314.9,316.2,310.7,313.7,149805.667,47006464.2186,161171
1680307200000,2023-04-01,BNBUSDT,317.0,319.0,313.0,314.9,185904.183,58599155.1467,171578
1680220800000,2023-03-31,BNBUSDT,316.4,319.8,311.8,316.9,266270.064,84310535.1086,232669
1680134400000,2023-03-30,BNBUSDT,313.8,320.8,309.1,316.4,496156.738,156327197.1435,313975
1680048000000,2023-03-29,BNBUSDT,313.3,319.9,312.4,313.7,327282.226,103404307.0787,241108
1679961600000,2023-03-28,BNBUSDT,310.6,315.8,306.8,313.2,329398.424,102362254.1103,241330
1679875200000,2023-03-27,BNBUSDT,328.6,329.8,305.9,310.6,578039.555,182769703.624,355933
1679788800000,2023-03-26,BNBUSDT,322.4,329.5,321.7,328.6,204700.193,66827422.6814,162414
1679702400000,2023-03-25,BNBUSDT,322.1,324.9,319.0,322.4,317118.332,102246368.2079,203195
1679616000000,2023-03-24,BNBUSDT,329.4,330.0,316.9,322.1,307030.002,99151865.5545,243287
1679529600000,2023-03-23,BNBUSDT,321.2,332.1,318.9,329.4,383094.591,124802181.3147,289519
1679443200000,2023-03-22,BNBUSDT,334.5,339.5,316.0,321.1,1286215.777,422715609.9451,650526
1679356800000,2023-03-21,BNBUSDT,332.5,339.9,327.1,334.4,477443.689,159793741.7808,373604
1679270400000,2023-03-20,BNBUSDT,336.7,339.1,331.3,332.5,511504.522,171843370.7453,404307
1679184000000,2023-03-19,BNBUSDT,331.1,341.7,330.3,336.7,401972.619,135490968.039,328802
1679097600000,2023-03-18,BNBUSDT,339.0,346.3,328.0,331.0,662698.511,224183709.7316,443659
1679011200000,2023-03-17,BNBUSDT,329.4,340.0,325.0,338.9,726737.468,241644682.8438,450807
1678924800000,2023-03-16,BNBUSDT,306.3,332.8,302.8,329.4,1251303.89,401797064.6412,637265
1678838400000,2023-03-15,BNBUSDT,308.5,312.7,300.0,306.3,413251.773,126907786.4302,356984
1678752000000,2023-03-14,BNBUSDT,307.9,319.5,302.0,308.4,703702.208,218821745.4102,464036
1678665600000,2023-03-13,BNBUSDT,288.1,314.1,286.1,307.9,991752.464,299509993.6058,567663
1678579200000,2023-03-12,BNBUSDT,276.0,288.8,273.2,288.1,316243.117,88260912.9764,254109
1678492800000,2023-03-11,BNBUSDT,277.5,281.8,270.5,276.0,370350.207,102108722.7581,293358
1678406400000,2023-03-10,BNBUSDT,277.1,278.1,265.0,277.4,404292.972,110074568.5416,282834
1678320000000,2023-03-09,BNBUSDT,287.1,291.4,271.2,277.1,318996.851,90265165.2206,256816
1678233600000,2023-03-08,BNBUSDT,289.3,294.3,285.1,287.1,260938.374,75356809.0494,203992
1678147200000,2023-03-07,BNBUSDT,287.9,290.5,283.4,289.3,200611.357,57609359.9966,167501
1678060800000,2023-03-06,BNBUSDT,288.8,289.7,283.3,287.8,205220.757,58782996.2149,156193
1677974400000,2023-03-05,BNBUSDT,289.6,292.8,287.4,288.7,128456.559,37300395.7492,123618
