https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1704844800000,2024-01-10,ETHUSDT,2344.3,2643.1,2339.59,2584.38,1038388.666,2536320982.388543,2010707
1704758400000,2024-01-09,ETHUSDT,2330.43,2371.72,2226.78,2344.29,551454.9931,1267764132.836077,1196445
1704585600000,2024-01-07,ETHUSDT,2240.77,2258.01,2203.46,2221.42,207138.6927,463525159.25742894,516569
1704499200000,2024-01-06,ETHUSDT,2268.78,2270.0,2216.4,2240.78,194067.8656,434867515.95915693,450441
1704412800000,2024-01-05,ETHUSDT,2267.11,2277.21,2206.17,2268.78,405568.0006,910367621.1816621,758963
1704326400000,2024-01-04,ETHUSDT,2209.72,2294.69,2201.91,2267.11,448844.055,1009072619.2067729,780771
1704240000000,2024-01-03,ETHUSDT,2355.35,2385.45,2100.0,2209.72,798729.4869,1797597895.179904,1351067
1704153600000,2024-01-02,ETHUSDT,2352.05,2431.3,2341.0,2355.34,458041.6642,1090922198.049091,1028335
1704067200000,2024-01-01,ETHUSDT,2281.87,2352.37,2265.24,2352.04,216702.6914,500451219.612806,536670
1703980800000,2023-12-31,ETHUSDT,2291.68,2321.34,2258.88,2281.87,222175.8779,510046689.187396,548848
1703894400000,2023-12-30,ETHUSDT,2299.2,2322.84,2268.0,2291.68,210539.1327,483369913.478846,555932
1703808000000,2023-12-29,ETHUSDT,2344.15,2385.41,2255.34,2299.2,450201.2069,1049566350.122209,990308
1703721600000,2023-12-28,ETHUSDT,2378.35,2445.8,2335.0,2344.15,580459.982,1385456486.286191,1241094
1703635200000,2023-12-27,ETHUSDT,2230.88,2392.44,2211.88,2378.35,541537.3574,1250873719.5506608,978666
1703548800000,2023-12-26,ETHUSDT,2271.36,2274.99,2178.45,2230.88,410413.1591,916097827.4984499,701701
1703462400000,2023-12-25,ETHUSDT,2264.04,2304.8,2253.1,2271.35,286277.1616,652158658.2583511,613108
1703376000000,2023-12-24,ETHUSDT,2308.2,2326.19,2245.0,2264.05,307951.076,705420988.78504,711200
1703289600000,2023-12-23,ETHUSDT,2324.54,2330.65,2265.0,2308.2,255626.9352,586078143.242079,588229
1703203200000,2023-12-22,ETHUSDT,2239.6,2343.15,2230.59,2324.54,591357.488,1358322906.9580781,1124820
1703116800000,2023-12-21,ETHUSDT,2202.17,2279.31,2182.98,2239.61,453069.7252,1010354340.135799,848508
1703030400000,2023-12-20,ETHUSDT,2177.9,2266.0,2156.0,2202.17,416841.6272,922794580.7034019,867198
1702944000000,2023-12-19,ETHUSDT,2219.44,2255.0,2135.55,2177.91,383551.4049,847060839.7083981,786067
1702857600000,2023-12-18,ETHUSDT,2196.53,2224.0,2116.6,2219.43,364103.1181,789100505.031711,769310
1702771200000,2023-12-17,ETHUSDT,2228.96,2248.68,2191.5,2196.52,225925.7675,501306718.242808,531241
1702684800000,2023-12-16,ETHUSDT,2220.51,2263.4,2210.0,2228.96,199285.923,446980227.082835,528692
1702598400000,2023-12-15,ETHUSDT,2315.32,2317.81,2200.0,2220.5,333552.6328,754022987.2477219,714102
1702512000000,2023-12-14,ETHUSDT,2260.16,2332.11,2228.2,2315.32,409508.0931,934716057.650864,918965
1702425600000,2023-12-13,ETHUSDT,2203.47,2284.02,2144.32,2260.16,418916.6154,922420273.947253,897019
1702339200000,2023-12-12,ETHUSDT,2225.11,2244.12,2166.0,2203.46,361588.9087,799015127.4149741,804062
1702252800000,2023-12-11,ETHUSDT,2352.39,2355.0,2156.62,2225.12,640414.9166,1426910964.96622,1153316
1702166400000,2023-12-10,ETHUSDT,2340.48,2377.47,2320.0,2352.39,200037.2102,469860963.947153,464455
1702080000000,2023-12-09,ETHUSDT,2358.71,2403.0,2328.01,2340.49,287771.0664,679437458.931254,648813
1701993600000,2023-12-08,ETHUSDT,2355.74,2392.0,2336.34,2358.72,378569.8126,893841920.83732,713431
1701907200000,2023-12-07,ETHUSDT,2232.7,2382.8,2222.0,2355.73,485190.0609,1115389522.523053,921917
1701820800000,2023-12-06,ETHUSDT,2293.33,2312.23,2220.0,2232.7,408338.9056,925926168.1093421,842212
1701734400000,2023-12-05,ETHUSDT,2243.36,2309.72,2188.33,2293.33,529829.7214,1190597719.193227,1018557
1701648000000,2023-12-04,ETHUSDT,2192.96,2274.28,2191.0,2243.37,565307.7134,1263069834.208612,980117
1701561600000,2023-12-03,ETHUSDT,2164.75,2217.27,2149.0,2192.95,257879.1136,560343820.0285089,556948
1701475200000,2023-12-02,ETHUSDT,2087.24,2186.6,2086.25,2164.74,320979.9768,684434398.684245,618401
1701388800000,2023-12-01,ETHUSDT,2051.95,2110.87,2045.04,2087.24,372645.586,778670941.03376,598646
1701302400000,2023-11-30,ETHUSDT,2028.8,2054.75,2020.85,2051.96,243680.0921,496360388.66638494,458227
1701216000000,2023-11-29,ETHUSDT,2048.14,2075.7,2019.31,2028.81,254843.7319,521225853.33225,503614
1701129600000,2023-11-28,ETHUSDT,2027.5,2075.0,1995.15,2048.14,283775.9279,578404413.958468,606358
1701043200000,2023-11-27,ETHUSDT,2062.34,2071.24,1985.78,2027.5,326073.2298,660673302.74006,622522
1700956800000,2023-11-26,ETHUSDT,2083.1,2094.99,2036.42,2062.33,241262.9136,499314260.83391505,510922
1700870400000,2023-11-25,ETHUSDT,2080.84,2090.54,2065.3,2083.09,138847.393,288887833.978004,350920
1700784000000,2023-11-24,ETHUSDT,2062.21,2133.02,2059.37,2080.84,426932.5402,894370772.518114,672044
1700697600000,2023-11-23,ETHUSDT,2063.22,2088.94,2040.35,2062.2,250960.6958,517482313.452256,527877
1700611200000,2023-11-22,ETHUSDT,1933.01,2092.46,1928.41,2063.21,466120.5109,943776525.65738,796700
1700524800000,2023-11-21,ETHUSDT,2021.41,2034.6,1931.43,1933.01,490163.9863,974304142.3971741,888864
1700438400000,2023-11-20,ETHUSDT,2011.47,2066.4,1990.0,2021.4,421717.679,854002757.451172,751621
1700352000000,2023-11-19,ETHUSDT,1962.59,2015.75,1942.89,2011.47,251132.6192,494600634.891146,506631
1700265600000,2023-11-18,ETHUSDT,1960.82,1971.22,1916.0,1962.6,279368.2208,543924395.733028,535494
1700179200000,2023-11-17,ETHUSDT,1961.77,1991.5,1904.0,1960.82,401100.5069,783561858.011889,788071
1700092800000,2023-11-16,ETHUSDT,2058.49,2090.4,1939.1,1961.77,545286.1297,1101174547.308609,991673
1700006400000,2023-11-15,ETHUSDT,1979.4,2062.4,1967.01,2058.48,421870.8032,847945999.664,731745
1699920000000,2023-11-14,ETHUSDT,2053.65,2064.96,1936.6,1979.39,481909.733,972032428.326573,884487
1699833600000,2023-11-13,ETHUSDT,2044.69,2118.0,2028.49,2053.65,529143.5815,1093862454.3213742,1025249
1699747200000,2023-11-12,ETHUSDT,2053.16,2066.5,2012.1,2044.68,281907.559,577153459.51571,556231
1699660800000,2023-11-11,ETHUSDT,2077.72,2089.6,2030.3,2053.17,370966.0372,763796737.4093751,675522
1699574400000,2023-11-10,ETHUSDT,2121.33,2136.99,2064.61,2077.72,555573.6495,1167220520.828261,880646
1699488000000,2023-11-09,ETHUSDT,1888.11,2132.0,1882.07,2121.32,1100330.3237,2200484378.92985,1657379
1699401600000,2023-11-08,ETHUSDT,1885.26,1904.69,1872.51,1888.12,247881.0997,468144576.741454,514836
1699315200000,2023-11-07,ETHUSDT,1900.95,1906.99,1850.32,1885.27,332419.4406,625566317.427045,760921
1699228800000,2023-11-06,ETHUSDT,1891.71,1914.23,1868.48,1900.95,328746.2394,622198937.156692,717293
1699142400000,2023-11-05,ETHUSDT,1855.54,1912.67,1846.11,1891.71,383106.7628,721508408.943992,780672
1699056000000,2023-11-04,ETHUSDT,1832.7,1869.9,1824.03,1855.54,171538.0364,315560482.702516,463794
1698969600000,2023-11-03,ETHUSDT,1800.79,1834.58,1777.11,1832.71,315000.2678,568244477.517703,713592
1698883200000,2023-11-02,ETHUSDT,1846.99,1875.0,1785.01,1800.8,368738.2193,674522153.765589,790110
1698796800000,2023-11-01,ETHUSDT,1814.67,1857.66,1783.19,1846.99,471921.6184,858744655.311508,862416
1698710400000,2023-10-31,ETHUSDT,1809.03,1819.41,1780.99,1814.67,258074.5796,464695558.995254,577888
1698624000000,2023-10-30,ETHUSDT,1795.14,1829.84,1777.77,1809.04,277686.192,501228029.31760496,560359
1698537600000,2023-10-29,ETHUSDT,1776.21,1811.3,1762.66,1795.14,144110.6508,258015412.931554,371024
1698451200000,2023-10-28,ETHUSDT,1779.41,1803.23,1770.0,1776.2,122919.7382,219588597.64105,333711
1698364800000,2023-10-27,ETHUSDT,1803.39,1803.91,1744.66,1779.4,274532.6921,488398895.217537,594592
1698278400000,2023-10-26,ETHUSDT,1787.15,1865.54,1762.21,1803.38,431169.0453,781481904.959697,901019
1698192000000,2023-10-25,ETHUSDT,1784.98,1817.69,1760.0,1787.15,354410.8294,634289515.5657791,774777
1698105600000,2023-10-24,ETHUSDT,1765.47,1854.38,1756.21,1784.98,674055.1375,1216867823.899225,1308532
1698019200000,2023-10-23,ETHUSDT,1663.69,1800.0,1657.07,1765.46,610931.9663,1044121568.0990541,1167834
