https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UNI
1703548800000,2023-12-26 00:00:00,UNI/USD,6.9815,7.8005,6.6606,7.3788,197501.1805881835,26766.02978644
1703462400000,2023-12-25 00:00:00,UNI/USD,6.8616,7.1194,6.6804,6.9803,69890.00340265734,10012.46413516
1703376000000,2023-12-24 00:00:00,UNI/USD,6.358,7.1583,6.3407,6.8604,179972.38135060898,26233.5113624
1703289600000,2023-12-23 00:00:00,UNI/USD,6.4056,6.4194,6.1199,6.3459,53096.853689580596,8367.11162949
1703203200000,2023-12-22 00:00:00,UNI/USD,6.1856,6.4906,6.1517,6.4134,130030.51363892303,20274.81735724
1703116800000,2023-12-21 00:00:00,UNI/USD,5.9289,6.2004,5.8815,6.1895,76248.70294135709,12319.04078542
1703030400000,2023-12-20 00:00:00,UNI/USD,5.8412,6.1003,5.7962,5.9174,9949.93246772169,1681.47031935
1702944000000,2023-12-19 00:00:00,UNI/USD,5.9243,6.0389,5.7604,5.8379,29916.540025331255,5124.5379375
1702857600000,2023-12-18 00:00:00,UNI/USD,6.084,6.1055,5.6138,5.9417,88088.7898845621,14825.519613
1702771200000,2023-12-17 00:00:00,UNI/USD,6.1772,6.27,6.0654,6.0654,28468.03218472026,4693.5127419
1702684800000,2023-12-16 00:00:00,UNI/USD,6.0668,6.2484,5.9479,6.1785,18999.57576463452,3075.11139672
1702598400000,2023-12-15 00:00:00,UNI/USD,6.3585,6.3585,6.0016,6.0333,76015.38371556402,12599.3044794
1702512000000,2023-12-14 00:00:00,UNI/USD,6.3151,6.4689,6.1266,6.3683,26665.29890969056,4187.1926432
1702425600000,2023-12-13 00:00:00,UNI/USD,6.2469,6.3341,5.9566,6.3033,63419.98646017405,10061.39426335
1702339200000,2023-12-12 00:00:00,UNI/USD,6.0992,6.335,6.0992,6.2403,80863.73708622172,12958.30922972
1702252800000,2023-12-11 00:00:00,UNI/USD,6.5757,6.59,5.9088,6.1022,190674.17455057616,31246.79206689
1702166400000,2023-12-10 00:00:00,UNI/USD,6.8493,6.8792,6.422,6.6098,121857.7369110599,18435.91892509
1702080000000,2023-12-09 00:00:00,UNI/USD,6.5289,7.1029,6.5289,6.8126,191910.55694469478,28169.94347895
1701993600000,2023-12-08 00:00:00,UNI/USD,6.3018,6.5416,6.2966,6.5402,56773.21414612735,8680.65413078
1701907200000,2023-12-07 00:00:00,UNI/USD,6.0081,6.3292,5.9814,6.292,24181.51374394756,3843.21578893
1701820800000,2023-12-06 00:00:00,UNI/USD,6.2897,6.2918,5.9711,6.0026,57780.23081265504,9625.86725963
1701734400000,2023-12-05 00:00:00,UNI/USD,6.113,6.3028,5.9822,6.2591,29947.923846617457,4784.70129038
1701648000000,2023-12-04 00:00:00,UNI/USD,6.051,6.2782,5.8684,6.0791,153200.7844628163,25201.22788946
1701561600000,2023-12-03 00:00:00,UNI/USD,6.1702,6.24,5.9397,6.0619,31976.831274575965,5275.05093693
1701475200000,2023-12-02 00:00:00,UNI/USD,6.018,6.1932,6.0086,6.1791,19122.3367314263,3094.67992611
1701388800000,2023-12-01 00:00:00,UNI/USD,5.8979,6.072,5.8979,6.0111,36521.23105192452,6075.63192293
1701302400000,2023-11-30 00:00:00,UNI/USD,5.9973,6.0058,5.8566,5.9112,72933.51594610722,12338.19122109
1701216000000,2023-11-29 00:00:00,UNI/USD,6.1668,6.3283,5.9843,6.0256,102376.72835990365,16990.29612983
1701129600000,2023-11-28 00:00:00,UNI/USD,6.2586,6.5625,6.0866,6.1535,104090.30543575248,16915.62613728
1701043200000,2023-11-27 00:00:00,UNI/USD,6.1751,6.34,5.9353,6.29,175962.5584539008,27974.96954752
1700956800000,2023-11-26 00:00:00,UNI/USD,6.1656,6.1833,5.8733,6.1641,93147.97220239455,15111.36616901
1700870400000,2023-11-25 00:00:00,UNI/USD,6.2198,6.2905,6.0911,6.1887,77762.89495577171,12565.30369153
1700784000000,2023-11-24 00:00:00,UNI/USD,6.3237,6.6002,6.0818,6.1676,147920.00921362458,23983.39860134
1700697600000,2023-11-23 00:00:00,UNI/USD,6.1407,6.4287,6.07,6.3541,231195.02819461937,36385.17306851
1700611200000,2023-11-22 00:00:00,UNI/USD,4.9081,6.2951,4.9081,6.1093,574565.7951222516,94047.72971081
1700524800000,2023-11-21 00:00:00,UNI/USD,5.2425,5.2686,4.8458,4.9043,18757.82727431073,3824.77158296
1700438400000,2023-11-20 00:00:00,UNI/USD,5.2478,5.3313,5.1274,5.2109,20314.479313333166,3898.45886763
1700352000000,2023-11-19 00:00:00,UNI/USD,5.0572,5.2498,4.9832,5.2431,13565.569311138639,2587.31843969
1700265600000,2023-11-18 00:00:00,UNI/USD,5.0969,5.1562,4.8227,5.0644,78902.13697624655,15579.76008535
1700179200000,2023-11-17 00:00:00,UNI/USD,5.1886,5.3963,4.8541,5.0841,103738.20816208953,20404.43896896
1700092800000,2023-11-16 00:00:00,UNI/USD,5.3978,5.5715,5.1313,5.218,36483.99741538314,6991.95044373
1700006400000,2023-11-15 00:00:00,UNI/USD,5.0553,5.3838,5.0553,5.3838,20033.00214195026,3720.97814591
1699920000000,2023-11-14 00:00:00,UNI/USD,5.2317,5.3004,4.8734,5.0596,81234.45985569459,16055.5102885
1699833600000,2023-11-13 00:00:00,UNI/USD,5.3869,5.6101,5.2051,5.2254,123233.59555381218,23583.57169859
1699747200000,2023-11-12 00:00:00,UNI/USD,5.3952,5.5197,5.2221,5.4045,84612.25730049371,15655.88996216
1699660800000,2023-11-11 00:00:00,UNI/USD,5.2865,5.5294,5.2141,5.4009,159926.3752249398,29611.06023532
1699574400000,2023-11-10 00:00:00,UNI/USD,5.1198,5.3698,5.071,5.2819,254548.38246248983,48192.57889443
1699488000000,2023-11-09 00:00:00,UNI/USD,5.171,5.3976,4.6447,5.1375,255371.30612434653,49707.31019452
1699401600000,2023-11-08 00:00:00,UNI/USD,4.9351,5.2674,4.9039,5.1803,237783.803353903,45901.55075071
1699315200000,2023-11-07 00:00:00,UNI/USD,5.1079,5.1079,4.7895,4.9398,27817.38088387043,5631.27674883
1699228800000,2023-11-06 00:00:00,UNI/USD,4.7696,5.1556,4.673,5.1094,138542.94541167567,27115.30618305
1699142400000,2023-11-05 00:00:00,UNI/USD,4.7117,4.9068,4.6506,4.7812,98619.47701286728,20626.51154791
1699056000000,2023-11-04 00:00:00,UNI/USD,4.6312,4.7714,4.6244,4.7212,44778.368293433894,9484.53111358
1698969600000,2023-11-03 00:00:00,UNI/USD,4.698,4.7787,4.5014,4.6637,91357.80468020873,19589.12551841
1698883200000,2023-11-02 00:00:00,UNI/USD,4.7948,4.9232,4.4909,4.6868,269986.09137340623,57605.63526786
1698796800000,2023-11-01 00:00:00,UNI/USD,4.153,4.8608,4.0161,4.7938,401850.34767646197,83827.09910227
1698710400000,2023-10-31 00:00:00,UNI/USD,4.1837,4.2521,4.0082,4.1511,258099.06361564694,62176.06504677
1698624000000,2023-10-30 00:00:00,UNI/USD,4.1738,4.2388,4.0749,4.1725,50523.20985253578,12108.61829899
1698537600000,2023-10-29 00:00:00,UNI/USD,4.1079,4.2142,4.0431,4.1427,88701.31427895009,21411.4742267
1698451200000,2023-10-28 00:00:00,UNI/USD,4.0246,4.1405,4.0246,4.0832,10019.259717143424,2453.77638057
