https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ADA
1705017600000,2024-01-12 00:00:00,ADA/USD,0.58164,0.58376,0.57714,0.58369,13132.916804332335,22499.81463505
1704931200000,2024-01-11 00:00:00,ADA/USD,0.5662,0.61657,0.561,0.5822,1297901.5738925198,2229305.34849282
1704844800000,2024-01-10 00:00:00,ADA/USD,0.5124,0.58863,0.48775,0.56504,2144183.46849521,3794746.33387939
1704758400000,2024-01-09 00:00:00,ADA/USD,0.54162,0.54289,0.49661,0.5119,1604440.2867301255,3134284.59998071
1704672000000,2024-01-08 00:00:00,ADA/USD,0.49527,0.54474,0.46515,0.54157,1660947.6120272805,3066912.14806448
1704585600000,2024-01-07 00:00:00,ADA/USD,0.52296,0.5309,0.48839,0.49463,555536.5847181706,1123135.64627736
1704499200000,2024-01-06 00:00:00,ADA/USD,0.54192,0.5435,0.50758,0.52335,345832.93546862423,660806.22044258
1704412800000,2024-01-05 00:00:00,ADA/USD,0.57237,0.57356,0.52225,0.54228,977381.4305856536,1802355.66605011
1704326400000,2024-01-04 00:00:00,ADA/USD,0.5572,0.57908,0.54988,0.57077,678354.4641505105,1188490.04704261
1704240000000,2024-01-03 00:00:00,ADA/USD,0.60634,0.6188,0.4889,0.55744,1970694.2996263967,3535258.14370407
1704153600000,2024-01-02 00:00:00,ADA/USD,0.62394,0.63726,0.60284,0.60575,525554.5514255582,867609.65980282
1704067200000,2024-01-01 00:00:00,ADA/USD,0.59526,0.62429,0.59118,0.62296,317045.04853229196,508933.2357331
1703980800000,2023-12-31 00:00:00,ADA/USD,0.60146,0.6104,0.58,0.59492,517218.5126226675,869391.70413277
1703894400000,2023-12-30 00:00:00,ADA/USD,0.60839,0.61385,0.59391,0.6016,373014.0160794047,620036.59587667
1703808000000,2023-12-29 00:00:00,ADA/USD,0.61944,0.62629,0.59184,0.60804,637599.7294761951,1048614.77777152
1703721600000,2023-12-28 00:00:00,ADA/USD,0.6322,0.67738,0.61041,0.61739,1150433.1187130462,1863381.52336942
1703635200000,2023-12-27 00:00:00,ADA/USD,0.60955,0.64302,0.58494,0.63368,1075965.8199222782,1697963.98801016
1703548800000,2023-12-26 00:00:00,ADA/USD,0.62512,0.62828,0.56137,0.60912,1956720.5095424512,3212372.78293678
1703462400000,2023-12-25 00:00:00,ADA/USD,0.59331,0.63526,0.59018,0.62512,944321.0902964293,1510623.70472298
1703376000000,2023-12-24 00:00:00,ADA/USD,0.61388,0.62942,0.58589,0.59274,1452718.6723027455,2450853.10979982
1703289600000,2023-12-23 00:00:00,ADA/USD,0.62334,0.62433,0.5971,0.6138,570296.5251466926,929124.34856092
1703203200000,2023-12-22 00:00:00,ADA/USD,0.63968,0.65202,0.60632,0.62407,1922938.043394712,3081285.82273577
1703116800000,2023-12-21 00:00:00,ADA/USD,0.58977,0.63999,0.5826,0.63591,1439541.0169616612,2263749.61387879
1703030400000,2023-12-20 00:00:00,ADA/USD,0.57627,0.6104,0.56933,0.5909,575207.9813998626,973443.86765927
1702944000000,2023-12-19 00:00:00,ADA/USD,0.60279,0.61746,0.567,0.5766,647981.1677348204,1123796.68354981
1702857600000,2023-12-18 00:00:00,ADA/USD,0.58062,0.60332,0.54393,0.60332,1062707.0807956723,1761431.87826638
1702771200000,2023-12-17 00:00:00,ADA/USD,0.60959,0.61909,0.57772,0.58127,577582.6698130515,993656.42440355
1702684800000,2023-12-16 00:00:00,ADA/USD,0.60221,0.62648,0.58732,0.6095,531507.1729331384,872038.01957857
1702598400000,2023-12-15 00:00:00,ADA/USD,0.6436,0.65435,0.60009,0.60091,2147411.322474747,3573598.91244071
1702512000000,2023-12-14 00:00:00,ADA/USD,0.669,0.68048,0.61,0.6449,2328774.6844730023,3611063.24154598
1702425600000,2023-12-13 00:00:00,ADA/USD,0.57656,0.679,0.54295,0.66793,3256219.7055011294,4875091.2603134
1702339200000,2023-12-12 00:00:00,ADA/USD,0.55322,0.60653,0.55165,0.57851,1490726.8678361871,2576838.54701939
1702252800000,2023-12-11 00:00:00,ADA/USD,0.5959,0.59855,0.51191,0.55097,2615218.3263705964,4746571.18603662
1702166400000,2023-12-10 00:00:00,ADA/USD,0.5799,0.6149,0.57026,0.5954,1621482.1082377464,2723349.1908595
1702080000000,2023-12-09 00:00:00,ADA/USD,0.54625,0.647,0.54442,0.5794,3257133.751505314,5621563.25768953
1701993600000,2023-12-08 00:00:00,ADA/USD,0.45592,0.57115,0.45313,0.54563,2459927.420384989,4508416.729991
1701907200000,2023-12-07 00:00:00,ADA/USD,0.44395,0.45962,0.43186,0.45582,1487461.052696267,3263264.12332997
1701820800000,2023-12-06 00:00:00,ADA/USD,0.42515,0.45524,0.4169,0.44266,1339368.7329640195,3025727.94687575
1701734400000,2023-12-05 00:00:00,ADA/USD,0.40658,0.42629,0.39633,0.42606,769360.560744338,1805756.37408895
1701648000000,2023-12-04 00:00:00,ADA/USD,0.39464,0.41481,0.39148,0.40632,671872.331413303,1653554.66482896
1701561600000,2023-12-03 00:00:00,ADA/USD,0.3978,0.40233,0.38781,0.3952,253443.8072940958,641305.18040004
1701475200000,2023-12-02 00:00:00,ADA/USD,0.38363,0.39775,0.38284,0.39775,507635.7563225769,1276268.40055959
1701388800000,2023-12-01 00:00:00,ADA/USD,0.37484,0.38559,0.3738,0.38397,381374.7130992675,993240.91230895
1701302400000,2023-11-30 00:00:00,ADA/USD,0.38185,0.38232,0.37198,0.376,336440.12316865753,894787.56161877
1701216000000,2023-11-29 00:00:00,ADA/USD,0.38603,0.38895,0.3777,0.38166,576793.9081228676,1511276.81214397
1701129600000,2023-11-28 00:00:00,ADA/USD,0.37819,0.38807,0.36953,0.38425,393694.18655349856,1024578.23436174
1701043200000,2023-11-27 00:00:00,ADA/USD,0.38727,0.39158,0.3715,0.37835,308018.3503798332,814109.55564909
1700956800000,2023-11-26 00:00:00,ADA/USD,0.39431,0.39532,0.37807,0.38814,363619.2031528662,936824.86513337
1700870400000,2023-11-25 00:00:00,ADA/USD,0.3861,0.39594,0.3844,0.39472,240114.83142365867,608316.86112601
1700784000000,2023-11-24 00:00:00,ADA/USD,0.3876,0.39752,0.38334,0.3862,805554.9057102343,2085849.05673287
1700697600000,2023-11-23 00:00:00,ADA/USD,0.38047,0.38711,0.37636,0.38651,558929.6520499294,1446093.63806869
1700611200000,2023-11-22 00:00:00,ADA/USD,0.35676,0.38733,0.35595,0.38045,554539.4145114437,1457588.15747521
1700524800000,2023-11-21 00:00:00,ADA/USD,0.38014,0.38991,0.35569,0.35691,689230.6430833814,1931104.88101589
1700438400000,2023-11-20 00:00:00,ADA/USD,0.38314,0.39938,0.37823,0.3805,1030276.3808911084,2707690.88276244
1700352000000,2023-11-19 00:00:00,ADA/USD,0.37789,0.3856,0.36897,0.38444,440438.54172539443,1145662.6306456
1700265600000,2023-11-18 00:00:00,ADA/USD,0.36752,0.37774,0.34939,0.37774,475113.97178961907,1257780.40924874
1700179200000,2023-11-17 00:00:00,ADA/USD,0.37047,0.37787,0.35316,0.36743,522698.96919536544,1422581.0880858
1700092800000,2023-11-16 00:00:00,ADA/USD,0.37897,0.40969,0.35844,0.37097,1540056.2451487947,4151430.69560556
1700006400000,2023-11-15 00:00:00,ADA/USD,0.35775,0.37957,0.35367,0.3792,889714.5744684988,2346293.7090414
1699920000000,2023-11-14 00:00:00,ADA/USD,0.35693,0.37218,0.34,0.35792,408440.01749351365,1141148.90895595
1699833600000,2023-11-13 00:00:00,ADA/USD,0.38317,0.38843,0.35333,0.35719,334407.3907681289,936217.11349178
1699747200000,2023-11-12 00:00:00,ADA/USD,0.38431,0.39124,0.37066,0.3809,869678.0273333313,2283218.76433009
1699660800000,2023-11-11 00:00:00,ADA/USD,0.38566,0.39527,0.37021,0.38411,850744.2849342576,2214845.44774741
1699574400000,2023-11-10 00:00:00,ADA/USD,0.36819,0.3884,0.36319,0.38573,976466.8102740645,2531477.48496115
1699488000000,2023-11-09 00:00:00,ADA/USD,0.35747,0.3866,0.34134,0.3685,1638586.226342481,4446638.33471501
1699401600000,2023-11-08 00:00:00,ADA/USD,0.35146,0.36061,0.34927,0.35779,655037.5307227497,1830787.69871363
1699315200000,2023-11-07 00:00:00,ADA/USD,0.36264,0.36519,0.3337,0.35177,1072160.5325056945,3047902.13066974
1699228800000,2023-11-06 00:00:00,ADA/USD,0.34274,0.37572,0.33858,0.36347,1338900.1346012687,3683660.64489853
1699142400000,2023-11-05 00:00:00,ADA/USD,0.32852,0.35038,0.32685,0.3423,626051.4759471774,1828955.52423949
1699056000000,2023-11-04 00:00:00,ADA/USD,0.32955,0.33105,0.3213,0.32858,551784.0199358338,1679298.86157354
1698969600000,2023-11-03 00:00:00,ADA/USD,0.32267,0.32966,0.31189,0.32966,993813.3576130571,3014661.64415779
1698883200000,2023-11-02 00:00:00,ADA/USD,0.30753,0.32954,0.29879,0.32296,1511109.4699027687,4678936.92687258
1698796800000,2023-11-01 00:00:00,ADA/USD,0.29275,0.30912,0.28482,0.30753,853688.9767507676,2775953.48990592
1698710400000,2023-10-31 00:00:00,ADA/USD,0.30325,0.3049,0.285,0.29312,724261.0461903798,2470868.74382635
1698624000000,2023-10-30 00:00:00,ADA/USD,0.29585,0.30331,0.29222,0.30325,696361.1839172989,2296327.06980148
