https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1698105600,2023-10-24,MATIC/USD,0.63696,0.66469,0.61718,0.62358,173449.388246,108159.56952244068
1698019200,2023-10-23,MATIC/USD,0.60933,0.64583,0.60074,0.63683,263232.253903,167634.19625304747
1697932800,2023-10-22,MATIC/USD,0.57271,0.61084,0.55937,0.60893,120075.034019,73117.29046518967
1697846400,2023-10-21,MATIC/USD,0.53642,0.57579,0.53426,0.57245,115905.347373,66350.01610367384
1697760000,2023-10-20,MATIC/USD,0.51742,0.54594,0.51546,0.53634,43442.036275,23299.701735733503
1697673600,2023-10-19,MATIC/USD,0.51098,0.51977,0.50486,0.51738,19206.889844,9937.26066748872
1697587200,2023-10-18,MATIC/USD,0.519,0.52415,0.51048,0.51105,16845.107145,8608.692006452251
1697500800,2023-10-17,MATIC/USD,0.53452,0.53452,0.5173,0.51892,16512.901981,8568.87509598052
1697414400,2023-10-16,MATIC/USD,0.51478,0.54076,0.51478,0.53452,42215.244448,22564.89246234496
1697328000,2023-10-15,MATIC/USD,0.51709,0.51974,0.51352,0.51475,10009.684926,5152.4853156585
1697241600,2023-10-14,MATIC/USD,0.51448,0.52059,0.51448,0.517,7149.303881,3696.190106477
1697155200,2023-10-13,MATIC/USD,0.50744,0.5229,0.50744,0.51472,15874.206895,8170.771772994399
1697068800,2023-10-12,MATIC/USD,0.51383,0.51667,0.50198,0.50741,29394.969495,14915.301471457951
1696982400,2023-10-11,MATIC/USD,0.51761,0.52224,0.50773,0.5139,68966.419309,35441.84288289511
1696896000,2023-10-10,MATIC/USD,0.52949,0.53788,0.512,0.51785,44737.62791,23167.3806131935
1696809600,2023-10-09,MATIC/USD,0.56017,0.56017,0.52308,0.52952,67874.647097,35940.98313080343
1696723200,2023-10-08,MATIC/USD,0.56367,0.5681,0.55746,0.55992,62083.829785,34761.9779732172
1696636800,2023-10-07,MATIC/USD,0.56416,0.58085,0.56362,0.56397,89884.577116,50692.204956110516
1696550400,2023-10-06,MATIC/USD,0.54532,0.56935,0.54532,0.56441,66938.351822,37780.675151855015
1696464000,2023-10-05,MATIC/USD,0.56271,0.5656,0.54556,0.54556,47383.2211,25850.390103316004
1696377600,2023-10-04,MATIC/USD,0.56612,0.5972,0.55168,0.56309,311007.238521,175125.0659387899
1696291200,2023-10-03,MATIC/USD,0.54704,0.57724,0.54704,0.56638,199492.663395,112988.65469366011
1696204800,2023-10-02,MATIC/USD,0.56825,0.57041,0.54409,0.54693,45582.851851,24930.62916286743
1696118400,2023-10-01,MATIC/USD,0.5338,0.57504,0.53307,0.56787,163890.308336,93068.38939476431
1696032000,2023-09-30,MATIC/USD,0.52576,0.53688,0.52506,0.53377,21641.692307,11551.68610270739
1695945600,2023-09-29,MATIC/USD,0.51912,0.52668,0.51753,0.52572,17723.970262,9317.84564613864
1695859200,2023-09-28,MATIC/USD,0.5024,0.52195,0.5024,0.51878,19747.73932,10244.732204429602
1695772800,2023-09-27,MATIC/USD,0.50909,0.51477,0.50137,0.50263,15795.490973,7939.28762775899
1695686400,2023-09-26,MATIC/USD,0.51905,0.52453,0.50713,0.50932,11990.992681,6107.2523922869195
1695600000,2023-09-25,MATIC/USD,0.5125,0.51915,0.5072,0.5187,17642.414703,9151.120506446101
1695513600,2023-09-24,MATIC/USD,0.51993,0.5257,0.5121,0.51254,12019.946069,6160.70315820526
1695427200,2023-09-23,MATIC/USD,0.52036,0.52233,0.51965,0.51993,3572.108762,1857.24650862666
