https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1669680000000,2022-11-29 00:00:00,XLM/USD,0.09606749,0.09621267,0.09562443,0.09582487,1445.61398882,15086.0
1669593600000,2022-11-28 00:00:00,XLM/USD,0.09722675,0.09835631,0.09384153,0.09604916,22348.1463911422,232674.04307484
1669507200000,2022-11-27 00:00:00,XLM/USD,0.09678083,0.10072582,0.09671432,0.10031583,33376.880449578544,332717.98129546
1669420800000,2022-11-26 00:00:00,XLM/USD,0.0981193,0.09864454,0.09599229,0.09674419,34108.418629803724,352562.9666216
1669334400000,2022-11-25 00:00:00,XLM/USD,0.0986095,0.09974034,0.09675923,0.09807154,34886.490695763656,355724.91974495
1669248000000,2022-11-24 00:00:00,XLM/USD,0.09718365,0.0992041,0.09644233,0.09852597,33272.692530780994,337704.795302
1669161600000,2022-11-23 00:00:00,XLM/USD,0.09610871,0.0976243,0.0949747,0.09723964,34962.0773891595,359545.52473826
1669075200000,2022-11-22 00:00:00,XLM/USD,0.09228176,0.0962881,0.09146773,0.09624784,33193.29274050537,344873.11861238
1668988800000,2022-11-21 00:00:00,XLM/USD,0.09426273,0.09513757,0.09104626,0.09259496,32695.468595876177,353102.03272269
1668902400000,2022-11-20 00:00:00,XLM/USD,0.09852499,0.0996969,0.09403066,0.09421704,32628.05553532727,346307.37216248
1668816000000,2022-11-19 00:00:00,XLM/USD,0.09702829,0.09877843,0.0956068,0.09856849,35164.18832415539,356748.77766876
1668729600000,2022-11-18 00:00:00,XLM/USD,0.09844984,0.0995301,0.0962651,0.09716857,34276.99423095053,352758.03926054
1668643200000,2022-11-17 00:00:00,XLM/USD,0.0980022,0.10081582,0.09673097,0.09852314,36019.22337163251,365591.50846829
1668556800000,2022-11-16 00:00:00,XLM/USD,0.10039808,0.1017727,0.09658136,0.09809864,32345.439512765526,329723.62830683
1668470400000,2022-11-15 00:00:00,XLM/USD,0.09873306,0.10245296,0.09761996,0.10048353,35620.04462798197,354486.39819861
1668384000000,2022-11-14 00:00:00,XLM/USD,0.09520257,0.09889578,0.0901834,0.09865281,34145.276265122615,346115.5973674
1668297600000,2022-11-13 00:00:00,XLM/USD,0.097324,0.09873524,0.09359074,0.09533471,34090.04402027586,357582.71064417
1668211200000,2022-11-12 00:00:00,XLM/USD,0.09950181,0.10024268,0.09610234,0.09731335,34816.91211726471,357781.4566785
