https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOT,Volume USDT,tradecount
1702857600000,2023-12-18,DOTUSDT,6.785,6.886,6.368,6.885,7414872.74,49322271.3179,142522
1702771200000,2023-12-17,DOTUSDT,7.092,7.163,6.749,6.784,6649743.84,46309637.8114,118629
1702684800000,2023-12-16,DOTUSDT,6.951,7.352,6.859,7.092,6517746.9,46563200.1577,117710
1702598400000,2023-12-15,DOTUSDT,7.508,7.564,6.926,6.951,10696904.91,77138950.51664,183484
1702512000000,2023-12-14,DOTUSDT,7.602,7.769,6.955,7.507,12681742.91,94086465.65405,267453
1702425600000,2023-12-13,DOTUSDT,7.133,7.648,6.613,7.603,11463964.93,80981385.38874,237087
1702339200000,2023-12-12,DOTUSDT,6.706,7.353,6.696,7.131,13610015.42,96133540.10494,288432
1702252800000,2023-12-11,DOTUSDT,7.348,7.361,6.285,6.709,12451395.17,83525876.77088,277780
1702166400000,2023-12-10,DOTUSDT,7.102,7.362,6.959,7.348,6780828.9,48801665.89622,135988
1702080000000,2023-12-09,DOTUSDT,6.838,7.689,6.83,7.101,16985044.2,125063776.65281,399049
1701993600000,2023-12-08,DOTUSDT,6.242,6.914,6.166,6.837,11355959.93,74167603.14395,209002
1701907200000,2023-12-07,DOTUSDT,6.045,6.3,5.901,6.242,8281399.33,50654898.15478,145757
1701820800000,2023-12-06,DOTUSDT,5.907,6.205,5.77,6.046,11202513.64,67201268.73573,198441
1701734400000,2023-12-05,DOTUSDT,5.633,5.946,5.511,5.907,11736819.83,66605722.30696,174698
1701648000000,2023-12-04,DOTUSDT,5.54,5.721,5.421,5.632,8239235.76,46169858.73394,136912
1701561600000,2023-12-03,DOTUSDT,5.562,5.624,5.43,5.541,4369800.25,24117628.3081,75199
1701475200000,2023-12-02,DOTUSDT,5.47,5.604,5.45,5.562,3691046.39,20353505.48168,56555
1701388800000,2023-12-01,DOTUSDT,5.473,5.525,5.369,5.471,3790598.48,20671676.139,65308
1701302400000,2023-11-30,DOTUSDT,5.161,5.591,5.118,5.473,9449624.6,50745372.79466,131925
1701216000000,2023-11-29,DOTUSDT,5.275,5.4,5.15,5.161,4978065.6,26246944.36066,72722
1701129600000,2023-11-28,DOTUSDT,5.156,5.313,5.102,5.275,5448920.48,28343297.80633,77009
1701043200000,2023-11-27,DOTUSDT,5.329,5.377,5.037,5.156,6281479.69,32699074.86723,87479
1700956800000,2023-11-26,DOTUSDT,5.328,5.415,5.145,5.329,4327342.3,22945689.31162,73140
