https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETH
1668124800000,2022-11-11 00:00:00,ETH/USDT,1299.2438,1308.3031,1203.8609,1287.4596,1763676.560804648,1369.88885772
1668038400000,2022-11-10 00:00:00,ETH/USDT,1102.2835,1349.6624,1091.27,1299.901,2598403.871772951,1998.92443484
1667952000000,2022-11-09 00:00:00,ETH/USDT,1334.5877,1336.9986,1077.1036,1102.4494,2228421.879056991,2021.33710541
1667865600000,2022-11-08 00:00:00,ETH/USDT,1567.9922,1583.5892,1230,1334.6097,3349351.162526329,2509.61098404
1667779200000,2022-11-07 00:00:00,ETH/USDT,1567.9601,1607.0,1547.2933,1567.2485,1608678.7539839742,1026.43502545
1667692800000,2022-11-06 00:00:00,ETH/USDT,1626.2704,1638.4342,1567.1567,1568.5583,1553823.7850322905,990.6063326
1667606400000,2022-11-05 00:00:00,ETH/USDT,1645.4322,1664.62,1622.7699,1627.1045,1553785.9135921188,954.93922707
1667520000000,2022-11-04 00:00:00,ETH/USDT,1530.7118,1673.0235,1528.9281,1644.9338,1927462.0468129737,1171.75660614
1667433600000,2022-11-03 00:00:00,ETH/USDT,1518.1687,1559.0217,1515.7499,1531.3268,1418351.1407628378,926.2236779
1667347200000,2022-11-02 00:00:00,ETH/USDT,1579.2588,1618.2899,1502.15,1519.0637,1922343.0185595378,1265.47887265
1667260800000,2022-11-01 00:00:00,ETH/USDT,1572.4354,1612.2477,1565.0,1578.4656,1582347.3659182978,1002.4592021
1667174400000,2022-10-31 00:00:00,ETH/USDT,1590.4118,1634.1929,1550.0,1576.2727,1589720.7216743364,1008.53153244
1667088000000,2022-10-30 00:00:00,ETH/USDT,1619.674,1639.71,1577.2453,1590.2865,1856311.7247232485,1167.28131989
1667001600000,2022-10-29 00:00:00,ETH/USDT,1554.5392,1660.0,1549.2284,1619.9339,2513324.670190458,1551.49828656
1666915200000,2022-10-28 00:00:00,ETH/USDT,1513.4435,1572.4227,1481.8748,1554.8583,1691861.2299999343,1088.11280745
1666828800000,2022-10-27 00:00:00,ETH/USDT,1564.6908,1577.2315,1505.0,1514.0915,1729535.8063182542,1142.29279163
