https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume XRP
1664668800000,2022-10-02 00:00:00,XRP/USDT,0.47484007,0.47798716,0.44444444,0.44837098,280010.9594542287,624507.32082221
1664582400000,2022-10-01 00:00:00,XRP/USDT,0.47945887,0.48557204,0.46753253,0.47532392,254198.76136211868,534790.59366951
1664496000000,2022-09-30 00:00:00,XRP/USDT,0.48667287,0.49874096,0.47069431,0.4800405,364177.8289131481,758639.8000026
1664409600000,2022-09-29 00:00:00,XRP/USDT,0.44904637,0.50833665,0.4271,0.48626894,431755.0554881288,887893.55019905
1664323200000,2022-09-28 00:00:00,XRP/USDT,0.44598161,0.45512104,0.41776321,0.44910686,313409.658021039,697850.97030368
1664236800000,2022-09-27 00:00:00,XRP/USDT,0.46823243,0.48739327,0.43587242,0.44678302,354887.567055641,794317.49007749
1664150400000,2022-09-26 00:00:00,XRP/USDT,0.49097469,0.50155871,0.45833715,0.46791311,320412.12014501484,684768.41810441
1664064000000,2022-09-25 00:00:00,XRP/USDT,0.48771601,0.51957259,0.47638707,0.49194766,302673.2697736636,615255.02484078
1663977600000,2022-09-24 00:00:00,XRP/USDT,0.50763106,0.51971324,0.47254139,0.48762332,366319.83071449853,751235.25822042
1663891200000,2022-09-23 00:00:00,XRP/USDT,0.48622434,0.55765181,0.45682999,0.50799592,651157.9336124585,1281817.25084024
1663804800000,2022-09-22 00:00:00,XRP/USDT,0.39475986,0.49905045,0.39475986,0.48543675,396873.66473243333,817559.99052901
1663718400000,2022-09-21 00:00:00,XRP/USDT,0.41399,0.4322164,0.38180759,0.39434889,484851.95137279993,1229499.97747629
1663632000000,2022-09-20 00:00:00,XRP/USDT,0.38466182,0.42375317,0.37069681,0.41403001,429478.2040984115,1037311.7738456
1663545600000,2022-09-19 00:00:00,XRP/USDT,0.35775651,0.39281234,0.34022731,0.38546241,301387.3189047222,781885.11015827
1663459200000,2022-09-18 00:00:00,XRP/USDT,0.37657322,0.3975,0.35600723,0.35765071,304894.1300563576,852491.331714
1663372800000,2022-09-17 00:00:00,XRP/USDT,0.35521147,0.38018368,0.34654586,0.3762058,243729.7697700093,647862.87125294
1663286400000,2022-09-16 00:00:00,XRP/USDT,0.32619445,0.35784933,0.32181,0.35639037,210869.39968520834,591680.96962106
1663200000000,2022-09-15 00:00:00,XRP/USDT,0.34156677,0.34283782,0.3245,0.32612615,186299.46425984253,571249.69665831
1663113600000,2022-09-14 00:00:00,XRP/USDT,0.33269856,0.34430998,0.33269854,0.34162959,155628.32413256375,455546.96867026
1663027200000,2022-09-13 00:00:00,XRP/USDT,0.35985322,0.35998454,0.33113823,0.33260084,372982.15591769497,1121410.74543797
1662940800000,2022-09-12 00:00:00,XRP/USDT,0.35520287,0.35992944,0.34812999,0.3597405,203988.692826429,567044.00206935
1662854400000,2022-09-11 00:00:00,XRP/USDT,0.35757956,0.35999999,0.34895441,0.35518533,178294.97445998932,501977.3042428
1662768000000,2022-09-10 00:00:00,XRP/USDT,0.35702069,0.36191566,0.35191421,0.35735433,212181.69890994314,593757.17907194
1662681600000,2022-09-09 00:00:00,XRP/USDT,0.33950226,0.35926223,0.33943346,0.35689436,282926.1826472563,792744.89696967
1662595200000,2022-09-08 00:00:00,XRP/USDT,0.33691492,0.34321453,0.32851162,0.33949397,238654.2535731227,702970.52278461
1662508800000,2022-09-07 00:00:00,XRP/USDT,0.32100201,0.33841471,0.31310652,0.33658001,220451.97395993606,654976.43178493
1662422400000,2022-09-06 00:00:00,XRP/USDT,0.33296565,0.34284299,0.31848003,0.32109266,245111.91177550956,763368.15601923
1662336000000,2022-09-05 00:00:00,XRP/USDT,0.33192559,0.33343838,0.32275457,0.33298296,200567.82869539555,602336.61414805
1662249600000,2022-09-04 00:00:00,XRP/USDT,0.3295997,0.33266307,0.32769172,0.33161487,174257.4800882449,525481.50234712
1662163200000,2022-09-03 00:00:00,XRP/USDT,0.33137001,0.334266,0.32677301,0.32953993,228059.7969861023,692055.12359641
1662076800000,2022-09-02 00:00:00,XRP/USDT,0.33312178,0.3349,0.32540698,0.33132868,198790.9008818803,599980.96416489
1661990400000,2022-09-01 00:00:00,XRP/USDT,0.32765661,0.33318001,0.32178631,0.33311473,184956.6057562569,555233.9452424
1661904000000,2022-08-31 00:00:00,XRP/USDT,0.32669811,0.33360884,0.32333095,0.32780155,161055.81813236306,491321.10001421
1661817600000,2022-08-30 00:00:00,XRP/USDT,0.33378701,0.33558604,0.320386,0.32651598,194210.77142872513,594797.14110386
1661731200000,2022-08-29 00:00:00,XRP/USDT,0.32240475,0.334,0.31882497,0.33390866,215963.27466245668,646773.50585174
1661644800000,2022-08-28 00:00:00,XRP/USDT,0.33482169,0.33706496,0.321576,0.32220687,169018.91568068168,524566.45533561
1661558400000,2022-08-27 00:00:00,XRP/USDT,0.33918001,0.34413394,0.32896057,0.33462425,220141.78396510208,657877.55658803
1661472000000,2022-08-26 00:00:00,XRP/USDT,0.34899664,0.3707528,0.33298509,0.33918001,312850.45869865466,922372.92728028
1661385600000,2022-08-25 00:00:00,XRP/USDT,0.34551408,0.35185407,0.34371544,0.34904219,198708.00416661025,569295.08769874
1661299200000,2022-08-24 00:00:00,XRP/USDT,0.34737151,0.3523965,0.33924518,0.34557353,184559.25507648895,534066.52724961
1661212800000,2022-08-23 00:00:00,XRP/USDT,0.34400703,0.34782405,0.3329264,0.3470122,205418.25110839712,591962.62007041
