https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume DOT
1667520000000,2022-11-04 00:00:00,DOT/USDT,6.4063,7.0926,6.3842,7.0709,4471.877844880211,632.43403879
1667433600000,2022-11-03 00:00:00,DOT/USDT,6.2478,6.5139,6.2283,6.4168,4578.172520717537,713.46660652
1667347200000,2022-11-02 00:00:00,DOT/USDT,6.4614,6.5129,6.1773,6.2441,6337.91687687314,1015.02488379
1667260800000,2022-11-01 00:00:00,DOT/USDT,6.64,6.7239,6.4598,6.4798,5290.704550310408,816.49195196
1667174400000,2022-10-31 00:00:00,DOT/USDT,6.65,6.825,6.5838,6.6445,5023.306579822405,756.00971929
1667088000000,2022-10-30 00:00:00,DOT/USDT,6.6313,6.7354,6.5181,6.6444,3391.1648272215,510.37939125
1667001600000,2022-10-29 00:00:00,DOT/USDT,6.5178,6.7616,6.494,6.64,4708.5935326792005,709.12553203
1666915200000,2022-10-28 00:00:00,DOT/USDT,6.3335,6.5695,6.2828,6.5186,2905.083330373642,445.66062197
1666828800000,2022-10-27 00:00:00,DOT/USDT,6.4665,6.65,6.2891,6.3276,3224.1168189548284,509.53233753
1666742400000,2022-10-26 00:00:00,DOT/USDT,6.4355,6.6069,6.415,6.4609,5127.96503491202,793.69206069
1666656000000,2022-10-25 00:00:00,DOT/USDT,5.9102,6.5996,5.8999,6.4398,8071.129066413618,1253.31983391
1666569600000,2022-10-24 00:00:00,DOT/USDT,5.9603,5.9895,5.8061,5.9095,2034.01172179344,344.19353952
1666483200000,2022-10-23 00:00:00,DOT/USDT,5.8478,5.9681,5.769,5.9613,5379.723578681643,902.44134311
1666396800000,2022-10-22 00:00:00,DOT/USDT,5.8393,5.8694,5.7675,5.8458,3937.7956253332736,673.61107553
1666310400000,2022-10-21 00:00:00,DOT/USDT,5.8803,5.8923,5.7479,5.8301,2877.033011218653,493.47918753
1666224000000,2022-10-20 00:00:00,DOT/USDT,6.0939,6.1719,5.8417,5.8798,8324.977820473794,1415.86071303
1666137600000,2022-10-19 00:00:00,DOT/USDT,6.1545,6.243,6.0729,6.1079,5708.20835320646,934.5615274
1666051200000,2022-10-18 00:00:00,DOT/USDT,6.2612,6.2903,6.0707,6.1593,6868.676359566272,1115.17158761
1665964800000,2022-10-17 00:00:00,DOT/USDT,6.1851,6.2791,6.1247,6.2499,2784.3213043338333,445.49853667
1665878400000,2022-10-16 00:00:00,DOT/USDT,6.0399,6.2363,6.0399,6.184,6222.210492607201,1006.1789283
1665792000000,2022-10-15 00:00:00,DOT/USDT,6.0453,6.1041,6.0278,6.0475,2740.5846410033505,453.17645986
1665705600000,2022-10-14 00:00:00,DOT/USDT,6.1216,6.2595,6.0078,6.0519,5388.231263369706,890.33712774
1665619200000,2022-10-13 00:00:00,DOT/USDT,6.1731,6.184,5.71,6.1144,5017.917843425496,820.67215809
1665532800000,2022-10-12 00:00:00,DOT/USDT,6.1808,6.239,6.1281,6.1697,3417.911595772953,553.98343449
1665446400000,2022-10-11 00:00:00,DOT/USDT,6.2745,6.2745,6.1286,6.1704,3338.9866381270317,541.12968983
1665360000000,2022-10-10 00:00:00,DOT/USDT,6.4708,6.5326,6.2468,6.2597,10680.247015428427,1706.19151324
1665273600000,2022-10-09 00:00:00,DOT/USDT,6.3023,6.4915,6.2798,6.4658,2447.868184874376,378.58705572
1665187200000,2022-10-08 00:00:00,DOT/USDT,6.3315,6.3915,6.2761,6.3082,2719.4596239026378,431.09914459
1665100800000,2022-10-07 00:00:00,DOT/USDT,6.3382,6.4,6.27,6.3309,2857.774152231939,451.40093071
1665014400000,2022-10-06 00:00:00,DOT/USDT,6.4302,6.5178,6.3149,6.333,4372.3462131027,690.4067919
1664928000000,2022-10-05 00:00:00,DOT/USDT,6.4869,6.5059,6.2672,6.4355,4799.83841872846,745.83768452
1664841600000,2022-10-04 00:00:00,DOT/USDT,6.3717,6.531,6.3353,6.4909,2591.853452641518,399.30571302
1664755200000,2022-10-03 00:00:00,DOT/USDT,6.1519,6.3992,6.1173,6.3651,2696.277693014556,423.60335156
1664668800000,2022-10-02 00:00:00,DOT/USDT,6.2801,6.3341,6.1521,6.1616,2530.137830859536,410.63000371
1664582400000,2022-10-01 00:00:00,DOT/USDT,6.3197,6.3374,6.2308,6.2712,2184.00473684016,348.2594618
1664496000000,2022-09-30 00:00:00,DOT/USDT,6.4452,6.5603,6.2268,6.3304,2216.530924796608,350.14073752
1664409600000,2022-09-29 00:00:00,DOT/USDT,6.3824,6.4703,6.265,6.4325,4440.5904254788,690.33663824
1664323200000,2022-09-28 00:00:00,DOT/USDT,6.3633,6.4676,6.1779,6.3784,2711.3966890035204,425.0904128
1664236800000,2022-09-27 00:00:00,DOT/USDT,6.5567,6.795,6.2419,6.3815,13428.95694362916,2104.35743064
1664150400000,2022-09-26 00:00:00,DOT/USDT,6.2202,6.5618,6.1558,6.5505,4972.002257122561,759.02637312
1664064000000,2022-09-25 00:00:00,DOT/USDT,6.274,6.3706,6.1,6.2072,2244.405924844288,361.58105504
1663977600000,2022-09-24 00:00:00,DOT/USDT,6.4505,6.5084,6.2371,6.2756,3488.235202433068,555.84090803
1663891200000,2022-09-23 00:00:00,DOT/USDT,6.44,6.6151,6.2008,6.4291,3335.4065725361243,518.79836564
1663804800000,2022-09-22 00:00:00,DOT/USDT,6.1277,6.5199,6.0897,6.4385,2635.54811352635,409.3419451
1663718400000,2022-09-21 00:00:00,DOT/USDT,6.2863,6.556,5.9703,6.1466,6618.804386187558,1076.82367263
1663632000000,2022-09-20 00:00:00,DOT/USDT,6.3929,6.4123,6.1919,6.29,6174.258529586999,981.5991303
1663545600000,2022-09-19 00:00:00,DOT/USDT,6.4438,6.562,6.1182,6.3831,16545.368948122356,2592.05855276
1663459200000,2022-09-18 00:00:00,DOT/USDT,7.051,7.051,6.35,6.4501,25443.304960621634,3944.63728634
1663372800000,2022-09-17 00:00:00,DOT/USDT,6.8982,7.1567,6.8946,7.0681,4680.892605605112,662.25613752
1663286400000,2022-09-16 00:00:00,DOT/USDT,6.9202,6.9668,6.719,6.8975,8025.542190615026,1163.54363039
1663200000000,2022-09-15 00:00:00,DOT/USDT,7.1484,7.2008,6.8732,6.9292,3674.423991306096,530.28112788
1663113600000,2022-09-14 00:00:00,DOT/USDT,7.1148,7.3019,7.036,7.2097,2921.1175488858526,405.16492349
1663027200000,2022-09-13 00:00:00,DOT/USDT,7.6651,7.9288,7.0467,7.0752,5420.27152799088,766.09446065
1662940800000,2022-09-12 00:00:00,DOT/USDT,7.6901,8.0348,7.561,7.6679,4418.253186924209,576.20120071
1662854400000,2022-09-11 00:00:00,DOT/USDT,7.7851,7.88,7.5684,7.6989,3185.444709264741,413.75322569
1662768000000,2022-09-10 00:00:00,DOT/USDT,7.7513,7.8645,7.5875,7.7808,5016.0141565795675,644.66560721
1662681600000,2022-09-09 00:00:00,DOT/USDT,7.3908,7.9369,7.3638,7.7712,6495.935695967136,835.89866378
1662595200000,2022-09-08 00:00:00,DOT/USDT,7.2056,7.4411,7.0677,7.3861,7884.316305722188,1067.45323049
1662508800000,2022-09-07 00:00:00,DOT/USDT,6.8673,7.28,6.7696,7.1952,12732.190940803583,1769.53954592
1662422400000,2022-09-06 00:00:00,DOT/USDT,7.3618,7.6768,6.8559,6.8753,6461.1036726483435,939.75589031
1662336000000,2022-09-05 00:00:00,DOT/USDT,7.371,7.6225,7.2669,7.358,5277.297025859039,717.21894888
1662249600000,2022-09-04 00:00:00,DOT/USDT,7.2813,7.3926,7.15,7.3655,3167.516280508195,430.04769269
1662163200000,2022-09-03 00:00:00,DOT/USDT,7.3066,7.3121,7.1805,7.279,2469.03211589071,339.19935649
1662076800000,2022-09-02 00:00:00,DOT/USDT,7.1809,7.5586,7.126,7.3041,3772.400276840664,516.47708504
1661990400000,2022-09-01 00:00:00,DOT/USDT,7.045,7.1997,6.8725,7.1751,2931.536863830702,408.57087202
1661904000000,2022-08-31 00:00:00,DOT/USDT,7.0055,7.2756,6.9792,7.0205,2440.0226709571502,347.5568223
1661817600000,2022-08-30 00:00:00,DOT/USDT,7.2737,7.369,6.8888,7.0098,2419.613298445896,345.17579652
1661731200000,2022-08-29 00:00:00,DOT/USDT,6.8586,7.3005,6.8213,7.2813,3181.5711608442452,436.95097865
1661644800000,2022-08-28 00:00:00,DOT/USDT,7.0127,7.1393,6.8338,6.8439,5464.919120306163,798.50949317
1661558400000,2022-08-27 00:00:00,DOT/USDT,6.9254,7.0853,6.823,7.041,6242.695924620571,886.62063977
1661472000000,2022-08-26 00:00:00,DOT/USDT,7.5908,7.6524,6.8756,6.9262,6558.80738068458,946.9561059
1661385600000,2022-08-25 00:00:00,DOT/USDT,7.5615,7.7572,7.4703,7.5743,5349.196429735362,706.22980734
1661299200000,2022-08-24 00:00:00,DOT/USDT,7.6385,7.7428,7.4285,7.5715,5583.58004999513,737.44701182
1661212800000,2022-08-23 00:00:00,DOT/USDT,7.3954,7.6884,7.1909,7.6383,4464.775364698395,584.52474565
1661126400000,2022-08-22 00:00:00,DOT/USDT,7.4474,7.4474,7.3554,7.3683,168.881436,22.92
1661040000000,2022-08-21 00:00:00,DOT/USDT,7.2273,7.5195,7.1684,7.438,5550.307102312179,746.20961311
