https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1467763200000,2016-07-06 00:00:00,LTC/USDT,4.495,4.5,4.39400002,4.47277407,314.94162878,70.67371337,0,0,0,4.45627679
1467676800000,2016-07-05 00:00:00,LTC/USDT,4.51000025,4.53399999,4.24,4.38000024,10451.01218646,2387.41084463,0,0,0,4.37755077
1467590400000,2016-07-04 00:00:00,LTC/USDT,4.28000001,4.55,4.162,4.512,5985.79433597,1358.74243156,0,0,0,4.40539295
1467504000000,2016-07-03 00:00:00,LTC/USDT,4.643,4.6475,4.18048963,4.32,4486.91689769,1024.72666541,0,0,0,4.37864754
1467417600000,2016-07-02 00:00:00,LTC/USDT,4.27006038,4.90539259,4.267112,4.64,15451.74580198,3407.97163034,0,0,0,4.53400071
1467331200000,2016-07-01 00:00:00,LTC/USDT,4.198,4.36038463,4.174,4.31599999,11608.99293721,2689.52534082,0,0,0,4.31637239
1467244800000,2016-06-30 00:00:00,LTC/USDT,4.07259227,4.234,4.003,4.198,4086.25719725,987.2053277,0,0,0,4.13921712
1467158400000,2016-06-29 00:00:00,LTC/USDT,4.09639781,4.12080746,3.98000912,4.02947212,5207.28301465,1287.34938181,0,0,0,4.04496486
1467072000000,2016-06-28 00:00:00,LTC/USDT,4.169896,4.20621849,4.0000001,4.09732927,3750.21835501,913.6458601,0,0,0,4.10467394
1466985600000,2016-06-27 00:00:00,LTC/USDT,4.07065073,4.17717986,4.03990002,4.17717986,5973.2528546,1447.45912442,0,0,0,4.12671608
1466899200000,2016-06-26 00:00:00,LTC/USDT,4.25401475,4.29299989,4,4.07931954,6955.65582094,1692.10251454,0,0,0,4.11065863
1466812800000,2016-06-25 00:00:00,LTC/USDT,4.27840168,4.4936549,3.97021031,4.24215058,23765.40221858,5425.42661994,0,0,0,4.38037483
1466726400000,2016-06-24 00:00:00,LTC/USDT,3.94,4.479,3.92253043,4.32,69603.18150096,16308.52512601,0,0,0,4.26790166
1466640000000,2016-06-23 00:00:00,LTC/USDT,3.9668433,4.04204255,3.58708659,3.93590764,46354.69511667,12138.94192514,0,0,0,3.81867673
1466553600000,2016-06-22 00:00:00,LTC/USDT,4.83968245,5.04886297,3.86,3.9668433,75891.66161058,17857.09904903,0,0,0,4.24994347
1466467200000,2016-06-21 00:00:00,LTC/USDT,5.19450145,5.476,4.5,4.8396824,23225.95897148,4798.95938578,0,0,0,4.83979069
1466380800000,2016-06-20 00:00:00,LTC/USDT,5.58926542,5.59447641,5.15,5.19450143,10953.82484366,2050.38245079,0,0,0,5.34233251
1466294400000,2016-06-19 00:00:00,LTC/USDT,5.61148009,5.68555516,5.35267382,5.53295327,4650.32909355,836.69006319,0,0,0,5.55800683
1466208000000,2016-06-18 00:00:00,LTC/USDT,5.54745474,5.76048148,5.28511488,5.56807566,25024.27604585,4502.29722006,0,0,0,5.55811285
1466121600000,2016-06-17 00:00:00,LTC/USDT,5.72955684,5.99999999,5.13610147,5.5912347,37281.26880158,6719.46689044,0,0,0,5.548248
1466035200000,2016-06-16 00:00:00,LTC/USDT,5.21578202,5.692,5.16898223,5.68910405,61668.19876383,11389.32543352,0,0,0,5.41456112
1465948800000,2016-06-15 00:00:00,LTC/USDT,5.1,5.2399997,5.02100001,5.16763864,6597.35271893,1292.52163137,0,0,0,5.10424936
1465862400000,2016-06-14 00:00:00,LTC/USDT,5.21653836,5.33479792,4.455,5.1,16031.91738128,3168.99228393,0,0,0,5.05899539
1465776000000,2016-06-13 00:00:00,LTC/USDT,5.22191131,5.39999998,5.06140601,5.199,24219.58251268,4583.11100156,0,0,0,5.28452889
1465689600000,2016-06-12 00:00:00,LTC/USDT,4.98999979,5.36805256,4.95000001,5.23803322,16640.56208449,3219.05349988,0,0,0,5.16939593
1465603200000,2016-06-11 00:00:00,LTC/USDT,4.82200295,4.98999979,4.82200295,4.98999978,2269.23003191,459.20391816,0,0,0,4.94166086
1465516800000,2016-06-10 00:00:00,LTC/USDT,4.728,4.886,4.68200001,4.87537705,4858.60309043,1015.31040325,0,0,0,4.78533764
1465430400000,2016-06-09 00:00:00,LTC/USDT,4.75776889,4.77799999,4.65,4.726,2930.57444436,624.07874999,0,0,0,4.69584078
1465344000000,2016-06-08 00:00:00,LTC/USDT,4.77731242,4.80597587,4.70100752,4.768,1531.83794638,321.59779209,0,0,0,4.76321039
