https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1699574400,2023-11-10 00:00:00,XLM/USD,0.12292,0.12429,0.12062,0.12381,11364849.53306701,1407082.0206890267
1699488000,2023-11-09 00:00:00,XLM/USD,0.12757,0.13030,0.11920,0.12290,32065785.82795803,3940885.0782560417
1699401600,2023-11-08 00:00:00,XLM/USD,0.12628,0.12879,0.12560,0.12775,7977838.19495961,1019168.8294060902
1699315200,2023-11-07 00:00:00,XLM/USD,0.13108,0.13108,0.12250,0.12669,11655219.65473499,1476599.7780583757
1699228800,2023-11-06 00:00:00,XLM/USD,0.12569,0.13486,0.12520,0.13109,14169037.04166351,1857419.0657916698
1699142400,2023-11-05 00:00:00,XLM/USD,0.12369,0.12799,0.12307,0.12589,19968717.77086397,2513861.880174065
1699056000,2023-11-04 00:00:00,XLM/USD,0.12250,0.12408,0.12122,0.12383,7140861.22305575,884252.8452509935
1698969600,2023-11-03 00:00:00,XLM/USD,0.11954,0.12439,0.11611,0.12261,9954950.98118872,1220576.539803549
1698883200,2023-11-02 00:00:00,XLM/USD,0.12258,0.12349,0.11725,0.11970,12150017.23301496,1454357.0627918907
1698796800,2023-11-01 00:00:00,XLM/USD,0.12124,0.12295,0.11762,0.12250,10001136.21130554,1225139.1858849286
1698710400,2023-10-31 00:00:00,XLM/USD,0.11901,0.12495,0.11577,0.12122,18724941.97183905,2269837.46582633
1698624000,2023-10-30 00:00:00,XLM/USD,0.11580,0.12000,0.11472,0.11908,8129280.40748631,968034.7109234699
1698537600,2023-10-29 00:00:00,XLM/USD,0.11385,0.11688,0.11249,0.11570,2249814.82470283,260303.57521811742
1698451200,2023-10-28 00:00:00,XLM/USD,0.11192,0.11430,0.11192,0.11385,2131960.43998509,242723.6960923025
1698364800,2023-10-27 00:00:00,XLM/USD,0.11303,0.11350,0.11027,0.11184,3218322.22582155,359937.15773588215
1698278400,2023-10-26 00:00:00,XLM/USD,0.11427,0.11690,0.11081,0.11314,7712985.41288260,872647.1696135374
1698192000,2023-10-25 00:00:00,XLM/USD,0.11428,0.11568,0.11232,0.11422,3778806.92107971,431615.3265257245
1698105600,2023-10-24 00:00:00,XLM/USD,0.11617,0.12050,0.11240,0.11400,3588010.01580029,409033.14180123305
1698019200,2023-10-23 00:00:00,XLM/USD,0.11087,0.11720,0.10979,0.11584,3234787.46436320,374717.7798718331
1697932800,2023-10-22 00:00:00,XLM/USD,0.11077,0.11201,0.10768,0.11087,1409255.72121265,156244.1818108465
1697846400,2023-10-21 00:00:00,XLM/USD,0.10757,0.11269,0.10740,0.11041,6683870.61654481,737966.1547727125
1697760000,2023-10-20 00:00:00,XLM/USD,0.10743,0.10994,0.10646,0.10774,6894032.03111605,742763.0110324433
1697673600,2023-10-19 00:00:00,XLM/USD,0.10320,0.10761,0.10231,0.10747,1576326.92971997,169407.8551370052
1697587200,2023-10-18 00:00:00,XLM/USD,0.10295,0.10452,0.10269,0.10321,1250568.43668672,129071.16835043636
1697500800,2023-10-17 00:00:00,XLM/USD,0.10738,0.10756,0.10300,0.10300,1864086.28317830,192000.88716736488
1697414400,2023-10-16 00:00:00,XLM/USD,0.10620,0.11106,0.10610,0.10765,2555111.29360880,275057.7307569873
1697328000,2023-10-15 00:00:00,XLM/USD,0.10429,0.10638,0.10405,0.10627,986505.87002534,104835.97880759288
1697241600,2023-10-14 00:00:00,XLM/USD,0.10291,0.10441,0.10291,0.10432,695993.89759964,72606.08339759444
1697155200,2023-10-13 00:00:00,XLM/USD,0.10259,0.10350,0.10215,0.10281,1185351.53850727,121865.99167393243
1697068800,2023-10-12 00:00:00,XLM/USD,0.10309,0.10325,0.10102,0.10250,2100524.89233817,215303.80146466242
1696982400,2023-10-11 00:00:00,XLM/USD,0.10420,0.10500,0.10176,0.10329,2113188.92991472,218271.28457089144
1696896000,2023-10-10 00:00:00,XLM/USD,0.10590,0.10602,0.10344,0.10434,2801380.46561179,292296.03778193414
1696809600,2023-10-09 00:00:00,XLM/USD,0.11063,0.11100,0.10328,0.10609,5361647.02605873,568817.1329945707
1696723200,2023-10-08 00:00:00,XLM/USD,0.11117,0.11144,0.11036,0.11079,769865.57361049,85293.40690030619
1696636800,2023-10-07 00:00:00,XLM/USD,0.11171,0.11213,0.11056,0.11125,418038.77445397,46506.81365800417
1696550400,2023-10-06 00:00:00,XLM/USD,0.11069,0.11236,0.10950,0.11197,2882951.87814312,322804.12179568515
1696464000,2023-10-05 00:00:00,XLM/USD,0.11239,0.11241,0.11038,0.11061,1649588.34508829,182460.96685021577
1696377600,2023-10-04 00:00:00,XLM/USD,0.11442,0.11528,0.11089,0.11276,3197048.69827455,360499.2112174383
1696291200,2023-10-03 00:00:00,XLM/USD,0.11155,0.11650,0.11000,0.11473,4805415.08943811,551325.2732112344
1696204800,2023-10-02 00:00:00,XLM/USD,0.11443,0.11492,0.11033,0.11175,2158423.24637386,241203.79778227888
1696118400,2023-10-01 00:00:00,XLM/USD,0.11235,0.11474,0.11200,0.11432,1017071.36802530,116271.5987926523
1696032000,2023-09-30 00:00:00,XLM/USD,0.11203,0.11280,0.10988,0.11243,11873420.36739488,1334928.6519062063
1695945600,2023-09-29 00:00:00,XLM/USD,0.11419,0.11869,0.11160,0.11199,51342201.72961456,5749813.171699535
1695859200,2023-09-28 00:00:00,XLM/USD,0.11217,0.11440,0.11217,0.11431,1273673.55154038,145593.62367658084
1695772800,2023-09-27 00:00:00,XLM/USD,0.11181,0.11429,0.11139,0.11249,1384973.46572584,155795.66515949977
1695686400,2023-09-26 00:00:00,XLM/USD,0.11298,0.11313,0.11084,0.11189,1348429.41560610,150875.76731216654
1695600000,2023-09-25 00:00:00,XLM/USD,0.11217,0.11322,0.11093,0.11294,1017401.28570245,114905.3012072347
1695513600,2023-09-24 00:00:00,XLM/USD,0.11389,0.11389,0.11200,0.11200,858938.89570629,96201.15631910448
1695427200,2023-09-23 00:00:00,XLM/USD,0.11470,0.11523,0.11300,0.11388,690055.57148656,78583.52848088945
1695340800,2023-09-22 00:00:00,XLM/USD,0.11405,0.11550,0.11348,0.11472,1579427.15266150,181191.8829533273
1695254400,2023-09-21 00:00:00,XLM/USD,0.11652,0.11694,0.11165,0.11378,1573454.04309835,179027.60102373027
1695168000,2023-09-20 00:00:00,XLM/USD,0.11836,0.11921,0.11627,0.11671,2097150.28822095,244758.41013826706
1695081600,2023-09-19 00:00:00,XLM/USD,0.11802,0.12017,0.11740,0.11836,1357197.74055633,160637.92457224723
