https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1703376000,2023-12-24 00:00:00,ADA/USD,0.61161,0.62741,0.59000,0.59308,879630.10739257,521691.0240923855
1703289600,2023-12-23 00:00:00,ADA/USD,0.62107,0.62107,0.59893,0.61410,635392.93054733,390194.7986491153
1703203200,2023-12-22 00:00:00,ADA/USD,0.63945,0.65170,0.60619,0.62300,512757.51545476,319447.9321283155
1703116800,2023-12-21 00:00:00,ADA/USD,0.58667,0.63893,0.58219,0.63531,686611.79584554,436211.34001863
1703030400,2023-12-20 00:00:00,ADA/USD,0.57875,0.61000,0.57004,0.58980,648860.36582950,382697.8437662391
1702944000,2023-12-19 00:00:00,ADA/USD,0.60287,0.61455,0.56669,0.57710,577671.59395355,333374.27687059366
1702857600,2023-12-18 00:00:00,ADA/USD,0.58040,0.60300,0.54543,0.60300,606725.02788408,365855.1918141002
1702771200,2023-12-17 00:00:00,ADA/USD,0.60769,0.61257,0.57747,0.58052,383463.96148951,222608.49892389038
1702684800,2023-12-16 00:00:00,ADA/USD,0.60000,0.62507,0.58700,0.60795,232785.57582142,141521.9908206323
1702598400,2023-12-15 00:00:00,ADA/USD,0.64110,0.65363,0.60000,0.60035,474019.77577769,284577.7723881362
1702512000,2023-12-14 00:00:00,ADA/USD,0.66801,0.67941,0.61444,0.64228,974262.37259100,625749.2366677475
1702425600,2023-12-13 00:00:00,ADA/USD,0.57449,0.67920,0.54535,0.66697,2170066.31725260,1447369.1316179666
1702339200,2023-12-12 00:00:00,ADA/USD,0.55130,0.60646,0.55069,0.57690,1637431.58950583,944634.2839859133
1702252800,2023-12-11 00:00:00,ADA/USD,0.59518,0.59802,0.51384,0.55112,2376645.08458895,1309816.6390186623
1702166400,2023-12-10 00:00:00,ADA/USD,0.58064,0.61470,0.56969,0.59494,1862170.13835156,1107879.5021108773
1702080000,2023-12-09 00:00:00,ADA/USD,0.54675,0.64656,0.54466,0.57836,5418443.91808220,3133811.224462021
1701993600,2023-12-08 00:00:00,ADA/USD,0.45882,0.57205,0.45310,0.54551,4518782.24637965,2465040.903222563
1701907200,2023-12-07 00:00:00,ADA/USD,0.44338,0.45924,0.43193,0.45609,1217488.43828285,555284.301816425
1701820800,2023-12-06 00:00:00,ADA/USD,0.42605,0.45456,0.41693,0.44264,2126867.76751555,941436.7486130829
1701734400,2023-12-05 00:00:00,ADA/USD,0.40547,0.42618,0.39710,0.42579,1138206.21836419,484636.8257172885
1701648000,2023-12-04 00:00:00,ADA/USD,0.39491,0.41380,0.39210,0.40672,1283264.53134241,521929.35018758505
