https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1703548800,2023-12-26 00:00:00,XRP/USDT,0.64620,0.64620,0.60000,0.62095,781603.06200611,485336.421352694
1703462400,2023-12-25 00:00:00,XRP/USDT,0.61044,0.64707,0.61044,0.64687,605505.88090945,391683.5891838959
1703376000,2023-12-24 00:00:00,XRP/USDT,0.61734,0.62820,0.60500,0.60743,345505.00907314,209870.10766129743
1703289600,2023-12-23 00:00:00,XRP/USDT,0.62410,0.62485,0.61080,0.62009,260144.32339358,161312.89349312504
1703203200,2023-12-22 00:00:00,XRP/USDT,0.62406,0.63100,0.61600,0.62441,395165.02389653,246744.9925712323
1703116800,2023-12-21 00:00:00,XRP/USDT,0.61631,0.62479,0.61109,0.62403,667821.79066360,416740.83202780626
1703030400,2023-12-20 00:00:00,XRP/USDT,0.60414,0.62600,0.60093,0.61649,539076.85922024,332335.49294068577
1702944000,2023-12-19 00:00:00,XRP/USDT,0.61166,0.61610,0.59750,0.60341,226047.01084849,136399.02681608734
1702857600,2023-12-18 00:00:00,XRP/USDT,0.61152,0.61337,0.57890,0.61272,472896.87368964,289753.37244711624
1702771200,2023-12-17 00:00:00,XRP/USDT,0.62071,0.62272,0.60947,0.61040,253084.18017889,154482.58358119449
1702684800,2023-12-16 00:00:00,XRP/USDT,0.61735,0.62554,0.61098,0.61988,138531.71992264,85873.0425456461
1702598400,2023-12-15 00:00:00,XRP/USDT,0.63159,0.64351,0.61285,0.61531,310076.07014377,190792.90672016313
1702512000,2023-12-14 00:00:00,XRP/USDT,0.62720,0.63666,0.60511,0.63202,1376128.12184726,869740.4955699054
1702425600,2023-12-13 00:00:00,XRP/USDT,0.61826,0.63284,0.59477,0.62830,618849.74623967,388823.29556238465
1702339200,2023-12-12 00:00:00,XRP/USDT,0.61800,0.62529,0.60762,0.61941,601578.75700811,372623.8978783935
1702252800,2023-12-11 00:00:00,XRP/USDT,0.66142,0.66142,0.59289,0.61859,978217.61354668,605115.6335638408
1702166400,2023-12-10 00:00:00,XRP/USDT,0.65971,0.67070,0.64749,0.66162,271364.62968139,179540.26628980125
1702080000,2023-12-09 00:00:00,XRP/USDT,0.67161,0.69970,0.65310,0.65897,1358183.39537603,895002.1120509424
1701993600,2023-12-08 00:00:00,XRP/USDT,0.64392,0.67313,0.63392,0.67311,572253.37537880,385189.46950122406
1701907200,2023-12-07 00:00:00,XRP/USDT,0.63935,0.66473,0.62435,0.64264,1309269.52290340,841388.966198641
1701820800,2023-12-06 00:00:00,XRP/USDT,0.62016,0.64262,0.61261,0.64030,1048099.25515392,671097.953075055
1701734400,2023-12-05 00:00:00,XRP/USDT,0.62273,0.63000,0.60780,0.62096,470887.70298014,292402.4280425477
1701648000,2023-12-04 00:00:00,XRP/USDT,0.62418,0.64117,0.58524,0.62350,1209356.06247464,754033.5049529382
1701561600,2023-12-03 00:00:00,XRP/USDT,0.62093,0.63290,0.61727,0.62420,346362.01300622,216199.1685184825
1701475200,2023-12-02 00:00:00,XRP/USDT,0.61152,0.62282,0.61090,0.62079,268726.44216826,166822.6880336341
1701388800,2023-12-01 00:00:00,XRP/USDT,0.60502,0.61350,0.60407,0.61248,759615.62032002,465249.37513360585
1701302400,2023-11-30 00:00:00,XRP/USDT,0.60830,0.60861,0.59876,0.60619,748514.05404951,453741.7344242725
1701216000,2023-11-29 00:00:00,XRP/USDT,0.60937,0.61597,0.60462,0.60926,234607.25899528,142936.8186154643
1701129600,2023-11-28 00:00:00,XRP/USDT,0.60331,0.61378,0.59661,0.61091,231961.24693161,141707.44536298985
1701043200,2023-11-27 00:00:00,XRP/USDT,0.61511,0.61640,0.59396,0.60290,216343.59846880,130433.55551683951
1700956800,2023-11-26 00:00:00,XRP/USDT,0.62138,0.63630,0.60935,0.61657,375205.04978601,231340.17754656018
1700870400,2023-11-25 00:00:00,XRP/USDT,0.62092,0.62290,0.61610,0.62290,176486.91541403,109933.69961139928
1700784000,2023-11-24 00:00:00,XRP/USDT,0.62075,0.62491,0.61710,0.62106,684487.56533056,425107.84732419753
1700697600,2023-11-23 00:00:00,XRP/USDT,0.61144,0.62345,0.60649,0.62040,1546715.57400801,959582.3421145694
1700611200,2023-11-22 00:00:00,XRP/USDT,0.57907,0.61544,0.57907,0.61139,767732.63078199,469384.05313380086
1700524800,2023-11-21 00:00:00,XRP/USDT,0.61400,0.65099,0.57456,0.57952,1950410.70974783,1130302.0145130625
1700438400,2023-11-20 00:00:00,XRP/USDT,0.62650,0.62730,0.60937,0.61258,755727.44121232,462943.515937843
1700352000,2023-11-19 00:00:00,XRP/USDT,0.60830,0.67797,0.60161,0.62547,354322.84791250,221618.31168383136
1700265600,2023-11-18 00:00:00,XRP/USDT,0.61130,0.61342,0.59123,0.60880,152177.65692053,92645.75753321865
1700179200,2023-11-17 00:00:00,XRP/USDT,0.61090,0.62290,0.58829,0.61329,459745.16271356,281957.1108405992
1700092800,2023-11-16 00:00:00,XRP/USDT,0.64630,0.65151,0.60517,0.61147,476839.98432355,291573.3452143211
1700006400,2023-11-15 00:00:00,XRP/USDT,0.62781,0.65020,0.62640,0.65020,84527.80419642,54959.978288512284
