https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FLOW,Volume USDT,tradecount
1702080000000,2023-12-09,FLOWUSDT,0.815,0.882,0.813,0.852,31889927.03,27369005.14443,65077
1701993600000,2023-12-08,FLOWUSDT,0.786,0.823,0.771,0.814,17321086.83,13773553.34271,31934
1701907200000,2023-12-07,FLOWUSDT,0.757,0.792,0.744,0.786,17598885.67,13574728.93451,31433
1701820800000,2023-12-06,FLOWUSDT,0.811,0.812,0.737,0.757,23149227.3,17885953.76683,46014
1701734400000,2023-12-05,FLOWUSDT,0.726,0.844,0.72,0.812,55078177.8,44064280.12247,120264
1701648000000,2023-12-04,FLOWUSDT,0.684,0.727,0.664,0.727,23806254.72,16718124.62031,45809
1701561600000,2023-12-03,FLOWUSDT,0.69,0.693,0.665,0.684,9270760.29,6303618.44484,16767
1701475200000,2023-12-02,FLOWUSDT,0.675,0.697,0.671,0.689,9373105.4,6420196.93593,16880
1701388800000,2023-12-01,FLOWUSDT,0.653,0.685,0.646,0.675,8693032.51,5818206.59684,18213
1701302400000,2023-11-30,FLOWUSDT,0.651,0.657,0.637,0.653,5564122.59,3601951.3278,14338
1701216000000,2023-11-29,FLOWUSDT,0.666,0.675,0.641,0.652,9322525.95,6141883.95494,18687
1701129600000,2023-11-28,FLOWUSDT,0.661,0.676,0.631,0.666,9528165.16,6204655.5803,19939
1701043200000,2023-11-27,FLOWUSDT,0.688,0.707,0.642,0.661,18993542.81,12676426.6924,39337
1700956800000,2023-11-26,FLOWUSDT,0.683,0.691,0.659,0.687,12482326.92,8413489.13536,26540
1700870400000,2023-11-25,FLOWUSDT,0.647,0.698,0.641,0.683,15539938.14,10494569.38385,33031
1700784000000,2023-11-24,FLOWUSDT,0.631,0.65,0.63,0.646,9699149.7,6210809.21198,20099
1700697600000,2023-11-23,FLOWUSDT,0.64,0.647,0.617,0.631,9000768.5,5690723.66857,17912
1700611200000,2023-11-22,FLOWUSDT,0.596,0.647,0.595,0.64,10101858.04,6256812.62702,23359
1700524800000,2023-11-21,FLOWUSDT,0.675,0.679,0.596,0.597,16350983.51,10499682.32263,36047
1700438400000,2023-11-20,FLOWUSDT,0.694,0.713,0.662,0.675,13870453.55,9539240.51459,27232
1700352000000,2023-11-19,FLOWUSDT,0.682,0.699,0.66,0.693,11556876.4,7828634.57302,21706
1700265600000,2023-11-18,FLOWUSDT,0.662,0.682,0.616,0.682,11412496.66,7465018.87364,27831
1700179200000,2023-11-17,FLOWUSDT,0.662,0.682,0.63,0.662,13133962.75,8660587.09569,32880
1700092800000,2023-11-16,FLOWUSDT,0.702,0.74,0.649,0.662,36155523.43,25232748.52462,72144
1700006400000,2023-11-15,FLOWUSDT,0.675,0.708,0.65,0.702,22603360.19,15472342.59316,48612
1699920000000,2023-11-14,FLOWUSDT,0.652,0.744,0.616,0.675,43202424.71,29341421.59945,88804
1699833600000,2023-11-13,FLOWUSDT,0.7,0.704,0.648,0.653,16311758.02,10955768.02455,39571
1699747200000,2023-11-12,FLOWUSDT,0.653,0.73,0.652,0.701,38990217.22,27119882.0756,89538
1699660800000,2023-11-11,FLOWUSDT,0.633,0.694,0.6,0.652,19716170.28,12590396.86808,43033
1699574400000,2023-11-10,FLOWUSDT,0.61,0.641,0.595,0.633,19155294.93,11898702.18631,36248
1699488000000,2023-11-09,FLOWUSDT,0.628,0.651,0.535,0.61,24345070.36,14894082.21385,47534
1699401600000,2023-11-08,FLOWUSDT,0.603,0.652,0.592,0.628,21839040.6,13689856.59125,43383
1699315200000,2023-11-07,FLOWUSDT,0.601,0.623,0.563,0.603,34255943.7,20272732.7806,56592
1699228800000,2023-11-06,FLOWUSDT,0.577,0.608,0.567,0.6,16910534.0,9985514.38443,34720
1699142400000,2023-11-05,FLOWUSDT,0.539,0.6,0.532,0.576,36133050.31,20656235.16179,64728
1699056000000,2023-11-04,FLOWUSDT,0.52,0.542,0.516,0.538,9406701.57,4949421.57847,13777
1698969600000,2023-11-03,FLOWUSDT,0.517,0.524,0.501,0.52,19327453.63,9910674.50478,34218
1698883200000,2023-11-02,FLOWUSDT,0.539,0.563,0.499,0.516,34229119.54,18061759.55909,56264
1698796800000,2023-11-01,FLOWUSDT,0.525,0.547,0.505,0.539,15351449.78,7986493.76987,20748
1698710400000,2023-10-31,FLOWUSDT,0.544,0.548,0.497,0.525,20894372.1,10847994.5835,27393
1698624000000,2023-10-30,FLOWUSDT,0.547,0.561,0.523,0.544,10096650.84,5465094.33087,19404
1698537600000,2023-10-29,FLOWUSDT,0.534,0.557,0.518,0.546,9815409.56,5303656.87759,17849
1698451200000,2023-10-28,FLOWUSDT,0.525,0.54,0.519,0.534,7509283.46,3972146.85704,13383
1698364800000,2023-10-27,FLOWUSDT,0.508,0.546,0.502,0.524,18748092.01,9803646.17118,27541
1698278400000,2023-10-26,FLOWUSDT,0.519,0.539,0.486,0.508,16711736.32,8593093.82823,24497
1698192000000,2023-10-25,FLOWUSDT,0.525,0.525,0.503,0.519,19159851.94,9834946.60156,27619
1698105600000,2023-10-24,FLOWUSDT,0.488,0.542,0.481,0.525,36419686.72,18567392.6313,60924
1698019200000,2023-10-23,FLOWUSDT,0.457,0.494,0.452,0.488,18914991.84,8875503.77873,25615
1697932800000,2023-10-22,FLOWUSDT,0.458,0.46,0.444,0.456,5418403.43,2446361.23158,9641
1697846400000,2023-10-21,FLOWUSDT,0.444,0.463,0.442,0.459,4504763.63,2043451.13667,7411
1697760000000,2023-10-20,FLOWUSDT,0.423,0.447,0.419,0.444,4577826.45,2005954.76031,8305
1697673600000,2023-10-19,FLOWUSDT,0.432,0.437,0.413,0.422,5918526.24,2489547.17699,10040
1697587200000,2023-10-18,FLOWUSDT,0.444,0.445,0.431,0.431,4169791.71,1824779.61053,7399
1697500800000,2023-10-17,FLOWUSDT,0.452,0.455,0.433,0.444,4071947.33,1805253.33086,7416
1697414400000,2023-10-16,FLOWUSDT,0.45,0.461,0.441,0.452,7637396.39,3425976.41293,13617
1697328000000,2023-10-15,FLOWUSDT,0.431,0.45,0.428,0.449,5594266.81,2437058.58825,8576
1697241600000,2023-10-14,FLOWUSDT,0.418,0.434,0.417,0.43,6939072.0,2969665.07531,9584
1697155200000,2023-10-13,FLOWUSDT,0.416,0.424,0.412,0.417,3773685.4,1575732.37453,6984
1697068800000,2023-10-12,FLOWUSDT,0.42,0.42,0.41,0.416,3454001.45,1433672.64199,6046
1696982400000,2023-10-11,FLOWUSDT,0.426,0.426,0.411,0.42,5210067.28,2172068.73293,8561
1696896000000,2023-10-10,FLOWUSDT,0.421,0.434,0.415,0.426,6512411.62,2768188.20713,11150
1696809600000,2023-10-09,FLOWUSDT,0.441,0.447,0.408,0.421,7328855.25,3102594.12735,12983
1696723200000,2023-10-08,FLOWUSDT,0.447,0.448,0.434,0.441,2917620.26,1287200.62067,4876
1696636800000,2023-10-07,FLOWUSDT,0.439,0.452,0.438,0.447,6105270.85,2721763.96332,9781
1696550400000,2023-10-06,FLOWUSDT,0.43,0.443,0.43,0.439,2754841.34,1199479.23891,4237
1696464000000,2023-10-05,FLOWUSDT,0.436,0.438,0.425,0.431,5125171.71,2210906.22955,7316
