https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1701648000000,2023-12-04 00:00:00,DAI/USD,0.99821,0.99821,0.9922,0.9982,112571.18671626673,112774.18024069999
1701561600000,2023-12-03 00:00:00,DAI/USD,0.99814,0.99887,0.9942,0.99821,6403.54318013251,6415.02607681
1701475200000,2023-12-02 00:00:00,DAI/USD,0.99908,1.0002,0.99743,0.99999,549.3098005070634,549.31529366
1701388800000,2023-12-01 00:00:00,DAI/USD,0.999,1.0002,0.999,1.0002,5001.0,5000.0
1701302400000,2023-11-30 00:00:00,DAI/USD,0.99868,0.999,0.9933,0.999,7090.23196367703,7097.32929297
1701216000000,2023-11-29 00:00:00,DAI/USD,0.999,0.999,0.9954,0.999,162.86270327100002,163.025729
1701129600000,2023-11-28 00:00:00,DAI/USD,0.99843,0.999,0.99375,0.999,4922.004092976001,4926.931024
1701043200000,2023-11-27 00:00:00,DAI/USD,0.998,0.999,0.9912,0.9985,512470.9900324359,513240.8513094
1700956800000,2023-11-26 00:00:00,DAI/USD,0.99906,0.99912,0.99505,0.998,7140.492600699779,7154.80220511
1700870400000,2023-11-25 00:00:00,DAI/USD,0.99896,0.99934,0.99746,0.99909,66.8057394149109,66.86658801
1700784000000,2023-11-24 00:00:00,DAI/USD,0.99943,1.0001,0.9962,1.0001,5137.5273433642,5137.013642
1700697600000,2023-11-23 00:00:00,DAI/USD,0.99907,1.001,0.99723,1.001,8268.93130262199,8260.67063199
1700611200000,2023-11-22 00:00:00,DAI/USD,1.0005,1.0012,0.99831,1.0006,125.00403736795198,124.92907991999999
1700524800000,2023-11-21 00:00:00,DAI/USD,1.0001,1.0003,1.0001,1.0003,35.929654663700006,35.918879000000004
1700438400000,2023-11-20 00:00:00,DAI/USD,1.0001,1.0001,1.0001,1.0001,4.007145714504,4.00674504
1700352000000,2023-11-19 00:00:00,DAI/USD,0.99947,1.0004,0.99909,1.0004,136.19972710759998,136.14526899999998
1700265600000,2023-11-18 00:00:00,DAI/USD,0.99892,0.999,0.997,0.99812,5120.2258444,5129.87
1700179200000,2023-11-17 00:00:00,DAI/USD,1.0006,1.0009,0.997,0.997,464547.51359916566,465945.34964811
1700092800000,2023-11-16 00:00:00,DAI/USD,1.0004,1.0012,1.0004,1.0012,1136.8814330425641,1135.51881047
1700006400000,2023-11-15 00:00:00,DAI/USD,1.0006,1.0009,0.9972,0.9972,333.72468523332,334.6617381
1699920000000,2023-11-14 00:00:00,DAI/USD,0.9992,1.0012,0.99695,0.9982,11080.399814441189,11100.38049934
1699833600000,2023-11-13 00:00:00,DAI/USD,0.997,1.0,0.9952,0.9992,57769.412100514215,57815.664632219996
1699747200000,2023-11-12 00:00:00,DAI/USD,1.0,1.0,0.98521,0.9972,26129.07720088621,26202.44404421
1699660800000,2023-11-11 00:00:00,DAI/USD,1.0002,1.0002,1.0001,1.0002,78.03916740253798,78.02356268999999
1699574400000,2023-11-10 00:00:00,DAI/USD,0.9999,1.0,0.9999,1.0,3411.86792358,3411.86792358
1699488000000,2023-11-09 00:00:00,DAI/USD,1.0,1.0,0.996,0.998,22486.632872869202,22531.6962654
1699401600000,2023-11-08 00:00:00,DAI/USD,0.99984,1.0,0.996,1.0,846.09784687,846.09784687
1699315200000,2023-11-07 00:00:00,DAI/USD,0.99919,1.0,0.99844,1.0,7878.8322088899995,7878.8322088899995
1699228800000,2023-11-06 00:00:00,DAI/USD,0.99948,0.99948,0.9892,0.99916,12959.881770142672,12970.77722301
1699142400000,2023-11-05 00:00:00,DAI/USD,0.9999,1.0,0.99834,1.0,1132.68877294,1132.68877294
1699056000000,2023-11-04 00:00:00,DAI/USD,0.99965,0.9997,0.96731,0.98521,30303.595681298382,30758.51410491
1698969600000,2023-11-03 00:00:00,DAI/USD,1.0,1.0002,0.99517,0.99517,22344.753685788233,22453.20265461
1698883200000,2023-11-02 00:00:00,DAI/USD,0.9997,1.0002,0.9972,0.99911,145.45407224889593,145.58364169
1698796800000,2023-11-01 00:00:00,DAI/USD,0.99974,1.0002,0.99911,1.0002,1162.502535346266,1162.27008133
1698710400000,2023-10-31 00:00:00,DAI/USD,0.9992,1.0002,0.99819,1.0002,2509.325335204098,2508.82357049
1698624000000,2023-10-30 00:00:00,DAI/USD,1.0,1.0002,0.9942,0.99919,5458.767508477406,5463.19269456
1698537600000,2023-10-29 00:00:00,DAI/USD,1.0,1.0,0.99858,0.99859,1502.4611155165005,1504.58257695
1698451200000,2023-10-28 00:00:00,DAI/USD,0.99984,1.0,0.99983,1.0,381.70873226,381.70873226
1698364800000,2023-10-27 00:00:00,DAI/USD,0.9992,1.0,0.99599,0.99984,4211.015765938195,4211.68963628
1698278400000,2023-10-26 00:00:00,DAI/USD,0.9992,0.9992,0.9912,0.9992,11811.025246964184,11820.48163227
1698192000000,2023-10-25 00:00:00,DAI/USD,0.9992,0.9992,0.99453,0.9992,2903.8878254134797,2906.21279565
1698105600000,2023-10-24 00:00:00,DAI/USD,0.9992,1.0002,0.96268,0.9992,95560.41614498157,95636.92568553
1698019200000,2023-10-23 00:00:00,DAI/USD,1.0008,1.0025,0.9952,0.9992,25047.4575574966,25067.51156675
1697932800000,2023-10-22 00:00:00,DAI/USD,1.0012,1.0042,1.0,1.0,21522.9618822,21522.9618822
1697846400000,2023-10-21 00:00:00,DAI/USD,1.0003,1.002,1.0,1.0012,1930.4837639820362,1928.16996003
