https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ADA
1668038400000,2022-11-10 00:00:00,ADA/USDT,0.3180901,0.37850172,0.31227487,0.36881071,48331.636294348136,131047.26892109
1667952000000,2022-11-09 00:00:00,ADA/USDT,0.37153792,0.37600771,0.311137,0.31666952,77061.65177383719,243350.39183385
1667865600000,2022-11-08 00:00:00,ADA/USDT,0.40432979,0.41563429,0.346,0.37226893,79624.33445619175,213889.28282624
1667779200000,2022-11-07 00:00:00,ADA/USDT,0.40271897,0.41604078,0.39768458,0.40368939,37677.58599627475,93333.10938956
1667692800000,2022-11-06 00:00:00,ADA/USDT,0.42684634,0.43088419,0.40223458,0.40282837,41458.918082307,102919.55872499
1667606400000,2022-11-05 00:00:00,ADA/USDT,0.42455221,0.43663954,0.41965113,0.42620305,41900.99699252071,98312.28798696
1667520000000,2022-11-04 00:00:00,ADA/USDT,0.38960604,0.42626516,0.38817001,0.4211701,46765.53841044925,111037.17574075
1667433600000,2022-11-03 00:00:00,ADA/USDT,0.38574182,0.39887227,0.38466768,0.38936912,36998.74914924081,95022.29953223
1667347200000,2022-11-02 00:00:00,ADA/USDT,0.40074078,0.4088886,0.3809977,0.38574862,40813.346538194986,105802.96188278
1667260800000,2022-11-01 00:00:00,ADA/USDT,0.40680236,0.414576,0.39936268,0.40117524,40434.15164177492,100789.2502084
1667174400000,2022-10-31 00:00:00,ADA/USDT,0.40565443,0.41601957,0.39726871,0.40309365,33205.1751303061,82375.83283762
1667088000000,2022-10-30 00:00:00,ADA/USDT,0.41983177,0.42104922,0.3997,0.40574753,43185.73081252895,106434.98140957
1667001600000,2022-10-29 00:00:00,ADA/USDT,0.40468824,0.439,0.40069175,0.42052285,47349.137386617644,112595.87293917
1666915200000,2022-10-28 00:00:00,ADA/USDT,0.38795685,0.41096405,0.37807589,0.40413452,40391.241383481996,99945.04152598
1666828800000,2022-10-27 00:00:00,ADA/USDT,0.40267381,0.41893725,0.38664271,0.38809364,38565.00359132479,99370.35709043
1666742400000,2022-10-26 00:00:00,ADA/USDT,0.40014329,0.4105439,0.39422234,0.40303737,45639.40376425711,113238.64028851
1666656000000,2022-10-25 00:00:00,ADA/USDT,0.35731323,0.416635,0.35682004,0.40019302,54412.99611074922,135966.87945919
1666569600000,2022-10-24 00:00:00,ADA/USDT,0.36200534,0.36476904,0.35338594,0.35732867,37426.20743155928,104738.88767884
1666483200000,2022-10-23 00:00:00,ADA/USDT,0.35156965,0.36368467,0.34599998,0.36174307,36764.01932334465,101630.19660154
1666396800000,2022-10-22 00:00:00,ADA/USDT,0.34939543,0.35389265,0.34327964,0.35099649,33375.59172371927,95088.1067891
1666310400000,2022-10-21 00:00:00,ADA/USDT,0.3402883,0.34965029,0.33023745,0.34911364,34518.685600484845,98875.21324141
1666224000000,2022-10-20 00:00:00,ADA/USDT,0.34927562,0.35774306,0.33690787,0.34035394,33045.456909897825,97091.44812573
1666137600000,2022-10-19 00:00:00,ADA/USDT,0.36226021,0.36255959,0.34870348,0.34964167,35718.74933097959,102158.15904031
1666051200000,2022-10-18 00:00:00,ADA/USDT,0.37314191,0.3735,0.35850895,0.36265365,38756.25511233385,106868.50969881
1665964800000,2022-10-17 00:00:00,ADA/USDT,0.37031925,0.37535269,0.36571132,0.37218854,33363.67667408407,89641.86988155
1665878400000,2022-10-16 00:00:00,ADA/USDT,0.36401544,0.37428872,0.36394718,0.37025645,37011.59742313855,99962.05987266
1665792000000,2022-10-15 00:00:00,ADA/USDT,0.36682582,0.36947431,0.36218956,0.36416779,35476.27096677751,97417.37721169
1665705600000,2022-10-14 00:00:00,ADA/USDT,0.37689417,0.38898562,0.36096525,0.36662633,41585.180238151814,113426.60588003
1665619200000,2022-10-13 00:00:00,ADA/USDT,0.38107873,0.38225436,0.35,0.37750803,49664.37756497903,131558.46662382
1665532800000,2022-10-12 00:00:00,ADA/USDT,0.39065566,0.39509732,0.37736608,0.3815185,37003.62491972331,96990.38164525
1665446400000,2022-10-11 00:00:00,ADA/USDT,0.40129962,0.40143188,0.38400103,0.39071656,38698.90427380843,99045.97919732
1665360000000,2022-10-10 00:00:00,ADA/USDT,0.42283677,0.42689603,0.4,0.40064726,38512.18539213088,96124.91894274
1665273600000,2022-10-09 00:00:00,ADA/USDT,0.42176157,0.42471385,0.41919558,0.42282672,40198.8457902913,95071.67803939
